river_rivière,age_âge,year_année,latitude_latitude,longitude_longitude,n_n,mean fork length_longueur moyenne à la fourche
Miramichi River,1,1971,46.93316907,-65.65078752,251,511.5139442
Sand Hill River,1,1971,53.581429,-56.35112,389,544.4550129
Western Arm Brook,1,1971,51.190752,-56.753424,77,527.9090909
Miramichi River,1,1972,46.93316907,-65.65078752,687,520.1819505
Miramichi River,2,1972,46.93316907,-65.65078752,488,709.2520492
Nashwaak River,1,1972,46.117667,-66.589062,70,579.8428571
Nashwaak River,2,1972,46.117667,-66.589062,171,763.7953216
Sand Hill River,1,1972,53.581429,-56.35112,413,537.0750605
Sand Hill River,2,1972,53.581429,-56.35112,56,726.6071429
Western Arm Brook,1,1972,51.190752,-56.753424,59,524.1525424
Miramichi River,1,1973,46.93316907,-65.65078752,740,537.1283784
Miramichi River,2,1973,46.93316907,-65.65078752,710,738.9450704
Nashwaak River,1,1973,46.117667,-66.589062,60,552.9833333
Nashwaak River,2,1973,46.117667,-66.589062,174,775.9885057
Sand Hill River,1,1973,53.581429,-56.35112,955,543.4230366
Sand Hill River,2,1973,53.581429,-56.35112,163,749.7730061
Western Arm Brook,1,1973,51.190752,-56.753424,136,531.4485294
Miramichi River,1,1974,46.93316907,-65.65078752,1375,525.6210909
Miramichi River,2,1974,46.93316907,-65.65078752,525,741.7542857
Northeast River,1,1974,47.270081,-53.837846,55,535.2909091
Western Arm Brook,1,1974,51.190752,-56.753424,80,531.0375
Miramichi River,1,1975,46.93316907,-65.65078752,1020,513.7598039
Miramichi River,2,1975,46.93316907,-65.65078752,295,741.6881356
Nashwaak River,1,1975,46.117667,-66.589062,223,544.4843049
Nashwaak River,2,1975,46.117667,-66.589062,179,774.6536313
Western Arm Brook,1,1975,51.190752,-56.753424,18,535.2777778
Miramichi River,1,1976,46.93316907,-65.65078752,985,519.1837563
Miramichi River,2,1976,46.93316907,-65.65078752,174,742.454023
Miramichi River,1,1977,46.93316907,-65.65078752,421,519.4821853
Miramichi River,2,1977,46.93316907,-65.65078752,480,726.9166667
Western Arm Brook,1,1977,51.190752,-56.753424,53,527.4716981
Gander River,1,1978,49.260019,-54.499243,26,557.7692308
LaHave River,1,1978,44.53333,-64.71667,29,530.0344828
LaHave River,2,1978,44.53333,-64.71667,11,737.6363636
Middle Brook,1,1978,48.794529,-54.291912,11,544.5454545
Miramichi River,1,1978,46.93316907,-65.65078752,387,515.7235142
Miramichi River,2,1978,46.93316907,-65.65078752,248,736.4637097
Northeast River,1,1978,47.270081,-53.837846,57,535.1403509
Saint John River,1,1978,45.95542,-66.607509,157,571.3375796
Saint John River,2,1978,45.95542,-66.607509,163,794.5705521
Terra Nova River,1,1978,48.66762,-54.002506,90,501.6333333
Western Arm Brook,1,1978,51.190752,-56.753424,64,521.625
Gander River,1,1979,49.260019,-54.499243,44,512.6818182
Harry's River,1,1979,48.507227,-58.506807,16,501.5625
LaHave River,1,1979,44.53333,-64.71667,127,523.1968504
Miramichi River,1,1979,46.93316907,-65.65078752,730,518.2219178
Miramichi River,2,1979,46.93316907,-65.65078752,71,732.971831
Saint John River,2,1979,45.95542,-66.607509,174,773.5344828
Terra Nova River,1,1979,48.66762,-54.002506,17,527.9411765
Western Arm Brook,1,1979,51.190752,-56.753424,226,513.9159292
Conne River,1,1980,47.868005,-55.705978,161,526.1863354
Gander River,1,1980,49.260019,-54.499243,184,528.7065217
LaHave River,1,1980,44.53333,-64.71667,141,541.8297872
LaHave River,2,1980,44.53333,-64.71667,88,727.7727273
Miramichi River,1,1980,46.93316907,-65.65078752,537,520.4543762
Miramichi River,2,1980,46.93316907,-65.65078752,311,734.0418006
Northeast River,1,1980,47.270081,-53.837846,39,532.3076923
Saint John River,1,1980,45.95542,-66.607509,191,591.3612565
Saint John River,2,1980,45.95542,-66.607509,166,773.9759036
Terra Nova River,1,1980,48.66762,-54.002506,28,511.9642857
Torrent River,1,1980,50.612932,-57.168795,55,529.5818182
Western Arm Brook,1,1980,51.190752,-56.753424,58,535.7931034
Gander River,1,1981,49.260019,-54.499243,192,523.4479167
LaHave River,1,1981,44.53333,-64.71667,273,545.3223443
LaHave River,2,1981,44.53333,-64.71667,92,734.8369565
Middle Brook,1,1981,48.794529,-54.291912,47,507.2978723
Miramichi River,1,1981,46.93316907,-65.65078752,605,513.831405
Miramichi River,2,1981,46.93316907,-65.65078752,38,717.9736842
Northeast River,1,1981,47.270081,-53.837846,97,522.4639175
Saint John River,1,1981,45.95542,-66.607509,156,565.2564103
Saint John River,2,1981,45.95542,-66.607509,174,777.7586207
Terra Nova River,1,1981,48.66762,-54.002506,42,507.6428571
Western Arm Brook,1,1981,51.190752,-56.753424,63,520.4603175
Gander River,1,1982,49.260019,-54.499243,439,524.2528474
LaHave River,1,1982,44.53333,-64.71667,41,537.195122
Middle Brook,1,1982,48.794529,-54.291912,31,502.0967742
Miramichi River,1,1982,46.93316907,-65.65078752,524,524.3759542
Miramichi River,2,1982,46.93316907,-65.65078752,69,724.0724638
Northeast River,1,1982,47.270081,-53.837846,16,544.0625
Saint John River,1,1982,45.95542,-66.607509,265,556.6037736
Saint John River,2,1982,45.95542,-66.607509,181,772.1546961
Terra Nova River,1,1982,48.66762,-54.002506,103,498.4951456
Western Arm Brook,1,1982,51.190752,-56.753424,73,531.8767123
Exploits River,1,1983,49.088976,-55.354689,576,525.9722222
LaHave River,1,1983,44.53333,-64.71667,104,540.1538462
