name__nom;description_en;description_fr
year__année;year of the fishing events;année des l'évenements de pêche
region__région;region is composed by 1) a fishing area type (NAFO: Northwest Atlantic Fisheries Organization Areas or SFA: Scallop Fishing Areas) where the fishing events append and 2) the modality of the fishing area type separated by a dash;région est composée par 1) un type d'aire de pêche (NAFO: aires de l'Organisation des pêches de l'Atlantique nord-ouest (OPANO) ou SFA: Zone de pêche du pétoncle (ZPP)) où les évenements de pêche se sont produits et 2) de la modalité de l'aire de pêche séparée par un tiret
landings.t__débarquements.t;total landings of meats in tons;débarquements totaux de muscles en tonnes
boats__bateaux;number of distinct fishing boats where a boat corresponds to an active CFVN (Canadian Fishing Vessel Number) for year betweeen 1985 and 2021. Prior to 1985, an active boat is an estimate based on active licences (see Harbicht and Landry 2023).;nombre de bateaux de pêche distinct où un bateau de pêche en  correspond à un CFNV actif (Numéro de bateau de pêche canadien) de 1985 à 2021.  Avant 1976, il s'aggit d'un estimé calculé à partir d'un relevé de la participation à la pêche
trips__voyages;number of fishing trips where one trip is define as an interval between a departure from its community port and an arrival at a landing port;nombre de voyages de pêche où un voyage de pêche est défini par l'intervalle entre le départ d'un bateau de son port de pêche communautaire et son retour vers un port de débarquement
fishing.days__jours.de.pêche;number of fishing days;nombre de jours de pêche
towed.hours__heures.remorquées;number of towed hours where towed.hours equals the number of tows by the duration in hours the gear is on the sea floor;nombre d'heures draguées où le nombre d'heures remorquée est égale au nombre de traits multiplié par la durée en heure où l'engin de pêche est sur le fond.
cpue.boats__cpue.bateaux;catch per unit effort in ton where catch is landings.t  and effort is boats;capture par unité d'effort en tonne où la capture est débarquements.t et l'effort est bateaux
cpue.trips__cpue.voyages;catch per unit effort in kg where catch is landings.t*1000 and effort is trips;capture par unité d'effort en kg où la capture est débarquements.t*1000 et l'effort est voyages
cpue.days__cpue.jours;catch per unit effort in kg where catch is landings.t*1000  and effort is fishing.days;capture par unité d'effort en kg où la capture est débarquements.t*1000 et l'effort est jours.de.pêche
cpue.hours__cpue.heures;catch per unit effort in kg where catch is landings.t*1000  and effort is towed.hours;capture par unité d'effort en kg où la capture est débarquements.t*1000 et l'effort est heures.draguées
