year__année,landings.t__débarquements.t,effort__effort
1923,0.18,NA
1924,0.18,NA
1925,0.52,NA
1926,1.92,NA
1927,0.67,NA
1928,0.53,NA
1929,0.96,NA
1930,2.21,NA
1931,0.52,NA
1932,0.7,NA
1933,0.51,NA
1934,0.69,NA
1935,0.69,NA
1936,0.5,NA
1937,0.68,NA
1938,0.67,NA
1939,0.67,NA
1940,2.53,NA
1941,4.21,NA
1942,0.47,NA
1943,0.46,NA
1944,1.43,NA
1945,15.24,NA
1946,6.32,NA
1947,4.54,NA
1948,7.71,NA
1949,0.44,NA
1950,11.79,NA
1951,10.89,NA
1952,100.29,NA
1953,35.84,NA
1954,24.95,NA
1955,18.46,NA
1956,123.24,NA
1957,116.48,NA
1958,92.7,NA
1959,47.9,NA
1960,6.56,NA
1961,8.8,NA
1962,25.54,NA
1963,98.22,NA
1964,230.02,NA
1965,377.94,NA
1966,255.6,NA
1967,454.29,NA
1968,890.57,NA
1969,639.84,NA
1970,627.1,NA
1971,534.87,NA
1972,424.37,NA
1973,259.46,NA
1974,165.43,NA
1975,244.15,NA
1976,337.32,327
1977,178.95,228
1978,252.66,273
1979,224.12,332
1980,190.17,256
1981,331.58,372
1982,205.93,340
1983,276.65,426
1984,189.15,418
1985,166.63,330
1986,167.96,357
1987,141.45,353
1988,138.95,282
1989,155.95,265
1990,134.97,329
1991,108.4,275
1992,119.24,298
1993,197.51,434
1994,226.18,477
1995,249.77,447
1996,249.07,451
1997,215.63,416
1998,185.31,423
1999,144.6,338
2000,184.23,357
2001,127.32,285
2002,71.67,205
2003,83.58,204
2004,103.39,188
2005,82.45,207
2006,83.25,187
2007,103,181
2008,93.63,169
2009,101.43,180
2010,82.5,186
2011,118.99,174
2012,115.34,181
2013,115.49,178
2014,88.81,164
2015,67.17,143
2016,58.56,145
2017,75.17,134
2018,83.44,137
2019,60.94,121
2020,64.05,112
2021,65.68,111
2022,65.64,102
2023,81.28,100
