year__année;region__region;landings.t__débarquements.t;boats__bateaux;trips__voyage;fishing.days__jours.de.pêche;towed.hours__heures.de.draguage;cpue.boats__???;cpue.trips__???;cpue.days__???;cpue.hours__???
1923;NAFO 4T;0.182;NA;NA;NA;NA;NA;NA;NA;NA
1924;NAFO 4T;0.177;NA;NA;NA;NA;NA;NA;NA;NA
1925;NAFO 4T;0.523;NA;NA;NA;NA;NA;NA;NA;NA
1926;NAFO 4T;1.922;NA;NA;NA;NA;NA;NA;NA;NA
1927;NAFO 4T;0.669;NA;NA;NA;NA;NA;NA;NA;NA
1928;NAFO 4T;0.533;NA;NA;NA;NA;NA;NA;NA;NA
1929;NAFO 4T;0.956;NA;NA;NA;NA;NA;NA;NA;NA
1930;NAFO 4T;2.215;NA;NA;NA;NA;NA;NA;NA;NA
1931;NAFO 4T;0.519;NA;NA;NA;NA;NA;NA;NA;NA
1932;NAFO 4T;0.702;NA;NA;NA;NA;NA;NA;NA;NA
1933;NAFO 4T;0.51;NA;NA;NA;NA;NA;NA;NA;NA
1934;NAFO 4T;0.693;NA;NA;NA;NA;NA;NA;NA;NA
1935;NAFO 4T;0.688;NA;NA;NA;NA;NA;NA;NA;NA
1936;NAFO 4T;0.496;NA;NA;NA;NA;NA;NA;NA;NA
1937;NAFO 4T;0.679;NA;NA;NA;NA;NA;NA;NA;NA
1938;NAFO 4T;0.674;NA;NA;NA;NA;NA;NA;NA;NA
1939;NAFO 4T;0.67;NA;NA;NA;NA;NA;NA;NA;NA
1940;NAFO 4T;2.529;NA;NA;NA;NA;NA;NA;NA;NA
1941;NAFO 4T;4.207;NA;NA;NA;NA;NA;NA;NA;NA
1942;NAFO 4T;0.469;NA;NA;NA;NA;NA;NA;NA;NA
1943;NAFO 4T;0.464;NA;NA;NA;NA;NA;NA;NA;NA
1944;NAFO 4T;1.426;NA;NA;NA;NA;NA;NA;NA;NA
1945;NAFO 4T;15.243;NA;NA;NA;NA;NA;NA;NA;NA
1946;NAFO 4T;6.317;NA;NA;NA;NA;NA;NA;NA;NA
1947;NAFO 4T;4.5359290943564;NA;NA;NA;NA;NA;NA;NA;NA
1947;SFA 21A;NA;NA;NA;NA;NA;NA;NA;NA;NA
1947;SFA 21B;NA;NA;NA;NA;NA;NA;NA;NA;NA
1947;SFA 21C;NA;NA;NA;NA;NA;NA;NA;NA;NA
1947;SFA 22;NA;NA;NA;NA;NA;NA;NA;NA;NA
1947;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
1947;SFA 24;4.5359290943564;NA;NA;NA;NA;NA;NA;NA;NA
1948;NAFO 4T;7.71107946040588;NA;NA;NA;NA;NA;NA;NA;NA
1948;SFA 21A;NA;NA;NA;NA;NA;NA;NA;NA;NA
1948;SFA 21B;NA;NA;NA;NA;NA;NA;NA;NA;NA
1948;SFA 21C;NA;NA;NA;NA;NA;NA;NA;NA;NA
1948;SFA 22;NA;NA;NA;NA;NA;NA;NA;NA;NA
1948;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
1948;SFA 24;7.71107946040588;NA;NA;NA;NA;NA;NA;NA;NA
1949;NAFO 4T;0.436;NA;NA;NA;NA;NA;NA;NA;NA
1949;SFA 21A;NA;NA;NA;NA;NA;NA;NA;NA;NA
1949;SFA 21B;NA;NA;NA;NA;NA;NA;NA;NA;NA
1949;SFA 21C;NA;NA;NA;NA;NA;NA;NA;NA;NA
1949;SFA 22;NA;NA;NA;NA;NA;NA;NA;NA;NA
1949;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
1949;SFA 24;NA;NA;NA;NA;NA;NA;NA;NA;NA
1950;NAFO 4T;11.7934156453266;NA;NA;NA;NA;NA;NA;NA;NA
1950;SFA 21A;NA;NA;NA;NA;NA;NA;NA;NA;NA
1950;SFA 21B;NA;NA;NA;NA;NA;NA;NA;NA;NA
1950;SFA 21C;NA;NA;NA;NA;NA;NA;NA;NA;NA
1950;SFA 22;NA;NA;NA;NA;NA;NA;NA;NA;NA
1950;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
1950;SFA 24;11.7934156453266;NA;NA;NA;NA;NA;NA;NA;NA
1951;NAFO 4T;10.8862298264554;NA;NA;NA;NA;NA;NA;NA;NA
1951;SFA 21A;NA;NA;NA;NA;NA;NA;NA;NA;NA
1951;SFA 21B;NA;NA;NA;NA;NA;NA;NA;NA;NA
1951;SFA 21C;NA;NA;NA;NA;NA;NA;NA;NA;NA
1951;SFA 22;NA;NA;NA;NA;NA;NA;NA;NA;NA
1951;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
1951;SFA 24;10.8862298264554;NA;NA;NA;NA;NA;NA;NA;NA
1952;NAFO 4T;100.28939227622;NA;NA;NA;NA;NA;NA;NA;NA
1952;SFA 21A;NA;NA;NA;NA;NA;NA;NA;NA;NA
1952;SFA 21B;NA;NA;NA;NA;NA;NA;NA;NA;NA
1952;SFA 21C;NA;NA;NA;NA;NA;NA;NA;NA;NA
1952;SFA 22;32.8401266431403;NA;NA;NA;NA;NA;NA;NA;NA
1952;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
1952;SFA 24;67.4492656330796;NA;NA;NA;NA;NA;NA;NA;NA
1953;NAFO 4T;35.8429117036043;NA;NA;NA;NA;NA;NA;NA;NA
1953;SFA 21A;NA;NA;NA;NA;NA;NA;NA;NA;NA
1953;SFA 21B;NA;NA;NA;NA;NA;NA;NA;NA;NA
1953;SFA 21C;NA;NA;NA;NA;NA;NA;NA;NA;NA
1953;SFA 22;30.671952536038;NA;NA;NA;NA;NA;NA;NA;NA
1953;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
1953;SFA 24;5.17095916756629;NA;NA;NA;NA;NA;NA;NA;NA
1954;NAFO 4T;24.9476100189602;NA;NA;NA;NA;NA;NA;NA;NA
1954;SFA 21A;NA;NA;NA;NA;NA;NA;NA;NA;NA
1954;SFA 21B;NA;NA;NA;NA;NA;NA;NA;NA;NA
1954;SFA 21C;NA;NA;NA;NA;NA;NA;NA;NA;NA
1954;SFA 22;24.9476100189602;NA;NA;NA;NA;NA;NA;NA;NA
1954;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
1954;SFA 24;NA;NA;NA;NA;NA;NA;NA;NA;NA
1955;NAFO 4T;18.4612314140305;NA;NA;NA;NA;NA;NA;NA;NA
1955;SFA 21A;NA;NA;NA;NA;NA;NA;NA;NA;NA
1955;SFA 21B;NA;NA;NA;NA;NA;NA;NA;NA;NA
1955;SFA 21C;NA;NA;NA;NA;NA;NA;NA;NA;NA
1955;SFA 22;15.3314403389246;NA;NA;NA;NA;NA;NA;NA;NA
1955;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
1955;SFA 24;3.12979107510591;NA;NA;NA;NA;NA;NA;NA;NA
1956;NAFO 4T;123.241193493663;NA;NA;NA;NA;NA;NA;NA;NA
1956;SFA 21A;NA;NA;NA;NA;NA;NA;NA;NA;NA
1956;SFA 21B;NA;NA;NA;NA;NA;NA;NA;NA;NA
1956;SFA 21C;NA;NA;NA;NA;NA;NA;NA;NA;NA
1956;SFA 22;1.81437163774256;NA;NA;NA;NA;NA;NA;NA;NA
1956;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
1956;SFA 24;121.426821855921;NA;NA;NA;NA;NA;NA;NA;NA
1957;NAFO 4T;116.616469051356;NA;NA;NA;NA;NA;NA;NA;NA
1957;SFA 21A;0.139706616106177;NA;NA;NA;NA;NA;NA;NA;NA
1957;SFA 21B;NA;NA;NA;NA;NA;NA;NA;NA;NA
1957;SFA 21C;NA;NA;NA;NA;NA;NA;NA;NA;NA
1957;SFA 22;1.53586559134908;NA;NA;NA;NA;NA;NA;NA;NA
1957;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
1957;SFA 24;114.940896843901;NA;NA;NA;NA;NA;NA;NA;NA
1958;NAFO 4T;92.7044116446372;NA;NA;NA;NA;NA;NA;NA;NA
1958;SFA 21A;NA;NA;NA;NA;NA;NA;NA;NA;NA
1958;SFA 21B;NA;NA;NA;NA;NA;NA;NA;NA;NA
1958;SFA 21C;NA;NA;NA;NA;NA;NA;NA;NA;NA
1958;SFA 22;0.442253086699749;NA;NA;NA;NA;NA;NA;NA;NA
1958;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
1958;SFA 24;92.2621585579374;NA;NA;NA;NA;NA;NA;NA;NA
1959;NAFO 4T;47.9053079442262;NA;NA;NA;NA;NA;NA;NA;NA
1959;SFA 21A;NA;NA;NA;NA;NA;NA;NA;NA;NA
1959;SFA 21B;NA;NA;NA;NA;NA;NA;NA;NA;NA
1959;SFA 21C;0.00725748655097024;NA;NA;NA;NA;NA;NA;NA;NA
1959;SFA 22;1.18206312198928;NA;NA;NA;NA;NA;NA;NA;NA
1959;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
1959;SFA 24;46.715987335686;NA;NA;NA;NA;NA;NA;NA;NA
1960;NAFO 4T;6.56303580662427;NA;NA;NA;NA;NA;NA;NA;NA
1960;SFA 21A;NA;NA;NA;NA;NA;NA;NA;NA;NA
1960;SFA 21B;NA;NA;NA;NA;NA;NA;NA;NA;NA
1960;SFA 21C;NA;NA;NA;NA;NA;NA;NA;NA;NA
1960;SFA 22;4.21750687193258;NA;NA;NA;NA;NA;NA;NA;NA
1960;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
