L'année,Nom du site,Province,Latitude,Longitude,Nom de la rivière,Zone de pêche,ONGC,Température moyenne de l'air à l'arrivée,Température moyenne de l'eau sur le rivage,Profondeur moyenne de l'eau (m),Durée totale de fonctionnement (h),Nom commun en anglais,Nom commun en français,Nom scientifique,ITIS TSN,Spécimens mesurés,Longueur moyenne (mm),Type de longueur
2002,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,9.400,8.663,,2991.0,American eel,anguille d'Amérique,Anguilla rostrata,161127,72,299.722,total
2002,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,9.400,8.663,,2991.0,Atlantic salmon,saumon atlantique,Salmo salar,161996,2654,75.300,fork
2002,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,9.400,8.663,,2991.0,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,64,59.333,fork
2002,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,9.400,8.663,,2991.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,2,53.500,fork
2002,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,9.400,8.663,,2991.0,Finescale dace,ventre citron,Chrosomus neogaeus,163594,13,,fork
2002,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,9.400,8.663,,2991.0,Lamprey (non specific),lamproies (non spécifique),,159697,15,,fork
2002,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,9.400,8.663,,2991.0,Round whitefish,ménomini rond,Prosopium cylindraceum,162008,2,275.000,fork
2002,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,9.400,8.663,,2991.0,Sea Lamprey,lamproie marine,Petromyzon marinus,159722,50,,fork
2002,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,9.400,8.663,,2991.0,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,3,,fork
2002,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,9.400,8.663,,2991.0,Stickleback (non specific),épinoches (non spécifique),,166363,14,,fork
2002,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,9.400,8.663,,2991.0,Suckers (non specific),catostomes (non spécifique),,163892,6,37.000,fork
2002,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,9.400,8.663,,2991.0,White sucker,meunier noir,Catostomus commersoni,553273,2,,fork
2003,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.581,9.324,,3654.0,Alewife,gaspareau,Alosa pseudoharengus,161706,7,87.500,fork
2003,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.581,9.324,,3654.0,American eel,anguille d'Amérique,Anguilla rostrata,161127,141,273.617,total
2003,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.581,9.324,,3654.0,Atlantic salmon,saumon atlantique,Salmo salar,161996,5088,72.435,fork
2003,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.581,9.324,,3654.0,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,61,56.000,fork
2003,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.581,9.324,,3654.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,7,60.000,fork
2003,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.581,9.324,,3654.0,Finescale dace,ventre citron,Chrosomus neogaeus,163594,5,,fork
2003,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.581,9.324,,3654.0,Lamprey (non specific),lamproies (non spécifique),,159697,817,,fork
2003,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.581,9.324,,3654.0,Northern redbelly dace,ventre rouge du nord,Chrosomus eos,163592,1,80.000,fork
2003,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.581,9.324,,3654.0,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,10,,fork
2003,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.581,9.324,,3654.0,Stickleback (non specific),épinoches (non spécifique),,166363,36,,fork
2003,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.581,9.324,,3654.0,Suckers (non specific),catostomes (non spécifique),,163892,4,50.000,fork
2003,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.581,9.324,,3654.0,White sucker,meunier noir,Catostomus commersoni,553273,13,120.000,fork
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.598,8.622,,4758.0,Alewife,gaspareau,Alosa pseudoharengus,161706,4,215.550,fork
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.598,8.622,,4758.0,American eel,anguille d'Amérique,Anguilla rostrata,161127,163,305.119,total
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.598,8.622,,4758.0,Atlantic salmon,saumon atlantique,Salmo salar,161996,6141,80.994,fork
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.598,8.622,,4758.0,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,245,,fork
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.598,8.622,,4758.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,15,101.600,fork
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.598,8.622,,4758.0,Finescale dace,ventre citron,Chrosomus neogaeus,163594,14,,fork
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.598,8.622,,4758.0,Longnose sucker,meunier rouge,Catostomus catostomus,163894,1,155.000,fork
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.598,8.622,,4758.0,Northern redbelly dace,ventre rouge du nord,Chrosomus eos,163592,3,,fork
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.598,8.622,,4758.0,Sea Lamprey,lamproie marine,Petromyzon marinus,159722,892,,fork
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.598,8.622,,4758.0,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,12,,fork
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.598,8.622,,4758.0,Stickleback (non specific),épinoches (non spécifique),,166363,13,,fork
