site_name,river_name,province,fishing_area,latitude,longitude,cgndb,years_sampled,species_observed
Kedgwick-RST,Kedgwick River,New Brunswick,SFA15,47.6711,-67.5098,DALLK,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2021, 2022","Alewife | TSN: 161706 | COUNT: 16
American eel | TSN: 161127 | COUNT: 832
Atlantic salmon | TSN: 161996 | COUNT: 65,042
Blacknose dace | TSN: 163382 | COUNT: 1,101
Brook trout | TSN: 162003 | COUNT: 215
Common shiner | TSN: 163836 | COUNT: 2
Creek chub | TSN: 163376 | COUNT: 2
Finescale dace | TSN: 163594 | COUNT: 402
Gaspereau | TSN: 161701 | COUNT: 46
Lake chub | TSN: 163535 | COUNT: 10
Lamprey (non specific) | TSN: 159697 | COUNT: 832
Longnose sucker | TSN: 163894 | COUNT: 2
Northern redbelly dace | TSN: 163592 | COUNT: 11
Round whitefish | TSN: 162008 | COUNT: 2
Sea Lamprey | TSN: 159722 | COUNT: 6,837
Slimy sculpin | TSN: 167232 | COUNT: 231
Stickleback (non specific) | TSN: 166363 | COUNT: 112
Suckers (non specific) | TSN: 163892 | COUNT: 88
three-spined stickleback | TSN: 166365 | COUNT: 98
White sucker | TSN: 553273 | COUNT: 201
Yellow perch | TSN: 168469 | COUNT: 2"
LittleMainRestigouche-RST,Little Main Restigouche River,New Brunswick,SFA15,47.5285,-67.6187,DAQCE,2003,"American eel | TSN: 161127 | COUNT: 1
Atlantic salmon | TSN: 161996 | COUNT: 2,260
Blacknose dace | TSN: 163382 | COUNT: 120
Brook trout | TSN: 162003 | COUNT: 249
Lamprey (non specific) | TSN: 159697 | COUNT: 362
Round whitefish | TSN: 162008 | COUNT: 2
Slimy sculpin | TSN: 167232 | COUNT: 20
Stickleback (non specific) | TSN: 166363 | COUNT: 42
Suckers (non specific) | TSN: 163892 | COUNT: 55"
Butters-RST,Restigouche River,New Brunswick,SFA15,47.9867,-66.8023,DACGO,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2021","Alewife | TSN: 161706 | COUNT: 5
American eel | TSN: 161127 | COUNT: 3,526
American Shad | TSN: 161702 | COUNT: 2
Atlantic salmon | TSN: 161996 | COUNT: 24,449
Banded killifish | TSN: 165646 | COUNT: 35
Blacknose dace | TSN: 163382 | COUNT: 453
Brook trout | TSN: 162003 | COUNT: 19
Common shiner | TSN: 163836 | COUNT: 11
Finescale dace | TSN: 163594 | COUNT: 3,755
four-spined stickleback | TSN: 166397 | COUNT: 1
Gaspereau | TSN: 161701 | COUNT: 3
Lake chub | TSN: 163535 | COUNT: 781
Lamprey (non specific) | TSN: 159697 | COUNT: 26
