nom_de_site,nom_de_rivière,province,zone_de_pêche,latitude,longitude,cgndb,années_échantillonnées,espèces_observées
Kedgwick-RST,Kedgwick River,Nouveau-Brunswick,SFA15,47.6711,-67.5098,DALLK,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2021, 2022","gaspareau | TSN: 161706 | COMPTE: 16
anguille dAmérique | TSN: 161127 | COMPTE: 832
saumon atlantique | TSN: 161996 | COMPTE: 65,042
naseux noir | TSN: 163382 | COMPTE: 1,101
omble de fontaine | TSN: 162003 | COMPTE: 215
méné à nageoires rouges | TSN: 163836 | COMPTE: 2
mulet à cornes | TSN: 163376 | COMPTE: 2
ventre citron | TSN: 163594 | COMPTE: 402
gaspareau | TSN: 161701 | COMPTE: 46
méné de lac | TSN: 163535 | COMPTE: 10
lamproies (non spécifique) | TSN: 159697 | COMPTE: 832
meunier rouge | TSN: 163894 | COMPTE: 2
ventre rouge du nord | TSN: 163592 | COMPTE: 11
ménomini rond | TSN: 162008 | COMPTE: 2
lamproie marine | TSN: 159722 | COMPTE: 6,837
chabot visqueux | TSN: 167232 | COMPTE: 231
épinoches (non spécifique) | TSN: 166363 | COMPTE: 112
catostomes (non spécifique) | TSN: 163892 | COMPTE: 88
épinoche à trois épines | TSN: 166365 | COMPTE: 98
meunier noir | TSN: 553273 | COMPTE: 201
perchaude | TSN: 168469 | COMPTE: 2"
LittleMainRestigouche-RST,Little Main Restigouche River,Nouveau-Brunswick,SFA15,47.5285,-67.6187,DAQCE,2003,"anguille dAmérique | TSN: 161127 | COMPTE: 1
saumon atlantique | TSN: 161996 | COMPTE: 2,260
naseux noir | TSN: 163382 | COMPTE: 120
omble de fontaine | TSN: 162003 | COMPTE: 249
lamproies (non spécifique) | TSN: 159697 | COMPTE: 362
ménomini rond | TSN: 162008 | COMPTE: 2
chabot visqueux | TSN: 167232 | COMPTE: 20
épinoches (non spécifique) | TSN: 166363 | COMPTE: 42
catostomes (non spécifique) | TSN: 163892 | COMPTE: 55"
Butters-RST,Restigouche River,Nouveau-Brunswick,SFA15,47.9867,-66.8023,DACGO,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2021","gaspareau | TSN: 161706 | COMPTE: 5
anguille dAmérique | TSN: 161127 | COMPTE: 3,526
alose savoureuse | TSN: 161702 | COMPTE: 2
saumon atlantique | TSN: 161996 | COMPTE: 24,449
fondule barré | TSN: 165646 | COMPTE: 35
naseux noir | TSN: 163382 | COMPTE: 453
omble de fontaine | TSN: 162003 | COMPTE: 19
méné à nageoires rouges | TSN: 163836 | COMPTE: 11
ventre citron | TSN: 163594 | COMPTE: 3,755
épinoche à quatre épines | TSN: 166397 | COMPTE: 1
gaspareau | TSN: 161701 | COMPTE: 3
méné de lac | TSN: 163535 | COMPTE: 781
lamproies (non spécifique) | TSN: 159697 | COMPTE: 26
épinoche à neuf épines | TSN: 166387 | COMPTE: 23
ventre rouge du nord | TSN: 163592 | COMPTE: 3,332
éperlan arc-en-ciel | TSN: 162043 | COMPTE: 35,512
lamproie marine | TSN: 159722 | COMPTE: 219
chabot visqueux | TSN: 167232 | COMPTE: 20
épinoches (non spécifique) | TSN: 166363 | COMPTE: 5,162
catostomes (non spécifique) | TSN: 163892 | COMPTE: 1,509
épinoche à trois épines | TSN: 166365 | COMPTE: 4,235
meunier noir | TSN: 553273 | COMPTE: 846"
Moses-RST,Restigouche River,Nouveau-Brunswick,SFA15,47.9971,-66.8159,DACGO,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2017, 2018, 2019, 2022","gaspareau | TSN: 161706 | COMPTE: 6
anguille dAmérique | TSN: 161127 | COMPTE: 1,039
alose savoureuse | TSN: 161702 | COMPTE: 2
saumon atlantique | TSN: 161996 | COMPTE: 24,928
fondule barré | TSN: 165646 | COMPTE: 40
naseux noir | TSN: 163382 | COMPTE: 114
omble de fontaine | TSN: 162003 | COMPTE: 19
méné à nageoires rouges | TSN: 163836 | COMPTE: 4
ventre citron | TSN: 163594 | COMPTE: 616
gaspareau | TSN: 161701 | COMPTE: 7
méné jaune | TSN: 163368 | COMPTE: 1
méné de lac | TSN: 163535 | COMPTE: 66
lamproies (non spécifique) | TSN: 159697 | COMPTE: 11
choquemort | TSN: 165647 | COMPTE: 4
épinoche à neuf épines | TSN: 166387 | COMPTE: 14
ventre rouge du nord | TSN: 163592 | COMPTE: 513
éperlan arc-en-ciel | TSN: 162043 | COMPTE: 4,025
lamproie marine | TSN: 159722 | COMPTE: 126
chabot visqueux | TSN: 167232 | COMPTE: 10
épinoches (non spécifique) | TSN: 166363 | COMPTE: 1,469
catostomes (non spécifique) | TSN: 163892 | COMPTE: 1,587
épinoche à trois épines | TSN: 166365 | COMPTE: 1,728
meunier noir | TSN: 553273 | COMPTE: 1,161"
Upsalquitch-RST,Upsalquitch River,Nouveau-Brunswick,SFA15,47.8532,-66.9092,DAPWI,"2004, 2005, 2007, 2008, 2009, 2010, 2012, 2013, 2014, 2015, 2018, 2019, 2021, 2022","gaspareau | TSN: 161706 | COMPTE: 7
anguille dAmérique | TSN: 161127 | COMPTE: 943
saumon atlantique | TSN: 161996 | COMPTE: 42,617
fondule barré | TSN: 165646 | COMPTE: 8
naseux noir | TSN: 163382 | COMPTE: 751
omble de fontaine | TSN: 162003 | COMPTE: 25
barbotte brune  | TSN: 164043 | COMPTE: 1
méné à nageoires rouges | TSN: 163836 | COMPTE: 24
ventre citron | TSN: 163594 | COMPTE: 402
gaspareau | TSN: 161701 | COMPTE: 15
méné de lac | TSN: 163535 | COMPTE: 106
lamproies (non spécifique) | TSN: 159697 | COMPTE: 12
ménés (non spécifique) | TSN: 163342 | COMPTE: 5
ventre rouge du nord | TSN: 163592 | COMPTE: 71
éperlan arc-en-ciel | TSN: 162043 | COMPTE: 7,370
truite arc-en-ciel | TSN: 161989 | COMPTE: 14
lamproie marine | TSN: 159722 | COMPTE: 303
chabot visqueux | TSN: 167232 | COMPTE: 43
épinoches (non spécifique) | TSN: 166363 | COMPTE: 201
catostomes (non spécifique) | TSN: 163892 | COMPTE: 103
épinoche à trois épines | TSN: 166365 | COMPTE: 171
meunier noir | TSN: 553273 | COMPTE: 317"
