year,site_name,province,latitude,longitude,river_name,fishing_area,CGNDB,avg_air_temp_arrival,avg_water_temp_shore,avg_water_depth,species_eng,species_fra,species_latin,tsn,specimens_measured,avg_length_mm,length_type
2002,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,9.237,8.663,,American eel,anguille d'Amérique,Anguilla rostrata,161127,72,299.722,total
2002,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,9.237,8.663,,Atlantic salmon,saumon atlantique,Salmo salar,161996,2654,75.3,fork
2002,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,9.237,8.663,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,64,59.333,fork
2002,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,9.237,8.663,,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,2,53.5,fork
2002,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,9.237,8.663,,Finescale dace,ventre citron,Chrosomus neogaeus,163594,13,,fork
2002,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,9.237,8.663,,Lamprey (non specific),lamproies (non spécifique),,159697,15,,fork
2002,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,9.237,8.663,,Round whitefish,ménomini rond,Prosopium cylindraceum,162008,2,275,fork
2002,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,9.237,8.663,,Sea Lamprey,lamproie marine,Petromyzon marinus,159722,50,,fork
2002,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,9.237,8.663,,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,3,,fork
2002,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,9.237,8.663,,Stickleback (non specific),épinoches (non spécifique),,166363,14,,fork
2002,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,9.237,8.663,,Suckers (non specific),catostomes (non spécifique),,163892,6,37,fork
2002,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,9.237,8.663,,White sucker,meunier noir,Catostomus commersoni,553273,2,,fork
2002,Butters-RST,New Brunswick,47.9867,-66.8023,Restigouche River,SFA15,DACGO,16.702,16.806,,Alewife,gaspareau,Alosa pseudoharengus,161706,3,138.5,fork
2002,Butters-RST,New Brunswick,47.9867,-66.8023,Restigouche River,SFA15,DACGO,16.702,16.806,,American eel,anguille d'Amérique,Anguilla rostrata,161127,429,263.368,total
2002,Butters-RST,New Brunswick,47.9867,-66.8023,Restigouche River,SFA15,DACGO,16.702,16.806,,American Shad,alose savoureuse,Alosa sapidissima,161702,1,,fork
2002,Butters-RST,New Brunswick,47.9867,-66.8023,Restigouche River,SFA15,DACGO,16.702,16.806,,Atlantic salmon,saumon atlantique,Salmo salar,161996,1012,126.946,fork
2002,Butters-RST,New Brunswick,47.9867,-66.8023,Restigouche River,SFA15,DACGO,16.702,16.806,,Banded killifish,fondule barré,Fundulus diaphanus,165646,6,,fork
2002,Butters-RST,New Brunswick,47.9867,-66.8023,Restigouche River,SFA15,DACGO,16.702,16.806,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,189,,fork
2002,Butters-RST,New Brunswick,47.9867,-66.8023,Restigouche River,SFA15,DACGO,16.702,16.806,,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,14,,fork
2002,Butters-RST,New Brunswick,47.9867,-66.8023,Restigouche River,SFA15,DACGO,16.702,16.806,,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,4,,fork
2002,Butters-RST,New Brunswick,47.9867,-66.8023,Restigouche River,SFA15,DACGO,16.702,16.806,,Lamprey (non specific),lamproies (non spécifique),,159697,10,,fork
