Year__Année,SSB_spring,SSB_spring 95% low,SSB_spring 95% high,SSB_fall North,SSB_fall North 95% low,SSB_fall North 95% high,SSB_fall Middle,SSB_fall Middle 95% low,SSB_fall Middle 95% high,SSB_fall South,SSB_fall South 95% low,SSB_fall South 95% high,SSB_fall Total,SSB_fall Total 95% low,SSB_fall Total 95% high
1978,71214.91603,59312.47787,85505.85723,63057.40397,31190.48109,127482.3618,18893.00102,13152.21077,27139.58086,45316.4202,31847.57558,64481.45274,127266.8252,90839.5635,223484.8348
1979,55330.58011,44929.77434,68139.07124,68522.04429,32134.61976,146112.5287,17386.14714,11578.04893,26107.86273,65573.52252,45584.83953,94327.12499,151481.7139,111837.5866,216871.8219
1980,42933.64134,32609.40324,56526.5652,130881.0628,64355.82095,266174.0983,16465.39869,9976.740696,27174.14057,72200.52219,47809.0951,109036.0609,219546.9837,143799.6227,358611.6769
1981,55520.54698,39472.87797,78092.38382,216919.1532,109401.7683,430101.9973,20130.0901,11282.42794,35916.07495,111060.9565,73646.51139,167482.9646,348110.1998,220801.745,590840.9905
1982,109261.2242,76968.36243,155102.8856,312997.4267,163660.4899,598601.3433,21871.8651,12182.7366,39266.91505,136874.3996,92052.43783,203520.9681,471743.6914,318980.4971,713540.9359
1983,154654.2267,108975.8998,219479.0765,342148.9406,185177.2511,632182.9321,22547.79054,12022.29498,42288.33672,187984.8713,129081.985,273766.4114,552681.6024,397140.4872,759591.1376
1984,197038.3976,139951.6452,277411.0306,338215.9668,190460.5477,600597.0348,21226.04368,11084.77539,40645.38203,203396.2705,139586.6416,296375.3723,562838.281,406855.7659,847679.8534
1985,238136.7755,172474.7612,328796.6509,319137.3568,185919.421,547810.7232,19685.11554,10646.55892,36397.09099,219610.9638,151463.5453,318419.6918,558433.4361,418743.4473,786021.5728
1986,233052.9653,168911.9677,321550.2453,295158.286,176796.2097,492761.7733,21742.90069,12489.15201,37853.14887,261629.9817,181868.937,376371.2947,578531.1684,444886.2103,778590.4796
1987,187853.7804,135890.198,259687.9196,269540.2629,164280.0106,442244.635,25510.4641,15353.17003,42387.5836,256355.839,176774.5289,371763.4922,551406.566,434798.6561,772455.4669
1988,168229.1485,122369.4719,231275.3822,245112.5563,150420.4234,399414.9458,32885.76058,19921.13077,54287.74407,240079.3518,163630.2764,352245.9071,518077.6686,375131.9119,723221.0165
1989,151421.6547,113788.4421,201501.2869,219131.7047,135185.0645,355207.1689,28139.59192,17612.46517,44958.87578,218156.2795,149084.6623,319229.098,465427.5761,363226.5117,641005.0693
1990,164172.4697,130852.0051,205977.7364,248902.0211,155731.4386,397814.4469,39808.41002,25385.42612,62425.95657,217710.7049,147844.0228,320594.3003,506421.136,393136.991,642191.053
1991,177336.7494,148190.5748,212215.404,275234.9804,176608.2934,428939.6209,53763.5337,34008.84684,84993.10693,230321.3098,159888.7916,331780.0154,559319.8238,448398.2277,745756.8141
1992,171432.4297,146030.9859,201252.3422,227722.1862,147507.7386,351557.1088,51969.35953,34398.68798,78515.03905,205135.5089,144224.1239,291772.1104,484827.0546,365672.1153,612360.5791
1993,153607.3032,132626.2109,177907.5451,218748.2095,145872.8054,328030.8419,46878.27632,32600.05082,67410.10321,198426.2534,142593.5898,276120.2527,464052.7392,386190.8071,609691.9467
