river_name__nom_de_la_rivière,site_code__numéro_du_site,latitude,longitude,date,site_type__type_de_site,water_cond__cond_eau,water_temp_c__temp_eau_c,seine_type__type_de_senne,electrofisher__électropêcheur,electrofisher_pulse_type__type_d'impulsion_du_électropêcheur,electrofisher_frequency__fréquence_du_électropêcheur,duty_cycle__facteur_d'utilisation,electrofisher_voltage__tension_du_électropêcheur,electrofisher_output_low__sortie_faible_du_électropêcheur,electrofisher_output_high__sortie_élevé_du_électropêcheur,bank_length_left__longueur_de_la_banque_à_gauche,bank_length_right__longueur_de_la_banque_à_droite,width_lower__largeur_inférieure,width_middle__largeur_moyenne,width_upper__largeur_supérieure,max_overhanging_veg_left__max_vég_en_surplomb_à_gauche,max_overhanging_veg_right__max_vég_en_surplomb_à_droite,overhanging_veg_left__vég_en_surplomb_à_gauche,overhanging_veg_right__vég_en_surplomb_à_droite,depth_1_lower__profondeur_1_inférieure,depth_2_lower__profondeur_2_inférieure,depth_3_lower__profondeur_3_inférieure,depth_1_middle__profondeur_1_moyenne,depth_2_middle__profondeur_2_moyenne,depth_3_middle__profondeur_3_moyenne,depth_1_upper__profondeur_1_supérieur,depth_2_upper__profondeur_2_supérieur,depth_3_upper__profondeur_3_supérieur,max_depth__profondeur_max,percent_fine__pourcentage_fin,percent_sand__pourcentage_sable,percent_gravel__pourcentage_gravier,percent_pebble__pourcentage_caillou,percent_cobble__pourcentage_pierre,percent_rocks__pourcentage_roches,percent_boulder__pourcentage_rocher,percent_bedrock__pourcentage_substratum,percent_riffle__pourcentage_radier,percent_run__pourcentage_courant,percent_flat__pourcentage_plat,percent_pool__pourcentage_bassin,age_thresh_0_1__seuil d'âge_0_1,age_thresh_1_2__seuil d'âge_1_2,age_thresh_2_3__seuil d'âge_2_3,sample_id__numéro_d_identification_de_l_échantillon
Sutherland Brook,23,46.938217,-65.82165,2023-10-12,Open,33.2,10.9,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D00688] (Miramichi unit),Standard pulse ,60.0,25,375.0,,,21.1,21.1,6.0,6.5,7.3,4.5,3.5,60.0,75.0,28.0,24.0,24.0,26.0,28.0,15.0,27.0,28.0,37.0,37.0,0.0,10.0,5.0,15.0,20.0,40.0,10.0,0.0,15,85,0,0,75,,,10610
Clearwater Brook,121,46.758583,-66.8399,2023-10-06,Open,28.5,15.7,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D00688] (Miramichi unit),Standard pulse ,60.0,25,400.0,,,12.5,13.8,8.0,8.8,12.2,1.0,0.0,40.0,0.0,39.0,62.0,28.0,31.0,34.0,50.0,35.0,12.0,14.0,62.0,0.0,10.0,15.0,25.0,30.0,20.0,0.0,0.0,40,60,0,0,68,,,10609
Burnthill Brook,120,46.681633,-66.97095,2023-10-06,Open,25.5,13.1,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D00688] (Miramichi unit),Standard pulse ,60.0,25,400.0,,,14.0,14.0,9.8,11.2,11.1,0.25,0.75,50.0,75.0,36.0,53.0,38.0,34.0,36.0,30.0,47.0,38.0,41.0,57.0,0.0,20.0,15.0,20.0,15.0,15.0,15.0,0.0,15,85,0,0,73,118,,10608
McKiel Brook,129,46.550433,-67.044217,2023-10-06,Open,23.2,14.3,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D00688] (Miramichi unit),Standard pulse ,60.0,25,400.0,,,11.7,11.7,9.6,10.7,10.8,0.5,1.0,90.0,80.0,30.0,41.0,29.0,26.0,36.0,22.0,28.0,25.0,19.0,47.0,0.0,5.0,20.0,25.0,30.0,15.0,5.0,0.0,25,75,0,0,70,120,,10607
Burnt Land Brook,84,46.46075735456083,-66.40793591737749,2023-10-05,Open,22.5,15.0,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D00688] (Miramichi unit),Standard pulse ,60.0,25,400.0,,,22.2,22.2,8.7,9.1,8.2,0.0,0.0,0.0,0.0,43.0,43.0,57.0,35.0,23.0,60.0,35.0,19.0,34.0,60.0,0.0,5.0,10.0,20.0,30.0,20.0,15.0,0.0,25,75,0,0,80,,,10606
Rocky Brook,92,46.688983,-66.635867,2023-10-05,Open,21.7,14.1,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D00688] (Miramichi unit),Standard pulse ,60.0,25,400.0,,,19.8,19.8,11.0,12.6,11.7,1.0,1.0,75.0,80.0,50.0,34.0,53.0,44.0,43.0,20.0,45.0,27.0,40.0,54.0,0.0,5.0,15.0,15.0,30.0,30.0,5.0,0.0,25,75,0,0,65,110,,10605
Southwest Miramichi River,61,46.609867,-65.891583,2023-10-04,Open,36.5,15.0,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D00688] (Miramichi unit),Standard pulse ,60.0,25,400.0,,,4.2,6.0,37.3,37.6,38.2,0.0,0.0,0.0,0.0,69.0,64.0,56.0,65.0,65.0,47.0,65.0,67.0,49.0,75.0,0.0,10.0,18.0,60.0,10.0,2.0,0.0,0.0,10,90,0,0,70,,,10604
Cains River,78,46.43505,-66.017367,2023-10-04,Open,22.2,13.9,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D00688] (Miramichi unit),Standard pulse ,60.0,25,400.0,,,3.8,6.0,36.1,29.4,35.4,0.25,0.5,90.0,100.0,34.0,68.0,38.0,41.0,57.0,43.0,51.0,65.0,39.0,68.0,0.0,10.0,25.0,20.0,30.0,13.0,2.0,0.0,20,80,0,0,72,,,10603
Cains River,77,46.40531834426621,-66.11140161752702,2023-10-04,Open,17.5,10.6,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D00688] (Miramichi unit),Standard pulse ,60.0,25,450.0,,,5.9,8.0,33.5,33.2,34.5,0.0,0.25,0.0,60.0,44.0,37.0,35.0,52.0,36.0,33.0,44.0,32.0,45.0,61.0,0.0,10.0,10.0,20.0,15.0,5.0,0.0,40.0,5,85,10,0,72,,,10602
Renous River,52,46.826783,-66.003883,2023-10-03,Open,29.8,16.3,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D00688] (Miramichi unit),Standard pulse ,60.0,25,425.0,,,12.8,12.8,17.7,21.0,19.4,0.0,0.0,0.0,0.0,35.0,29.0,56.0,34.0,25.0,57.0,45.0,29.0,63.0,67.0,0.0,5.0,15.0,25.0,30.0,20.0,5.0,0.0,40,60,0,0,78,113,,10601
Dungarvon River,117,46.7937,-65.955833,2023-10-03,Open,30.9,15.0,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D00688] (Miramichi unit),Standard pulse ,60.0,25,400.0,,,26.6,26.6,12.0,9.1,8.8,0.0,0.0,0.0,0.0,43.0,37.0,33.0,25.0,48.0,20.0,27.0,51.0,8.0,,0.0,15.0,15.0,25.0,35.0,10.0,0.0,0.0,40,60,0,0,75,,,10600
North PoleStream,145,46.979583,-66.478117,2023-09-29,Open,20.2,9.6,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D00688] (Miramichi unit),Standard pulse ,60.0,25,475.0,,,4.0,6.4,26.0,26.3,25.6,0.75,3.0,100.0,100.0,37.0,39.0,25.0,57.0,60.0,44.0,28.0,54.0,43.0,64.0,0.0,5.0,15.0,5.0,5.0,20.0,50.0,0.0,15,85,0,0,75,126,,10599
Northwest Miramichi River,26,47.055167,-65.83205,2023-09-28,Open,43.9,11.7,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D00688] (Miramichi unit),Standard pulse ,60.0,25,425.0,,,7.0,6.7,65.0,68.0,68.0,0.0,0.0,0.0,0.0,56.0,50.0,55.0,56.0,53.0,39.0,54.0,52.0,52.0,67.0,0.0,5.0,10.0,5.0,10.0,0.0,0.0,70.0,0,100,0,0,72,120,,10598
Northwest Miramichi River,216,47.0156,-65.838333,2023-09-28,Open,37.1,13.5,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D00688] (Miramichi unit),Standard pulse ,60.0,25,420.0,,,3.0,7.0,79.0,79.0,73.0,0.0,0.0,0.0,0.0,44.0,57.0,32.0,50.0,49.0,22.0,54.0,50.0,24.0,57.0,0.0,0.0,10.0,10.0,80.0,0.0,0.0,0.0,60,40,0,0,70,,,10597
North PoleStream,45,46.9608,-66.55995,2023-09-27,Open,20.4,14.2,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D00688] (Miramichi unit),Standard pulse ,60.0,25,400.0,,,7.7,8.7,28.0,29.0,29.4,0.5,0.25,50.0,15.0,36.0,50.0,21.0,32.0,65.0,26.0,22.0,54.0,45.0,68.0,0.0,5.0,15.0,25.0,30.0,20.0,5.0,0.0,40,60,0,0,70,115,,10596
Tuadook River,107,46.964667,-66.622183,2023-09-27,Open,13.8,18.8,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D00688] (Miramichi unit),Standard pulse ,60.0,25,400.0,,,9.9,8.0,19.6,23.0,24.9,0.5,1.0,100.0,80.0,44.0,50.0,47.0,40.0,46.0,36.0,41.0,46.0,36.0,56.0,0.0,10.0,10.0,15.0,30.0,20.0,15.0,0.0,30,70,0,0,,,,10595
Little Southwest Miramichi River,43,46.93725,-65.9075,2023-09-13,Open,27.7,17.7,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D00688] (Miramichi unit),Standard pulse ,60.0,25,400.0,,,14.1,14.1,17.4,17.6,16.2,0.25,0.0,60.0,0.0,33.0,22.0,51.0,36.0,18.0,54.0,34.0,16.0,54.0,64.0,0.0,10.0,20.0,25.0,40.0,5.0,0.0,0.0,15,85,0,0,65,,,10594
Little Southwest Miramichi River,44,46.895767,-66.146867,2023-09-13,Open,24.2,16.8,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D00688] (Miramichi unit),Standard pulse ,60.0,25,400.0,,,4.8,4.8,50.2,49.2,49.2,0.25,0.0,35.0,0.0,39.0,55.0,36.0,34.0,46.0,46.0,40.0,56.0,35.0,60.0,0.0,5.0,15.0,15.0,20.0,25.0,20.0,0.0,10,90,0,0,72,,,10593
Little Southwest Miramichi River,217,46.87935,-66.03715,2023-09-13,Open,26.8,16.6,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D00688] (Miramichi unit),Standard pulse ,60.0,25,400.0,,,9.4,9.4,20.6,19.9,19.1,0.0,0.25,0.0,100.0,38.0,37.0,22.0,30.0,37.0,36.0,37.0,36.0,25.0,47.0,0.0,5.0,15.0,20.0,35.0,20.0,5.0,0.0,30,70,0,0,70,,,10592
Southwest Miramichi River,58,46.487367,-66.4837,2023-09-08,Open,34.2,23.7,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D00688] (Miramichi unit),Standard pulse ,60.0,25,400.0,,,7.7,7.7,30.0,30.0,30.0,1.25,0.0,65.0,0.0,27.0,30.0,31.0,29.0,38.0,30.0,23.0,40.0,19.0,50.0,0.0,5.0,10.0,15.0,40.0,30.0,0.0,0.0,30,70,0,0,70,,,10591
Cains River,212,46.31898616538557,-66.2885829806328,2023-09-08,Open,20.0,18.7,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D00688] (Miramichi unit),Standard pulse ,60.0,25,475.0,,,9.0,8.3,28.1,28.8,27.7,1.5,4.0,10.0,90.0,25.0,30.0,27.0,27.0,23.0,14.0,28.0,18.0,30.0,42.0,0.0,5.0,20.0,35.0,30.0,10.0,0.0,0.0,30,60,10,0,,,,10590
Little Sevogle River,40,47.041533,-65.8891,2023-09-07,Closed,49.5,,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D00688] (Miramichi unit),Standard pulse ,60.0,25,400.0,,,13.5,13.5,14.8,13.8,14.3,2.0,0.0,100.0,0.0,30.0,24.0,29.0,29.0,34.0,29.0,35.0,36.0,23.0,40.0,0.0,5.0,10.0,25.0,53.0,5.0,2.0,0.0,20,80,0,0,72,115,,10611
Northwest Miramichi River,33,47.1905,-66.119717,2023-09-06,Open,31.7,19.0,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D00688] (Miramichi unit),Standard pulse ,60.0,25,400.0,,,8.4,8.4,21.0,20.8,21.6,0.0,0.0,0.0,0.0,55.0,49.0,50.0,41.0,44.0,40.0,60.0,41.0,45.0,63.0,0.0,10.0,15.0,20.0,10.0,33.0,2.0,10.0,10,90,0,0,72,118,,10589
