L'année,Nom du site,Province,Latitude,Longitude,Nom de la rivière,Zone de pêche,ONGC,Température moyenne de l'eau sur le rivage,Nom commun en anglais,Nom commun en français,Nom scientifique,ITIS TSN,Spécimens mesurés,Longueur moyenne (mm),Type de longueur
1970,10,New Brunswick,47.264000,-65.516000,Bartibog River,SFA16,DBADW,14.400,American eel,anguille d'Amérique,Anguilla rostrata,161127,5,,total
1970,10,New Brunswick,47.264000,-65.516000,Bartibog River,SFA16,DBADW,14.400,Atlantic salmon,saumon atlantique,Salmo salar,161996,35,94.429,fork
1970,10,New Brunswick,47.264000,-65.516000,Bartibog River,SFA16,DBADW,14.400,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,8,,fork
1970,10,New Brunswick,47.264000,-65.516000,Bartibog River,SFA16,DBADW,14.400,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,53,,fork
1970,10,New Brunswick,47.264000,-65.516000,Bartibog River,SFA16,DBADW,14.400,Lamprey (non specific),lamproies (non spécifique),,159697,2,,fork
1970,10,New Brunswick,47.264000,-65.516000,Bartibog River,SFA16,DBADW,14.400,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,17,,fork
1970,23,New Brunswick,46.938000,-65.821000,Sutherland Brook,SFA16,DASFO,7.200,American eel,anguille d'Amérique,Anguilla rostrata,161127,3,,total
1970,23,New Brunswick,46.938000,-65.821000,Sutherland Brook,SFA16,DASFO,7.200,Atlantic salmon,saumon atlantique,Salmo salar,161996,89,101.876,fork
1970,23,New Brunswick,46.938000,-65.821000,Sutherland Brook,SFA16,DASFO,7.200,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,10,,fork
1970,23,New Brunswick,46.938000,-65.821000,Sutherland Brook,SFA16,DASFO,7.200,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,65,,fork
1970,23,New Brunswick,46.938000,-65.821000,Sutherland Brook,SFA16,DASFO,7.200,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,106,,fork
1970,23,New Brunswick,46.938000,-65.821000,Sutherland Brook,SFA16,DASFO,7.200,White sucker,meunier noir,Catostomus commersoni,553273,8,,fork
1970,4,New Brunswick,47.137000,-65.304000,Oyster River,SFA16,DAUAY,4.700,American eel,anguille d'Amérique,Anguilla rostrata,161127,1,,total
1970,4,New Brunswick,47.137000,-65.304000,Oyster River,SFA16,DAUAY,4.700,Atlantic salmon,saumon atlantique,Salmo salar,161996,2,140.500,fork
1970,4,New Brunswick,47.137000,-65.304000,Oyster River,SFA16,DAUAY,4.700,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,24,,fork
1970,4,New Brunswick,47.137000,-65.304000,Oyster River,SFA16,DAUAY,4.700,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,1,,fork
1970,40,New Brunswick,47.041930,-65.888860,Little Sevogle River,SFA16,DAQGG,9.450,American eel,anguille d'Amérique,Anguilla rostrata,161127,4,,total
1970,40,New Brunswick,47.041930,-65.888860,Little Sevogle River,SFA16,DAQGG,9.450,Atlantic salmon,saumon atlantique,Salmo salar,161996,120,78.750,fork
1970,40,New Brunswick,47.041930,-65.888860,Little Sevogle River,SFA16,DAQGG,9.450,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,3,,fork
1970,40,New Brunswick,47.041930,-65.888860,Little Sevogle River,SFA16,DAQGG,9.450,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,109,,fork
1970,40,New Brunswick,47.041930,-65.888860,Little Sevogle River,SFA16,DAQGG,9.450,Lamprey (non specific),lamproies (non spécifique),,159697,4,,fork
1970,40,New Brunswick,47.041930,-65.888860,Little Sevogle River,SFA16,DAQGG,9.450,White sucker,meunier noir,Catostomus commersoni,553273,16,,fork
1970,41,New Brunswick,47.018000,-65.931000,Little Sevogle River,SFA16,DAQGG,10.000,Atlantic salmon,saumon atlantique,Salmo salar,161996,30,98.167,fork
1970,41,New Brunswick,47.018000,-65.931000,Little Sevogle River,SFA16,DAQGG,10.000,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,8,,fork
1970,41,New Brunswick,47.018000,-65.931000,Little Sevogle River,SFA16,DAQGG,10.000,brook stickleback,épinoche à cinq épines,Culaea inconstans,166399,6,,fork
1970,41,New Brunswick,47.018000,-65.931000,Little Sevogle River,SFA16,DAQGG,10.000,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,1,,fork
1970,41,New Brunswick,47.018000,-65.931000,Little Sevogle River,SFA16,DAQGG,10.000,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,236,,fork
1970,41,New Brunswick,47.018000,-65.931000,Little Sevogle River,SFA16,DAQGG,10.000,Lamprey (non specific),lamproies (non spécifique),,159697,3,,fork
1970,41,New Brunswick,47.018000,-65.931000,Little Sevogle River,SFA16,DAQGG,10.000,White sucker,meunier noir,Catostomus commersoni,553273,34,,fork
1970,42,New Brunswick,47.001000,-65.960000,Little Sevogle River,SFA16,DAQGG,10.850,American eel,anguille d'Amérique,Anguilla rostrata,161127,3,,total
1970,42,New Brunswick,47.001000,-65.960000,Little Sevogle River,SFA16,DAQGG,10.850,Atlantic salmon,saumon atlantique,Salmo salar,161996,27,99.296,fork
1970,42,New Brunswick,47.001000,-65.960000,Little Sevogle River,SFA16,DAQGG,10.850,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,3,,fork
1970,42,New Brunswick,47.001000,-65.960000,Little Sevogle River,SFA16,DAQGG,10.850,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,130,,fork
1970,42,New Brunswick,47.001000,-65.960000,Little Sevogle River,SFA16,DAQGG,10.850,Lamprey (non specific),lamproies (non spécifique),,159697,6,,fork
1970,42,New Brunswick,47.001000,-65.960000,Little Sevogle River,SFA16,DAQGG,10.850,White sucker,meunier noir,Catostomus commersoni,553273,7,,fork
1970,47,New Brunswick,46.823000,-65.973000,Renous River,SFA16,DAXAN,12.250,American eel,anguille d'Amérique,Anguilla rostrata,161127,3,,total
1970,47,New Brunswick,46.823000,-65.973000,Renous River,SFA16,DAXAN,12.250,Atlantic salmon,saumon atlantique,Salmo salar,161996,58,85.717,fork
1970,47,New Brunswick,46.823000,-65.973000,Renous River,SFA16,DAXAN,12.250,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,76,,fork
1970,47,New Brunswick,46.823000,-65.973000,Renous River,SFA16,DAXAN,12.250,Lamprey (non specific),lamproies (non spécifique),,159697,2,,fork
1970,47,New Brunswick,46.823000,-65.973000,Renous River,SFA16,DAXAN,12.250,vertebrates,,,331030,63,,fork
1970,47,New Brunswick,46.823000,-65.973000,Renous River,SFA16,DAXAN,12.250,White sucker,meunier noir,Catostomus commersoni,553273,23,,fork
1970,48,New Brunswick,46.821930,-66.109910,Renous River,SFA16,DAXAN,10.500,Atlantic salmon,saumon atlantique,Salmo salar,161996,36,58.357,fork
1970,48,New Brunswick,46.821930,-66.109910,Renous River,SFA16,DAXAN,10.500,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,6,,fork
1970,48,New Brunswick,46.821930,-66.109910,Renous River,SFA16,DAXAN,10.500,brook stickleback,épinoche à cinq épines,Culaea inconstans,166399,1,,fork
1970,48,New Brunswick,46.821930,-66.109910,Renous River,SFA16,DAXAN,10.500,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,27,,fork
1970,48,New Brunswick,46.821930,-66.109910,Renous River,SFA16,DAXAN,10.500,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,156,,fork
1970,48,New Brunswick,46.821930,-66.109910,Renous River,SFA16,DAXAN,10.500,Lamprey (non specific),lamproies (non spécifique),,159697,11,,fork
1970,48,New Brunswick,46.821930,-66.109910,Renous River,SFA16,DAXAN,10.500,vertebrates,,,331030,130,,fork
1970,48,New Brunswick,46.821930,-66.109910,Renous River,SFA16,DAXAN,10.500,White sucker,meunier noir,Catostomus commersoni,553273,4,,fork
1970,49,New Brunswick,46.767000,-66.214000,Renous River,SFA16,DAXAN,8.500,Atlantic salmon,saumon atlantique,Salmo salar,161996,75,56.769,fork
1970,49,New Brunswick,46.767000,-66.214000,Renous River,SFA16,DAXAN,8.500,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,210,,fork
1970,49,New Brunswick,46.767000,-66.214000,Renous River,SFA16,DAXAN,8.500,Lamprey (non specific),lamproies (non spécifique),,159697,18,,fork
