month,julian.date,avg.temp,avg.humidex,time.since.deploy,tide.level,plot.glob,pred.treat,initial,burrowed,dead,prop.burrowed,prop.dead
Aug,232,27.4,35,24 h,IN,1,PI,5,5,0,1,0
Aug,232,27.4,35,24 h,IN,2,PE,5,5,0,1,0
Aug,232,27.4,35,24 h,IN,3,PI,5,4,1,0.8,0.2
Aug,232,27.4,35,24 h,IN,4,PE,5,5,0,1,0
Aug,232,27.4,35,24 h,IN,5,PI,5,5,0,1,0
Aug,232,27.4,35,24 h,IN,6,PE,5,4,0,0.8,0
Aug,232,27.4,35,24 h,IN,7,PE,5,4,0,0.8,0
Aug,232,27.4,35,24 h,IN,8,PI,5,4,1,0.8,0.2
Aug,232,27.4,35,24 h,IN,9,PE,5,4,0,0.8,0
Aug,232,27.4,35,24 h,IN,10,PI,5,4,1,0.8,0.2
Aug,232,27.4,35,24 h,S1,11,PE,5,5,0,1,0
Aug,232,27.4,35,24 h,S1,12,PI,5,5,0,1,0
Aug,232,27.4,35,24 h,S1,13,PE,5,5,0,1,0
Aug,232,27.4,35,24 h,S1,14,PI,5,5,0,1,0
Aug,232,27.4,35,24 h,S1,15,PE,5,4,0,0.8,0
Aug,232,27.4,35,24 h,S1,16,PE,5,5,0,1,0
Aug,232,27.4,35,24 h,S1,17,PE,5,5,0,1,0
Aug,232,27.4,35,24 h,S1,18,PI,5,5,0,1,0
Aug,232,27.4,35,24 h,S1,19,PI,5,3,2,0.6,0.4
Aug,232,27.4,35,24 h,S1,20,PI,5,4,0,0.8,0
Aug,232,27.4,35,24 h,S2,21,PE,5,4,0,0.8,0
Aug,232,27.4,35,24 h,S2,22,PE,5,5,0,1,0
Aug,232,27.4,35,24 h,S2,23,PI,5,5,0,1,0
Aug,232,27.4,35,24 h,S2,24,PE,5,5,0,1,0
Aug,232,27.4,35,24 h,S2,25,PI,5,5,0,1,0
Aug,232,27.4,35,24 h,S2,26,PE,5,4,0,0.8,0
Aug,232,27.4,35,24 h,S2,27,PE,5,5,0,1,0
Aug,232,27.4,35,24 h,S2,28,PI,5,3,0,0.6,0
Aug,232,27.4,35,24 h,S2,29,PI,5,4,0,0.8,0
Aug,232,27.4,35,24 h,S2,30,PI,5,5,0,1,0
Aug,232,27.4,35,48 h,IN,1,PI,5,5,0,1,0
Aug,232,27.4,35,48 h,IN,2,PE,5,5,0,1,0
Aug,232,27.4,35,48 h,IN,3,PI,5,3,1,0.6,0.2
Aug,232,27.4,35,48 h,IN,4,PE,5,5,0,1,0
Aug,232,27.4,35,48 h,IN,5,PI,5,5,0,1,0
Aug,232,27.4,35,48 h,IN,6,PE,5,4,0,0.8,0
Aug,232,27.4,35,48 h,IN,7,PE,5,4,0,0.8,0
Aug,232,27.4,35,48 h,IN,8,PI,5,4,1,0.8,0.2
Aug,232,27.4,35,48 h,IN,9,PE,5,4,1,0.8,0.2
Aug,232,27.4,35,48 h,IN,10,PI,5,3,2,0.6,0.4
Aug,232,27.4,35,48 h,S1,11,PE,5,5,0,1,0
Aug,232,27.4,35,48 h,S1,12,PI,5,1,3,0.2,0.6
Aug,232,27.4,35,48 h,S1,13,PE,5,5,0,1,0
Aug,232,27.4,35,48 h,S1,14,PI,5,3,1,0.6,0.2
Aug,232,27.4,35,48 h,S1,15,PE,5,4,0,0.8,0
Aug,232,27.4,35,48 h,S1,16,PE,5,2,1,0.4,0.2
Aug,232,27.4,35,48 h,S1,17,PE,5,5,0,1,0
Aug,232,27.4,35,48 h,S1,18,PI,5,5,0,1,0
Aug,232,27.4,35,48 h,S1,19,PI,5,3,2,0.6,0.4
