month,time.since.deploy,tide.level,plot.glob,pred.treat,initial,burrowed,prop.burrowed
May,15 min,IN,1,PE,5,0,0
May,15 min,IN,2,PE,5,0,0
May,15 min,IN,3,PE,5,0,0
May,15 min,IN,4,PE,5,0,0
May,15 min,IN,5,PI,5,0,0
May,15 min,IN,6,PI,5,0,0
May,15 min,IN,7,PI,5,0,0
May,15 min,IN,8,PI,5,0,0
May,15 min,IN,9,PE,5,0,0
May,15 min,IN,10,PI,5,0,0
May,15 min,S1,11,PE,5,0,0
May,15 min,S1,12,PI,5,0,0
May,15 min,S1,13,PE,5,0,0
May,15 min,S1,14,PI,5,0,0
May,15 min,S1,15,PE,5,0,0
May,15 min,S1,16,PI,5,0,0
May,15 min,S1,17,PE,5,0,0
May,15 min,S1,18,PE,5,0,0
May,15 min,S1,19,PI,5,0,0
May,15 min,S1,20,PI,5,0,0
May,15 min,S2,21,PI,5,0,0
May,15 min,S2,22,PI,5,0,0
May,15 min,S2,23,PE,5,0,0
May,15 min,S2,24,PE,5,0,0
May,15 min,S2,25,PE,5,0,0
May,15 min,S2,26,PE,5,0,0
May,15 min,S2,27,PI,5,0,0
May,15 min,S2,28,PI,5,0,0
May,15 min,S2,29,PE,5,0,0
May,15 min,S2,30,PI,5,0,0
May,30 min,IN,1,PE,5,0,0
May,30 min,IN,2,PE,5,0,0
May,30 min,IN,3,PE,5,0,0
May,30 min,IN,4,PE,5,0,0
May,30 min,IN,5,PI,5,0,0
May,30 min,IN,6,PI,5,0,0
May,30 min,IN,7,PI,5,0,0
May,30 min,IN,8,PI,5,0,0
May,30 min,IN,9,PE,5,0,0
May,30 min,IN,10,PI,5,0,0
May,30 min,S1,11,PE,5,0,0
May,30 min,S1,12,PI,5,0,0
May,30 min,S1,13,PE,5,0,0
May,30 min,S1,14,PI,5,0,0
May,30 min,S1,15,PE,5,0,0
May,30 min,S1,16,PI,5,0,0
May,30 min,S1,17,PE,5,0,0
May,30 min,S1,18,PI,5,0,0
May,30 min,S1,19,PI,5,0,0
May,30 min,S1,20,PE,5,0,0
May,30 min,S2,21,PI,5,0,0
May,30 min,S2,22,PI,5,0,0
May,30 min,S2,23,PE,5,0,0
May,30 min,S2,24,PE,5,0,0
May,30 min,S2,25,PE,5,0,0
May,30 min,S2,26,PE,5,0,0
May,30 min,S2,27,PI,5,0,0
May,30 min,S2,28,PI,5,0,0
May,30 min,S2,29,PE,5,0,0
May,30 min,S2,30,PI,5,0,0
May,45 min,IN,1,PE,5,0,0
May,45 min,IN,2,PE,5,0,0
May,45 min,IN,3,PE,5,0,0
May,45 min,IN,4,PE,5,0,0
May,45 min,IN,5,PI,5,0,0
May,45 min,IN,6,PI,5,0,0
May,45 min,IN,7,PI,5,0,0
May,45 min,IN,8,PI,5,0,0
May,45 min,IN,9,PE,5,0,0
May,45 min,IN,10,PI,5,0,0
May,45 min,S1,11,PE,5,0,0
May,45 min,S1,12,PI,5,1,0.2
May,45 min,S1,13,PE,5,0,0
May,45 min,S1,14,PI,5,0,0
May,45 min,S1,15,PE,5,0,0
May,45 min,S1,16,PI,5,0,0
May,45 min,S1,17,PE,5,0,0
May,45 min,S1,18,PI,5,0,0
May,45 min,S1,19,PI,5,0,0
May,45 min,S1,20,PE,5,0,0
May,45 min,S2,21,PI,5,0,0
May,45 min,S2,22,PI,5,0,0
May,45 min,S2,23,PE,5,0,0
May,45 min,S2,24,PE,5,0,0
May,45 min,S2,25,PE,5,0,0
May,45 min,S2,26,PE,5,0,0
May,45 min,S2,27,PI,5,0,0
May,45 min,S2,28,PI,5,1,0.2
May,45 min,S2,29,PE,5,0,0
May,45 min,S2,30,PI,5,0,0
May,60 min,IN,1,PE,5,0,0
May,60 min,IN,2,PE,5,0,0
May,60 min,IN,3,PE,5,0,0
May,60 min,IN,4,PE,5,0,0
May,60 min,IN,5,PI,5,0,0
May,60 min,IN,6,PI,5,0,0
May,60 min,IN,7,PI,5,0,0
May,60 min,IN,8,PI,5,0,0
May,60 min,IN,9,PE,5,0,0
May,60 min,IN,10,PI,5,0,0
May,60 min,S1,11,PE,5,0,0
May,60 min,S1,12,PI,5,1,0.2
May,60 min,S1,13,PE,5,0,0
May,60 min,S1,14,PI,5,0,0
May,60 min,S1,15,PE,5,0,0
May,60 min,S1,16,PI,5,0,0
May,60 min,S1,17,PE,5,1,0.2
May,60 min,S1,18,PI,5,0,0
May,60 min,S1,19,PI,5,0,0
May,60 min,S1,20,PE,5,0,0
May,60 min,S2,21,PI,5,0,0
May,60 min,S2,22,PI,5,2,0.4
May,60 min,S2,23,PE,5,0,0
May,60 min,S2,24,PE,5,0,0
May,60 min,S2,25,PE,5,1,0.2
May,60 min,S2,26,PE,5,0,0
May,60 min,S2,27,PI,5,0,0
May,60 min,S2,28,PI,5,1,0.2
May,60 min,S2,29,PE,5,0,0
May,60 min,S2,30,PI,5,0,0
May,75 min,IN,1,PE,5,0,0
May,75 min,IN,2,PE,5,0,0
May,75 min,IN,3,PE,5,0,0
May,75 min,IN,4,PE,5,0,0
May,75 min,IN,5,PI,5,0,0
May,75 min,IN,6,PI,5,0,0
May,75 min,IN,7,PI,5,0,0
