date,julian.date,max.temp,mean.temp
5/1/2024,122,11.1,5
5/2/2024,123,6.4,3.7
5/3/2024,124,6.3,4.6
5/4/2024,125,5.3,3.7
5/5/2024,126,13.9,8
5/6/2024,127,18.3,12.3
5/7/2024,128,17.1,10.7
5/8/2024,129,9.9,5.7
5/9/2024,130,8,3.5
5/10/2024,131,10.2,4.2
5/11/2024,132,12.4,6
5/12/2024,133,13.8,6.1
5/13/2024,134,19.1,8.4
5/14/2024,135,21.3,12.7
5/15/2024,136,19.4,11.6
5/16/2024,137,13.8,8.9
5/17/2024,138,17.4,10.2
5/18/2024,139,16.1,10
5/19/2024,140,15.1,11.8
5/20/2024,141,24.5,17
5/21/2024,142,29.8,21.3
5/22/2024,143,27.2,18.9
5/23/2024,144,20.3,14.6
5/24/2024,145,26.5,17.1
5/25/2024,146,17.4,11.7
5/26/2024,147,14,8.7
5/27/2024,148,17.3,9.9
5/28/2024,149,19.7,15.3
5/29/2024,150,20.4,13.1
5/30/2024,151,20.7,12.4
5/31/2024,152,14.9,8.4
6/1/2024,153,13.6,7.2
6/2/2024,154,20.4,14.4
6/3/2024,155,15.2,12.5
6/4/2024,156,18.7,12.1
6/5/2024,157,21.6,13
6/6/2024,158,18.6,12.9
6/7/2024,159,19,12.9
6/8/2024,160,16.6,13.4
6/9/2024,161,20.9,16.4
6/10/2024,162,19.1,15.4
6/11/2024,163,19.9,14.2
6/12/2024,164,21.2,14.3
6/13/2024,165,26.9,19
6/14/2024,166,28,21
6/15/2024,167,18.1,13.2
6/16/2024,168,23.9,15.5
6/17/2024,169,26.8,18
6/18/2024,170,31.5,22.4
6/19/2024,171,36.8,28.6
6/20/2024,172,33.6,26.9
6/21/2024,173,24.4,18.5
6/22/2024,174,28.6,19.7
6/23/2024,175,20.3,17.9
6/24/2024,176,18.3,16
6/25/2024,177,20.7,15.8
6/26/2024,178,29.1,20
6/27/2024,179,22.3,17.9
6/28/2024,180,21.7,15.9
6/29/2024,181,24.1,17.2
6/30/2024,182,26.4,20.3
7/1/2024,183,23.7,16.8
7/2/2024,184,27.7,18.3
7/3/2024,185,30,19.8
7/4/2024,186,22.6,19.3
7/5/2024,187,28.5,21.8
7/6/2024,188,21.9,19.8
7/7/2024,189,27,21.3
7/8/2024,190,31.1,23.3
7/9/2024,191,30.6,24.6
7/10/2024,192,30.4,24.3
7/11/2024,193,20.1,19
7/12/2024,194,24.3,21.2
7/13/2024,195,30.7,25.5
7/14/2024,196,32.1,26.1
7/15/2024,197,31.1,25.6
7/16/2024,198,27.8,23.4
7/17/2024,199,31.5,26.1
7/18/2024,200,27.3,22.1
7/19/2024,201,28.1,21.4
7/20/2024,202,27.9,21.1
7/21/2024,203,24.5,18.7
7/22/2024,204,24.7,18.3
7/23/2024,205,22.9,17.1
7/24/2024,206,25.2,18.9
7/25/2024,207,25.8,21.6
7/26/2024,208,24.1,17.7
7/27/2024,209,27,18
7/28/2024,210,31.3,24
7/29/2024,211,30.8,23.5
7/30/2024,212,27.4,21.7
7/31/2024,213,30.2,25.2
8/1/2024,214,28.2,23.7
8/2/2024,215,32.1,24.9
8/3/2024,216,30.9,25.9
8/4/2024,217,30.3,24.4
8/5/2024,218,28,21.2
8/6/2024,219,23.6,17.8
8/7/2024,220,25.4,16.9
8/8/2024,221,26,17.1
8/9/2024,222,22.2,17.2
8/10/2024,223,30.8,24.8
8/11/2024,224,29.2,22.4
8/12/2024,225,27.2,20.1
8/13/2024,226,25.7,19
8/14/2024,227,,
8/15/2024,228,26.7,16.9
8/16/2024,229,28.4,19.6
8/17/2024,230,27.5,21.2
8/18/2024,231,25.2,19.7
8/19/2024,232,28.8,23.2
8/20/2024,233,26.6,20.5
8/21/2024,234,16.6,15.5
8/22/2024,235,24.2,17.7
8/23/2024,236,22.2,16.6
8/24/2024,237,28.6,21
8/25/2024,238,30.6,23.2
8/26/2024,239,28,20.9
8/27/2024,240,29.6,21.5
8/28/2024,241,19.8,15.2
8/29/2024,242,21.6,14
8/30/2024,243,25.8,15.5
8/31/2024,244,24.9,17.7
9/1/2024,245,22,18.7
9/2/2024,246,22,16.7
9/3/2024,247,19.8,14
9/4/2024,248,24.7,16.6
9/5/2024,249,28.8,21.1
9/6/2024,250,24.6,18.2
9/7/2024,251,17.8,14.5
9/8/2024,252,22.8,14.9
9/9/2024,253,18.3,12.4
9/10/2024,254,,
9/11/2024,255,20.3,14.6
9/12/2024,256,23.4,14.8
9/13/2024,257,26.8,19.9
9/14/2024,258,18.5,11.9
9/15/2024,259,25.1,14.8
9/16/2024,260,29.3,21.5
9/17/2024,261,30.6,23.5
9/18/2024,262,30.2,22.6
9/19/2024,263,18.8,14.9
