date,month,hour,temp,humidex
5/22/2024,May,13,21.7,26
5/22/2024,May,14,25.2,29
5/22/2024,May,15,26.1,29
5/22/2024,May,16,27.1,30
6/20/2024,June,13,32.1,41
6/20/2024,June,14,32.2,39
6/20/2024,June,15,33.2,40
6/20/2024,June,16,32.8,39
7/3/2024,July,12,28.4,30
7/3/2024,July,13,29,30
7/3/2024,July,14,29.4,31
7/3/2024,July,15,28.5,30
8/19/2024,Aug,14,27.6,35
8/19/2024,Aug,15,27.8,35
8/19/2024,Aug,16,27.4,35
8/19/2024,Aug,17,26.7,35
9/16/2024,Sept,13,27.9,33
9/16/2024,Sept,14,28.7,34
9/16/2024,Sept,15,29,34
9/16/2024,Sept,16,28.9,34
