month,exp.temp,metric,proportion
Aug,27.4,burrowed.48h,1
Aug,27.4,burrowed.48h,1
Aug,27.4,burrowed.48h,0.6
Aug,27.4,burrowed.48h,1
Aug,27.4,burrowed.48h,1
Aug,27.4,burrowed.48h,0.8
Aug,27.4,burrowed.48h,0.8
Aug,27.4,burrowed.48h,0.8
Aug,27.4,burrowed.48h,0.8
Aug,27.4,burrowed.48h,0.6
Aug,27.4,burrowed.48h,1
Aug,27.4,burrowed.48h,0.2
Aug,27.4,burrowed.48h,1
Aug,27.4,burrowed.48h,0.6
Aug,27.4,burrowed.48h,0.8
Aug,27.4,burrowed.48h,0.4
Aug,27.4,burrowed.48h,1
Aug,27.4,burrowed.48h,1
Aug,27.4,burrowed.48h,0.6
Aug,27.4,burrowed.48h,0.8
Aug,27.4,burrowed.48h,1
Aug,27.4,burrowed.48h,1
Aug,27.4,burrowed.48h,0.6
Aug,27.4,burrowed.48h,1
Aug,27.4,burrowed.48h,0.6
Aug,27.4,burrowed.48h,0.8
Aug,27.4,burrowed.48h,1
Aug,27.4,burrowed.48h,0.2
Aug,27.4,burrowed.48h,0.6
Aug,27.4,burrowed.48h,1
July,28.8,burrowed.48h,0.8
July,28.8,burrowed.48h,0.6
July,28.8,burrowed.48h,1
July,28.8,burrowed.48h,1
July,28.8,burrowed.48h,0.6
July,28.8,burrowed.48h,1
July,28.8,burrowed.48h,1
July,28.8,burrowed.48h,1
July,28.8,burrowed.48h,0.4
July,28.8,burrowed.48h,0.8
July,28.8,burrowed.48h,1
July,28.8,burrowed.48h,1
July,28.8,burrowed.48h,1
July,28.8,burrowed.48h,1
July,28.8,burrowed.48h,1
July,28.8,burrowed.48h,1
July,28.8,burrowed.48h,0.6
July,28.8,burrowed.48h,1
July,28.8,burrowed.48h,0.8
July,28.8,burrowed.48h,1
July,28.8,burrowed.48h,0.8
July,28.8,burrowed.48h,0.8
July,28.8,burrowed.48h,1
July,28.8,burrowed.48h,1
July,28.8,burrowed.48h,1
July,28.8,burrowed.48h,1
July,28.8,burrowed.48h,1
July,28.8,burrowed.48h,0.8
July,28.8,burrowed.48h,1
July,28.8,burrowed.48h,1
June,32.6,burrowed.48h,0.2
June,32.6,burrowed.48h,0
June,32.6,burrowed.48h,0
June,32.6,burrowed.48h,0
June,32.6,burrowed.48h,0
June,32.6,burrowed.48h,0
June,32.6,burrowed.48h,0
June,32.6,burrowed.48h,0
June,32.6,burrowed.48h,0
June,32.6,burrowed.48h,0
June,32.6,burrowed.48h,0.2
June,32.6,burrowed.48h,0
June,32.6,burrowed.48h,0
June,32.6,burrowed.48h,0
June,32.6,burrowed.48h,0
June,32.6,burrowed.48h,0
June,32.6,burrowed.48h,0.2
June,32.6,burrowed.48h,0.2
June,32.6,burrowed.48h,0
June,32.6,burrowed.48h,0
June,32.6,burrowed.48h,0
June,32.6,burrowed.48h,0
June,32.6,burrowed.48h,0
June,32.6,burrowed.48h,0.4
June,32.6,burrowed.48h,0.4
June,32.6,burrowed.48h,0
June,32.6,burrowed.48h,0
June,32.6,burrowed.48h,0
June,32.6,burrowed.48h,0
June,32.6,burrowed.48h,0
May,24.3,burrowed.48h,1
May,24.3,burrowed.48h,0.6
May,24.3,burrowed.48h,1
May,24.3,burrowed.48h,0.8
May,24.3,burrowed.48h,0.8
May,24.3,burrowed.48h,0.6
May,24.3,burrowed.48h,0.6
May,24.3,burrowed.48h,0.6
May,24.3,burrowed.48h,0.8
May,24.3,burrowed.48h,0.8
May,24.3,burrowed.48h,1
May,24.3,burrowed.48h,0.8
May,24.3,burrowed.48h,1
May,24.3,burrowed.48h,1
May,24.3,burrowed.48h,1
May,24.3,burrowed.48h,1
May,24.3,burrowed.48h,0.8
May,24.3,burrowed.48h,1
May,24.3,burrowed.48h,1
May,24.3,burrowed.48h,1
May,24.3,burrowed.48h,1
May,24.3,burrowed.48h,0.8
May,24.3,burrowed.48h,0.8
May,24.3,burrowed.48h,0.8
May,24.3,burrowed.48h,1
May,24.3,burrowed.48h,1
May,24.3,burrowed.48h,1
May,24.3,burrowed.48h,1
May,24.3,burrowed.48h,0.8
May,24.3,burrowed.48h,0.8
Sept,28.6,burrowed.48h,1
Sept,28.6,burrowed.48h,1
Sept,28.6,burrowed.48h,0.2
Sept,28.6,burrowed.48h,1
Sept,28.6,burrowed.48h,0.4
Sept,28.6,burrowed.48h,1
Sept,28.6,burrowed.48h,1
Sept,28.6,burrowed.48h,1
Sept,28.6,burrowed.48h,0.6
Sept,28.6,burrowed.48h,0.6
Sept,28.6,burrowed.48h,1
Sept,28.6,burrowed.48h,0.4
Sept,28.6,burrowed.48h,1
Sept,28.6,burrowed.48h,1
Sept,28.6,burrowed.48h,1
Sept,28.6,burrowed.48h,1
Sept,28.6,burrowed.48h,1
Sept,28.6,burrowed.48h,0.8
Sept,28.6,burrowed.48h,1
Sept,28.6,burrowed.48h,0.6
Sept,28.6,burrowed.48h,1
Sept,28.6,burrowed.48h,0.6
Sept,28.6,burrowed.48h,1
Sept,28.6,burrowed.48h,0.8
Sept,28.6,burrowed.48h,0.8
Sept,28.6,burrowed.48h,1
Sept,28.6,burrowed.48h,0.8
Sept,28.6,burrowed.48h,1
Sept,28.6,burrowed.48h,1
Sept,28.6,burrowed.48h,0.8
Aug,27.4,dead.48h,0
Aug,27.4,dead.48h,0
Aug,27.4,dead.48h,0.2
Aug,27.4,dead.48h,0
Aug,27.4,dead.48h,0
Aug,27.4,dead.48h,0
Aug,27.4,dead.48h,0
Aug,27.4,dead.48h,0.2
Aug,27.4,dead.48h,0.2
Aug,27.4,dead.48h,0.4
Aug,27.4,dead.48h,0
Aug,27.4,dead.48h,0.6
Aug,27.4,dead.48h,0
Aug,27.4,dead.48h,0.2
Aug,27.4,dead.48h,0
Aug,27.4,dead.48h,0.2
Aug,27.4,dead.48h,0
Aug,27.4,dead.48h,0
Aug,27.4,dead.48h,0.4
Aug,27.4,dead.48h,0
Aug,27.4,dead.48h,0
Aug,27.4,dead.48h,0
Aug,27.4,dead.48h,0.4
Aug,27.4,dead.48h,0
Aug,27.4,dead.48h,0.4
Aug,27.4,dead.48h,0
Aug,27.4,dead.48h,0
Aug,27.4,dead.48h,0.6
Aug,27.4,dead.48h,0.4
