year,julian.date,days.fished,avg.mucrab,avg.rockcrab,avg.greencrab,avg.total.crab,avg.cpue
2019,151,7.000000009,0.75,0,0,0.75,0.107142857
2019,157,6.999999944,0.5,0,0,0.5,0.071428572
2019,163,5.999999981,1.25,0,0,1.25,0.208333334
2019,170,6.999999993,0.75,0.25,0,1,0.142857143
2019,178,8,0.25,0.25,0,0.5,0.0625
2019,184,5,0.5,0.25,0,0.75,0.15
2019,198,13.99999989,0.25,0.25,0,0.5,0.035714286
2019,205,6.999999944,0.25,0,0,0.25,0.035714286
2019,212,7.000000009,0.75,0,0,0.75,0.107142857
2019,220,7.000000009,0.5,0.25,0,0.75,0.107142857
2019,227,6.999999944,0.5,0,0,0.5,0.071428572
2019,232,5.999999952,0.25,0,0,0.25,0.041666667
2019,238,6,0,0,0,0,0
2019,246,8,0.75,0,0,0.75,0.09375
2019,253,6.999999944,0.25,0,0,0.25,0.035714286
2019,260,7,0,0,0,0,0
2019,266,5.999999952,0.25,0.25,0,0.5,0.083333334
2019,273,7.000000009,0.5,0.25,0,0.75,0.107142857
2019,282,8.999999928,0,0.25,0,0.25,0.027777778
2019,288,6.00000001,0.25,1,0,1.25,0.208333333
2019,295,6.999999944,0.25,0,0,0.25,0.035714286
2020,246,8.999999993,0.5,3.75,0.75,5,0.555555556
2020,252,6,1.5,3.75,0,5.25,0.875
2020,258,6,0.25,4,0.25,4.5,0.75
2020,265,6.999999996,0.25,4.5,0,4.75,0.678571429
2020,273,8,0,7,0,7,0.875
2020,280,7.000000001,0,6,0,6,0.857142857
2020,289,9.000000001,0,9.75,0.25,10,1.111111111
2020,294,5,0,11.25,1.25,12.5,2.5
2020,301,6.999999997,0,5.25,0.25,5.5,0.785714286
2020,309,8,0,15,0.25,15.25,1.90625
2021,154,8,0,1,0,1,0.125
2021,161,6.999999993,0,2,0,2,0.285714286
2021,169,8,1,3,0,4,0.5
2021,174,5,0,1,0,1,0.2
2021,182,8,1,5,0,6,0.75
2021,196,13.99999999,1,2,1,4,0.285714286
2021,202,6,0,0,0,0,0
2021,208,6,0,0,0,0,0
2021,210,2,0,3,0,3,1.5
2021,243,4,0,1,0,1,0.25
2021,266,6,0,0,3,3,0.5
2021,274,8,0,1,8,9,1.125
2021,285,10.99999999,0,4,0,4,0.363636364
2021,291,5.999999999,0,16,0,16,2.666666667
2021,298,6.999999998,0,10,0,10,1.428571429
2022,171,12.99999552,0,14.5,0,14.5,1.115385
2022,179,8,0.5,7,0,7.5,0.9375
2022,189,10,0.5,7,0,7.5,0.75
2022,195,5.999999999,0,10,0,10,1.666666667
2022,202,6.999999999,0,8,0,8,1.142857143
2022,209,6.999999999,0,16,0,16,2.285714286
2022,215,5.999999997,0,9.5,0,9.5,1.583333334
2022,222,7.000000001,0,12,0,12,1.714285714
2022,229,6.999999997,0,12,0,12,1.714285715
2022,235,5.999999999,0,14.5,0,14.5,2.416666667
2022,245,10,0,17.5,0,17.5,1.75
2022,251,5.999999998,0,14,0,14,2.333333334
2022,257,5.999999999,0,13,0,13,2.166666667
2022,265,8,0,14.5,0,14.5,1.8125
2022,271,6,0,12,0,12,2
2022,287,16,0,21,0,21,1.3125
2022,294,6.999999999,0,11.5,0,11.5,1.642857143
2022,296,5,0,9.5,0,9.5,1.9
2023,167,6.999999944,0.5,0,0,0.5,0.071428572
2023,172,5,0.5,3,0,3.5,0.7
2023,181,9.000000009,0,1,0,1,0.111111111
2023,188,6.999999996,0,8.5,0,8.5,1.214285715
2023,195,7.000000003,0,2.5,0,2.5,0.357142857
2023,201,6.000000003,1,2.5,0,3.5,0.583333333
2023,207,6,0,1.5,0,1.5,0.25
2023,215,8,0.5,1.5,0,2,0.25
2023,222,6.999999977,0,1.5,0,1.5,0.214285715
2023,228,5.999999995,0,2.5,0,2.5,0.416666667
2023,235,6.999999998,0,4,0.5,4.5,0.642857143
2023,241,6.000000002,0,5,0,5,0.833333333
2023,249,8,0,3,0.5,3.5,0.4375
2023,256,6.999999944,0,0.5,0,0.5,0.071428572
2023,264,8,0,1,0,1,0.125
2023,269,5,0.5,0.5,0.5,1.5,0.3
2023,277,8,0,1.5,1,2.5,0.3125
2023,284,7.000000001,0,5,1,6,0.857142857
2023,293,8.999999998,0.5,11,0,11.5,1.277777778
2023,298,5,0.5,0,1,1.5,0.3
2024,155,6.999999993,0,1.5,0.5,2,0.285714286
2024,162,7,0,6.5,0.5,7,1
2024,169,6.999999997,0,6.5,0,6.5,0.928571429
2024,173,4,0,8,0,8,2
2024,178,6,0,11.5,0.5,12,2
2024,183,5,0,7.5,0,7.5,1.5
2024,190,5.999999996,0,6.5,0,6.5,1.083333334
2024,194,4,0,2.5,0.5,3,0.75
2024,200,6,0,13.5,1.5,15,2.5
2024,206,5.999999999,0,10.5,1,11.5,1.916666667
2024,214,8,0,4.5,0.5,5,0.625
2024,222,8,0,6,1.5,7.5,0.9375
2024,228,5,0,7.5,2,9.5,1.9
2024,235,8,0,11.5,2,13.5,1.6875
2024,242,6.999999999,0,8.5,4,12.5,1.785714286
2024,249,6.999999997,0,3,3.5,6.5,0.928571429
2024,255,5.999999998,0,8.5,2.5,11,1.833333334
2024,261,5.999999999,0,3.5,6.5,10,1.666666667
2024,270,8.999999995,0,7,1.5,8.5,0.944444445
2024,275,5,0,5.5,4,9.5,1.9
2024,284,8.999999997,0,5,2,7,0.777777778
2024,291,7,0,5,18.5,23.5,3.357142857
2024,296,5,0,8,6,14,2.8
2024,302,6.000000001,0,7.5,3.5,11,1.833333333
