year,date,day,site,bucket,released,burrowed,prop.burrowed
2021,18-Aug,230,20,1,3,1,0.333333333
2021,18-Aug,230,20,2,3,3,1
2021,18-Aug,230,20,3,3,3,1
2021,18-Aug,230,20,4,3,1,0.333333333
2021,18-Aug,230,20,5,3,3,1
2021,18-Aug,230,20,6,3,2,0.666666667
2021,18-Aug,230,20,7,3,3,1
2021,18-Aug,230,20,8,3,3,1
2021,18-Aug,230,20,9,3,3,1
2021,18-Aug,230,20,10,3,2,0.666666667
2021,18-Aug,230,20,11,3,2,0.666666667
2021,18-Aug,230,20,12,3,2,0.666666667
2021,18-Aug,230,21,1,3,1,0.333333333
2021,18-Aug,230,21,2,3,2,0.666666667
2021,18-Aug,230,21,3,3,3,1
2021,18-Aug,230,21,4,3,1,0.333333333
2021,18-Aug,230,21,5,3,3,1
2021,18-Aug,230,21,6,3,3,1
2021,18-Aug,230,21,7,3,1,0.333333333
2021,18-Aug,230,21,8,3,3,1
2021,18-Aug,230,21,9,3,3,1
2021,18-Aug,230,21,10,3,3,1
2021,18-Aug,230,21,11,3,3,1
2021,18-Aug,230,21,12,2,2,1
2021,18-Aug,230,24,1,3,3,1
2021,18-Aug,230,24,2,3,3,1
2021,18-Aug,230,24,3,3,2,0.666666667
2021,18-Aug,230,24,4,3,2,0.666666667
2021,18-Aug,230,24,5,3,2,0.666666667
2021,18-Aug,230,24,6,3,3,1
2021,18-Aug,230,24,7,3,3,1
2021,18-Aug,230,24,8,3,3,1
2021,18-Aug,230,24,9,3,3,1
2021,18-Aug,230,24,10,3,3,1
2021,18-Aug,230,24,11,3,3,1
2021,18-Aug,230,24,12,3,3,1
2021,18-Aug,230,25,1,3,1,0.333333333
2021,18-Aug,230,25,2,3,3,1
2021,18-Aug,230,25,3,3,2,0.666666667
2021,18-Aug,230,25,4,3,1,0.333333333
2021,18-Aug,230,25,5,3,2,0.666666667
2021,18-Aug,230,25,6,3,2,0.666666667
2021,18-Aug,230,25,7,3,0,0
