date,month,day.in.month,julian.date,precip.mm,trial
1-May-24,May,1,122,0,N
2-May-24,May,2,123,0,N
3-May-24,May,3,124,4.2,N
4-May-24,May,4,125,0.1,N
5-May-24,May,5,126,2.9,N
6-May-24,May,6,127,2.8,N
7-May-24,May,7,128,0,N
8-May-24,May,8,129,1.5,N
9-May-24,May,9,130,1.6,N
10-May-24,May,10,131,0,N
11-May-24,May,11,132,0,N
12-May-24,May,12,133,0,N
13-May-24,May,13,134,0,N
14-May-24,May,14,135,0,N
15-May-24,May,15,136,2.3,N
16-May-24,May,16,137,0,N
17-May-24,May,17,138,0,N
18-May-24,May,18,139,0,N
19-May-24,May,19,140,0,N
20-May-24,May,20,141,0,N
21-May-24,May,21,142,13.3,N
22-May-24,May,22,143,0,E
23-May-24,May,23,144,2.4,E
24-May-24,May,24,145,0,E
25-May-24,May,25,146,2.8,N
26-May-24,May,26,147,0,N
27-May-24,May,27,148,0,N
28-May-24,May,28,149,5.2,N
29-May-24,May,29,150,0,N
30-May-24,May,30,151,0,N
31-May-24,May,31,152,0,N
1-Jun-24,June,1,153,0,N
2-Jun-24,June,2,154,7.1,N
3-Jun-24,June,3,155,0.9,N
4-Jun-24,June,4,156,0,N
5-Jun-24,June,5,157,0,N
6-Jun-24,June,6,158,0,N
7-Jun-24,June,7,159,0,N
8-Jun-24,June,8,160,1.5,N
9-Jun-24,June,9,161,5.8,N
10-Jun-24,June,10,162,4.2,N
11-Jun-24,June,11,163,0,N
12-Jun-24,June,12,164,0,N
13-Jun-24,June,13,165,0,N
14-Jun-24,June,14,166,0,N
15-Jun-24,June,15,167,0,N
16-Jun-24,June,16,168,0,N
17-Jun-24,June,17,169,0,N
18-Jun-24,June,18,170,0,N
19-Jun-24,June,19,171,0,N
20-Jun-24,June,20,172,0,E
21-Jun-24,June,21,173,0,E
22-Jun-24,June,22,174,0,E
23-Jun-24,June,23,175,37.7,N
24-Jun-24,June,24,176,5.1,N
25-Jun-24,June,25,177,0,N
26-Jun-24,June,26,178,0,N
27-Jun-24,June,27,179,13.2,N
28-Jun-24,June,28,180,0,N
29-Jun-24,June,29,181,0,N
30-Jun-24,June,30,182,14.8,N
1-Jul-24,July,1,183,0,N
2-Jul-24,July,2,184,0,N
3-Jul-24,July,3,185,0,E
4-Jul-24,July,4,186,0.3,E
5-Jul-24,July,5,187,25.1,E
6-Jul-24,July,6,188,1.3,N
7-Jul-24,July,7,189,16.1,N
8-Jul-24,July,8,190,0,N
9-Jul-24,July,9,191,0,N
10-Jul-24,July,10,192,9.6,N
11-Jul-24,July,11,193,29.1,N
12-Jul-24,July,12,194,0.2,N
13-Jul-24,July,13,195,0,N
14-Jul-24,July,14,196,0,N
15-Jul-24,July,15,197,0,N
16-Jul-24,July,16,198,0,N
17-Jul-24,July,17,199,0,N
18-Jul-24,July,18,200,1.2,N
19-Jul-24,July,19,201,0,N
20-Jul-24,July,20,202,0,N
21-Jul-24,July,21,203,0.2,N
22-Jul-24,July,22,204,0,N
23-Jul-24,July,23,205,0.3,N
24-Jul-24,July,24,206,0,N
25-Jul-24,July,25,207,1.5,N
26-Jul-24,July,26,208,0,N
27-Jul-24,July,27,209,0,N
28-Jul-24,July,28,210,0,N
29-Jul-24,July,29,211,0,N
30-Jul-24,July,30,212,0,N
31-Jul-24,July,31,213,0,N
1-Aug-24,August,1,214,0,N
2-Aug-24,August,2,215,0,N
3-Aug-24,August,3,216,0.3,N
4-Aug-24,August,4,217,0.3,N
5-Aug-24,August,5,218,2.4,N
6-Aug-24,August,6,219,2.7,N
7-Aug-24,August,7,220,0,N
8-Aug-24,August,8,221,0,N
9-Aug-24,August,9,222,1,N
10-Aug-24,August,10,223,4.3,N
11-Aug-24,August,11,224,0,N
12-Aug-24,August,12,225,0,N
13-Aug-24,August,13,226,0,N
14-Aug-24,August,14,227,,N
15-Aug-24,August,15,228,0,N
16-Aug-24,August,16,229,0,N
17-Aug-24,August,17,230,0,N
18-Aug-24,August,18,231,0,N
19-Aug-24,August,19,232,0,E
20-Aug-24,August,20,233,10.7,E
21-Aug-24,August,21,234,3.6,E
22-Aug-24,August,22,235,3.3,N
23-Aug-24,August,23,236,9.2,N
24-Aug-24,August,24,237,0,N
25-Aug-24,August,25,238,0,N
26-Aug-24,August,26,239,0,N
27-Aug-24,August,27,240,0,N
28-Aug-24,August,28,241,3.8,N
29-Aug-24,August,29,242,0,N
