experiment,clam,shell.length
May,1,48.38
May,2,42.61
May,3,43.28
May,4,39.14
May,5,45.68
May,6,44.87
May,7,44.86
May,8,40.78
May,9,37.37
May,10,43.9
May,11,35.3
May,12,49.97
May,13,39.49
May,14,41.23
May,15,46.11
May,16,45.25
May,17,45.9
May,18,39.48
May,19,43.87
May,20,48.09
May,21,36.66
May,22,47.12
May,23,47.75
May,24,49.7
May,25,36.4
May,26,47.89
May,27,48.06
May,28,48.91
May,29,47.46
May,30,35.18
May,31,35.78
May,32,39.78
May,33,36.48
May,34,39.74
May,35,36.71
May,36,32.2
May,37,42.21
May,38,44.99
May,39,44.35
May,40,45.95
May,41,48.96
May,42,39.13
May,43,37.02
May,44,47.57
May,45,45.35
May,46,45.69
May,47,40.34
May,48,36.87
May,49,35.11
May,50,41.04
May,51,41.99
May,52,40.91
May,53,49.95
May,54,43.86
May,55,47.14
May,56,39.87
May,57,39.85
May,58,36.84
May,59,45.97
May,60,41.58
May,61,46.35
May,62,46.56
May,63,37.66
May,64,39.47
May,65,45.73
May,66,42.2
May,67,37.78
May,68,37.44
May,69,45.51
May,70,42.5
May,71,48.94
May,72,42.01
May,73,44.56
May,74,48.36
May,75,38.65
May,76,43.08
May,77,40.12
May,78,49.76
May,79,43.35
May,80,47.69
May,81,47.71
May,82,41.59
May,83,48.78
May,84,42.81
May,85,35.33
May,86,37.55
May,87,40.67
May,88,35.06
May,89,43.71
May,90,49.77
May,91,35.07
May,92,40.9
May,93,35.17
May,94,39.31
May,95,48.38
May,96,43.01
May,97,42.93
May,98,38.06
May,99,36.99
May,100,37.42
May,101,37.21
May,102,38.5
May,103,47.83
May,104,49.28
May,105,48.67
May,106,45.33
May,107,36.52
May,108,47.33
May,109,48.03
May,110,39.44
May,111,35.38
May,112,42.79
May,113,44.95
May,114,44.41
May,115,47.13
May,116,45.94
May,117,42.2
May,118,39.56
May,119,35
May,120,42.64
May,121,41.68
May,122,42.36
May,123,48.99
May,124,43.14
May,125,37.22
May,126,36.35
May,127,49.38
May,128,45.61
May,129,37.99
May,130,38.17
May,131,37.14
May,132,43.02
May,133,39.33
May,134,47.81
May,135,38.45
May,136,46.95
May,137,44.96
May,138,45
May,139,39.31
May,140,41.28
May,141,36.78
May,142,41.08
May,143,37.66
May,144,35.28
May,145,35.63
May,146,37.39
May,147,39.66
May,148,41.03
May,149,41.62
May,150,35.75
June,151,49.68
June,152,40.69
June,153,30.74
June,154,46.49
June,155,37.1
June,156,32.25
June,157,40.22
June,158,36.74
June,159,43.06
June,160,35.77
June,161,46.71
June,162,33.96
June,163,42.14
June,164,42.75
June,165,45.63
June,166,43.03
June,167,31.17
June,168,46.6
June,169,36.56
June,170,35.82
June,171,42.91
June,172,45.38
June,173,34.21
June,174,32.56
June,175,39.81
June,176,34.72
June,177,46.76
June,178,31.96
June,179,48.74
June,180,30.89
June,181,46.59
June,182,46.76
June,183,35.27
June,184,45.23
June,185,45.47
June,186,31.59
June,187,34.32
June,188,38.18
June,189,32.33
June,190,35.96
June,191,39.32
June,192,32.54
June,193,33.71
June,194,38.63
June,195,42.74
June,196,43.26
June,197,31.27
June,198,38.59
June,199,37.91
June,200,35.36
June,201,39.92
June,202,45.78
June,203,43
June,204,49.91
June,205,44.38
June,206,34.56
June,207,49.71
June,208,34.72
June,209,42.68
June,210,47.43
June,211,40.64
June,212,49.7
June,213,38.4
June,214,35.31
June,215,36.04
June,216,47.53
June,217,34.49
June,218,41.77
June,219,32.81
June,220,32.65
June,221,37.37
June,222,35.81
June,223,37.29
June,224,47.1
June,225,47.26
June,226,41.84
June,227,35.37
June,228,39.64
June,229,35.86
June,230,38.02
June,231,41.73
June,232,35.76
June,233,45.92
June,234,32.78
June,235,39.52
June,236,39.05
June,237,33.07
June,238,37.68
June,239,40.97
June,240,38.11
June,241,49.93
June,242,34.51
June,243,31.14
June,244,34.41
June,245,33.43
June,246,38.49
June,247,40.92
June,248,36.98
June,249,49.24
June,250,41.58
June,251,39.7
June,252,30.03
June,253,41.32
June,254,43.45
June,255,35.15
June,256,46.09
June,257,49.85
June,258,38.8
June,259,41.36
June,260,45.27
June,261,39.62
June,262,31.77
June,263,32.89
June,264,42.6
June,265,46.19
June,266,48.13
June,267,46.9
June,268,36.19
June,269,40.89
June,270,48.87
June,271,40.23
June,272,35.73
June,273,40.11
June,274,35.07
June,275,31.41
June,276,32.69
June,277,39.28
June,278,43.18
June,279,39.9
June,280,49.95
June,281,49.99
June,282,46.1
June,283,44.45
June,284,31.37
June,285,38.59
June,286,30.4
June,287,49.14
June,288,48.79
June,289,38.17
June,290,37.75
June,291,45.86
June,292,37.35
June,293,43.23
June,294,33.92
June,295,38.02
June,296,41.33
June,297,39.26
June,298,43.99
June,299,49.53
June,300,33.48
July,301,46.17
July,302,49.87
July,303,46.24
July,304,32.4
July,305,46.97
July,306,36.37
July,307,49.92
July,308,41.83
July,309,36.03
July,310,47.4
July,311,34.51
July,312,34.13
July,313,36.34
July,314,34.93
July,315,42.57
July,316,39.16
July,317,37.92
July,318,36.56
July,319,44.88
July,320,38.84
July,321,39.83
July,322,35.49
July,323,33.01
July,324,44.51
July,325,34.42
July,326,31.07
July,327,37.93
July,328,38.84
July,329,39.27
July,330,40
July,331,38.73
July,332,43.3
July,333,36.99
July,334,40.95
July,335,38.26
July,336,32.93
July,337,36.03
July,338,39.38
July,339,42.72
July,340,34.44
July,341,47.18
July,342,49.67
July,343,30.38
July,344,36.87
July,345,47.28
July,346,45.21
July,347,41.77
July,348,41.71
July,349,32.19
July,350,48.48
July,351,36.58
July,352,37.87
July,353,43.56
July,354,42.08
July,355,31.37
July,356,44.54
July,357,37.48
July,358,47.38
July,359,41.78
July,360,36.26
July,361,35.01
July,362,32.1
July,363,38.34
July,364,43.62
July,365,48.39
July,366,41.82
July,367,38.84
July,368,42.44
July,369,34.95
July,370,34.89
July,371,40.33
July,372,33.6
July,373,45.47
July,374,46.03
July,375,32.21
July,376,32.22
July,377,40.2
July,378,36.38
July,379,30.99
July,380,46.8
July,381,38.04
July,382,34.99
July,383,40.43
July,384,37.62
July,385,36.72
July,386,37.34
July,387,43.44
July,388,35.57
July,389,43.43
July,390,40.52
July,391,46.06
July,392,33.41
July,393,43.64
July,394,37.22
July,395,43.04
July,396,41.05
July,397,37.45
July,398,33.33
July,399,34.65
July,400,40.88
July,401,30.98
July,402,47.37
July,403,48.61
July,404,37.13
July,405,47.03
July,406,46.33
July,407,35.55
July,408,45.54
July,409,39.59
July,410,40.59
July,411,35.98
July,412,37.01
July,413,38.63
July,414,34.2
July,415,33.3
July,416,46.8
July,417,46.12
July,418,49.03
July,419,44.57
July,420,41.13
July,421,44.68
July,422,40.28
July,423,44.72
July,424,45.97
July,425,31.73
July,426,37.52
July,427,42.89
July,428,41.81
July,429,46.63
July,430,47.06
July,431,44.83
July,432,45.16
July,433,43.65
July,434,47.12
July,435,42.1
July,436,47.93
July,437,46.77
July,438,38.82
July,439,33.32
July,440,36.81
July,441,48.62
July,442,34.36
July,443,38.08
July,444,47.78
July,445,44.81
July,446,42.17
July,447,36.91
July,448,43.84
July,449,38.46
July,450,32.14
August,451,35.54
August,452,44.48
August,453,45.15
August,454,46.16
August,455,32.41
August,456,39.6
August,457,46.85
August,458,31.89
August,459,37.58
August,460,39.02
August,461,34.18
August,462,37.93
August,463,49.99
August,464,32.98
August,465,44.4
August,466,44.82
August,467,36.21
August,468,32.6
August,469,40.93
August,470,45.84
August,471,30
August,472,35.26
August,473,43.25
August,474,31.11
August,475,43.06
August,476,31.91
August,477,37.63
August,478,44.03
August,479,39.56
August,480,34.5
August,481,40.24
August,482,38.87
August,483,39.74
August,484,33.24
August,485,49.49
August,486,42.22
August,487,36.58
August,488,46.93
August,489,36.82
August,490,38.7
August,491,38.71
August,492,49.94
August,493,35.57
August,494,38.9
August,495,45.45
August,496,48.21
August,497,43.94
August,498,33.01
August,499,34.58
August,500,34.45
August,501,39.74
August,502,49.09
August,503,31.01
August,504,35.51
August,505,37.97
August,506,38.95
August,507,33.31
August,508,30.12
August,509,42.88
August,510,45.9
August,511,42.01
