Sample.ID,River,Year,Month,Day,Angler.ID,Rod.days,Pools.visited,Is.dummy.date,Specimen.ID,Species,Life.stage,Code,Adipose.condition,Tag.number
55487,Margaree River (SFA18),1999,8,17,zlDFn,1,,No,NA,NA,NA,NA,NA,NA
55627,Margaree River (SFA18),1999,10,19,zlDFn,1,,No,NA,NA,NA,NA,NA,NA
54637,West River Antigonish (SFA18),2013,10,19,zlDFn,1,,No,NA,NA,NA,NA,NA,NA
55742,Margaree River (SFA18),1999,7,22,zlDFn,1,,No,NA,NA,NA,NA,NA,NA
47654,Margaree River (SFA18),1995,10,7,28Zyi,1,,No,NA,NA,NA,NA,NA,NA
47641,Margaree River (SFA18),1995,10,3,28Zyi,1,,No,NA,NA,NA,NA,NA,NA
35675,Margaree River (SFA18),1995,10,4,28Zyi,1,,No,NA,NA,NA,NA,NA,NA
33965,Margaree River (SFA18),1995,10,8,28Zyi,1,,No,NA,NA,NA,NA,NA,NA
35398,Margaree River (SFA18),1995,10,6,28Zyi,1,,No,NA,NA,NA,NA,NA,NA
35351,Margaree River (SFA18),1995,10,9,28Zyi,1,,No,NA,NA,NA,NA,NA,NA
34145,Margaree River (SFA18),1995,10,5,28Zyi,1,,No,NA,NA,NA,NA,NA,NA
47602,Margaree River (SFA18),1995,10,10,28Zyi,1,,No,NA,NA,NA,NA,NA,NA
42187,Margaree River (SFA18),2023,3,23,kXwXb,1,Swimming hole,No,NA,NA,NA,NA,NA,NA
42196,Margaree River (SFA18),2023,4,13,kXwXb,1,john doyles/lower tompkins,No,NA,NA,NA,NA,NA,NA
36401,Margaree River (SFA18),2023,3,18,kXwXb,1,"Wash, doyle's bridge/john doyles",No,NA,NA,NA,NA,NA,NA
42186,Margaree River (SFA18),2023,3,21,kXwXb,1,hatchery,No,NA,NA,NA,NA,NA,NA
54909,Margaree River (SFA18),2024,7,17,ac3iL,1,Garden,No,2748319,Atlantic salmon,salmon,R,Present,
54905,Margaree River (SFA18),2024,7,12,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54907,Margaree River (SFA18),2024,7,15,ac3iL,1,Brook,No,2748317,Atlantic salmon,salmon,RL,,
42497,Margaree River (SFA18),2023,8,28,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
36082,Margaree River (SFA18),2023,10,20,ac3iL,1,Dollar,No,2741484,Atlantic salmon,salmon,RL,,
54946,Margaree River (SFA18),2024,9,25,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
36909,Margaree River (SFA18),2023,6,20,ac3iL,1,Long Marsh,No,2742049,Atlantic salmon,grilse,R,Present,
36909,Margaree River (SFA18),2023,6,20,ac3iL,0,Long Marsh,No,2739683,Atlantic salmon,salmon,R,Present,
42373,Margaree River (SFA18),2023,8,18,ac3iL,1,Dollar,No,2739714,Atlantic salmon,salmon,R,Present,
42147,Margaree River (SFA18),2023,5,16,ac3iL,1,Long marsh,No,2740383,Atlantic salmon,salmon,R,Present,
54863,Margaree River (SFA18),2024,6,13,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
34595,Margaree River (SFA18),2023,7,22,ac3iL,1,Brook/Garden,No,2741472,Atlantic salmon,salmon,RL,,
54908,Margaree River (SFA18),2024,7,16,ac3iL,1,Garden,No,2748318,Atlantic salmon,salmon,R,Present,
42148,Margaree River (SFA18),2023,5,15,ac3iL,1,Long marsh,No,2740382,Atlantic salmon,salmon,R,Present,
54948,Margaree River (SFA18),2024,9,27,ac3iL,1,Forks,No,2748531,Atlantic salmon,salmon,RL,,
42490,Margaree River (SFA18),2023,2,20,ac3iL,1,Garden,No,2739722,Atlantic salmon,salmon,R,Present,
42250,Margaree River (SFA18),2023,9,24,ac3iL,1,Forks,No,2741486,Atlantic salmon,salmon,RL,,
42263,Margaree River (SFA18),2023,9,29,ac3iL,1,Brook,No,2741489,Atlantic salmon,salmon,RL,,
42133,Margaree River (SFA18),2023,5,8,ac3iL,1,long marsh,No,2740381,Atlantic salmon,salmon,R,Present,
42470,Margaree River (SFA18),2023,8,25,ac3iL,1,Dollar,No,2739719,Atlantic salmon,salmon,R,Present,
34574,Margaree River (SFA18),2023,6,14,ac3iL,1,Long Marsh,No,2739678,Atlantic salmon,salmon,R,Present,
54915,Margaree River (SFA18),2024,7,23,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54950,Margaree River (SFA18),2024,9,29,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
35867,Margaree River (SFA18),2023,8,19,ac3iL,1,Dollar,No,2739716,Atlantic salmon,salmon,R,Present,
34858,Margaree River (SFA18),2023,8,8,ac3iL,1,Brook,No,2739705,Atlantic salmon,salmon,R,Present,
54906,Margaree River (SFA18),2024,7,13,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
34858,Margaree River (SFA18),2023,8,8,ac3iL,0,Brook,No,2741476,Atlantic salmon,salmon,RL,,
37067,Margaree River (SFA18),2023,6,22,ac3iL,1,Long Marsh,No,2739686,Atlantic salmon,salmon,R,Present,
54904,Margaree River (SFA18),2024,7,11,ac3iL,1,Forks,No,2748316,Atlantic salmon,grilse,R,Present,
42374,Margaree River (SFA18),2023,8,20,ac3iL,1,Dollar,No,2739717,Atlantic salmon,salmon,R,Present,
54947,Margaree River (SFA18),2024,9,26,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
35154,Margaree River (SFA18),2023,7,19,ac3iL,1,Brook/Garden,No,2741469,Atlantic salmon,salmon,RL,,
42292,Margaree River (SFA18),2023,10,26,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54865,Margaree River (SFA18),2024,6,15,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54911,Margaree River (SFA18),2024,7,19,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54914,Margaree River (SFA18),2024,7,22,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
35317,Margaree River (SFA18),2023,7,11,ac3iL,1,Brook/Garden,No,2739695,Atlantic salmon,salmon,R,Present,
42150,Margaree River (SFA18),2023,6,16,ac3iL,1,Long Marsh,No,2739680,Atlantic salmon,salmon,R,Present,
35154,Margaree River (SFA18),2023,7,19,ac3iL,0,Brook/Garden,No,2741468,Atlantic salmon,salmon,RL,,
54952,Margaree River (SFA18),2024,10,1,ac3iL,1,Forks,No,2748565,Atlantic salmon,salmon,R,Present,
54951,Margaree River (SFA18),2024,9,30,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54864,Margaree River (SFA18),2024,6,14,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
42134,Margaree River (SFA18),2023,6,15,ac3iL,1,Long Marsh,No,2739679,Atlantic salmon,salmon,R,Present,
42494,Margaree River (SFA18),2023,8,29,ac3iL,1,Dollar,No,2739721,Atlantic salmon,salmon,R,Present,
35370,Margaree River (SFA18),2023,10,4,ac3iL,1,Snag/Seal,No,2742051,Atlantic salmon,grilse,R,Present,
54912,Margaree River (SFA18),2024,7,20,ac3iL,1,Garden,No,2748322,Atlantic salmon,salmon,R,Present,
36082,Margaree River (SFA18),2023,10,20,ac3iL,0,Dollar,No,2739729,Atlantic salmon,salmon,R,Present,
