Specimen.ID__ID.spécimen,Sample.ID__ID.échantillon,Site__Site,Year__Année,Month__Mois,Day__Jour,Species__Espèces,Life.stage__Stade.vie,Code__Code,Adipose.condition__Condition.adipeuse,Tag.number__Numéro.d'étiquette
2735094,48405,All Pools / Tous les bassins @ Margaree River,1989,7,23,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735095,35321,All Pools / Tous les bassins @ Margaree River,1989,9,3,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735096,48639,All Pools / Tous les bassins @ Margaree River,1989,9,16,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735097,48624,All Pools / Tous les bassins @ Margaree River,1989,10,3,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735098,36108,All Pools / Tous les bassins @ Margaree River,1989,7,11,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735099,36115,All Pools / Tous les bassins @ Margaree River,1989,7,14,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735100,36045,All Pools / Tous les bassins @ Margaree River,1989,7,15,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735101,35135,All Pools / Tous les bassins @ Margaree River,1989,8,28,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735102,48467,All Pools / Tous les bassins @ Margaree River,1989,6,15,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735103,36078,All Pools / Tous les bassins @ Margaree River,1989,7,17,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735104,34486,All Pools / Tous les bassins @ Margaree River,1989,9,14,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735105,35101,All Pools / Tous les bassins @ Margaree River,1989,9,19,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735106,37142,All Pools / Tous les bassins @ Margaree River,1989,10,8,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735107,37142,All Pools / Tous les bassins @ Margaree River,1989,10,8,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735108,37088,All Pools / Tous les bassins @ Margaree River,1989,10,14,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735109,37088,All Pools / Tous les bassins @ Margaree River,1989,10,14,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735110,48768,All Pools / Tous les bassins @ Margaree River,1989,8,24,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735111,48867,All Pools / Tous les bassins @ Margaree River,1989,8,26,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735112,48853,All Pools / Tous les bassins @ Margaree River,1989,8,27,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735113,48829,All Pools / Tous les bassins @ Margaree River,1989,9,2,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735114,35067,All Pools / Tous les bassins @ Margaree River,1989,9,26,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735115,35067,All Pools / Tous les bassins @ Margaree River,1989,9,26,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
