year__année,site_name__nom_du_site,site_latitude__latitude_du_site,site_longitude__longitude_du_site,start_date__date_de_départ,end_date__date_de_fin,n_transects__no_de_transects,n_lobsters__no_homards
2000,Anse-Bleue,,,6/21/2000,9/7/2000,30,497
2000,Grande-Anse,,,6/26/2000,9/13/2000,47,965
2001,Anse-Bleue,,,6/14/2001,8/29/2001,28,547
2001,Grande-Anse,,,6/22/2001,8/31/2001,39,928
2001,Shediac,46.26319167,-64.46694667,6/23/2001,6/23/2001,5,41
2002,Anse-Bleue,,,6/18/2002,6/28/2002,14,209
2002,Grande-Anse,,,6/26/2002,6/28/2002,15,297
2003,Caraquet,47.84128611111112,-64.89207778,7/3/2003,8/1/2003,32,339
2004,Caraquet,47.84128611111112,-64.89207778,7/6/2004,7/22/2004,30,352
2004,Grande-Anse,,,7/27/2004,8/11/2004,16,424
2005,Caraquet,47.84128611111112,-64.89207778,7/4/2005,7/26/2005,34,842
2005,Fox Harbor,45.87311,-63.42298167,8/2/2005,8/17/2005,39,118
2005,Grande-Anse,,,8/9/2005,8/25/2005,16,839
2005,Robichaud,,,6/27/2005,6/27/2005,3,8
2005,Shediac,46.26319167,-64.46694667,6/24/2005,6/24/2005,3,44
2006,Caraquet,47.84128611111112,-64.89207778,7/5/2006,7/20/2006,32,1304
2006,Fox Harbor,45.87311,-63.42298167,7/31/2006,8/4/2006,24,70
2006,Neguac,47.288275,-64.92514833,7/24/2006,7/26/2006,16,248
2006,Robichaud,,,6/21/2006,6/23/2006,12,101
2006,Shediac,46.26319167,-64.46694667,6/20/2006,6/20/2006,5,38
2007,Caraquet,47.84128611111112,-64.89207778,7/4/2007,7/12/2007,28,1605
2007,Fox Harbor,45.87311,-63.42298167,8/21/2007,8/27/2007,19,53
2007,Grande-Anse,,,7/18/2007,7/19/2007,13,1158
2007,Neguac,47.288275,-64.92514833,7/16/2007,7/16/2007,4,205
2007,Robichaud,,,6/20/2007,6/25/2007,13,117
