year__annee,site_name__nom_de_site,latitude,longitude,start_date__date_de_depart,end_date__date_de_fin,n_transects__no_de_transects,n_lobsters__no_homards
2009,Toney River,45.78481833,-62.94120667,8/17/2009,8/17/2009,3,60
2010,Toney River,45.78481833,-62.94120667,8/30/2010,8/30/2010,6,178
2012,Toney River,45.78481833,-62.94120667,8/1/2012,8/1/2012,3,50
2013,Toney River,45.78481833,-62.94120667,8/7/2013,8/7/2013,6,151
2014,Toney River,45.78481833,-62.94120667,8/12/2014,8/13/2014,6,159
2015,Toney River,45.78481833,-62.94120667,8/6/2015,8/11/2015,4,134
2016,Toney River,45.78481833,-62.94120667,8/3/2016,8/3/2016,3,55
2017,Toney River,45.78481833,-62.94120667,7/26/2017,7/26/2017,3,60
2018,Toney River,45.78481833,-62.94120667,7/25/2018,7/25/2018,3,71
2019,Toney River,45.78481833,-62.94120667,7/30/2019,7/30/2019,5,124
2021,Toney River,45.78481833,-62.94120667,7/27/2021,7/27/2021,4,77
2005,Fox Harbor,45.87311,-63.42298167,8/2/2005,8/17/2005,39,118
2006,Fox Harbor,45.87311,-63.42298167,7/31/2006,8/4/2006,24,70
2007,Fox Harbor,45.87311,-63.42298167,8/21/2007,8/27/2007,19,53
2010,Fox Harbor,45.87311,-63.42298167,8/23/2010,8/24/2010,12,41
2012,Fox Harbor,45.87311,-63.42298167,8/9/2012,8/9/2012,5,20
2013,Fox Harbor,45.87311,-63.42298167,6/25/2013,6/25/2013,6,26
2014,Fox Harbor,45.87311,-63.42298167,8/18/2014,8/18/2014,4,17
2017,Fox Harbor,45.87311,-63.42298167,7/27/2017,7/27/2017,4,30
2018,Fox Harbor,45.87311,-63.42298167,7/31/2018,7/31/2018,4,27
2019,Fox Harbor,45.87311,-63.42298167,7/29/2019,7/29/2019,5,24
2021,Fox Harbor,45.87311,-63.42298167,7/26/2021,7/26/2021,5,22
2021,Nine Mile Creek,46.110685,-63.17575833,10/20/2021,10/21/2021,6,38
2012,Murray Corner,46.181915,-63.98119,7/23/2012,7/23/2012,3,2
2013,Murray Corner,46.181915,-63.98119,8/7/2013,8/7/2013,3,4
2015,Murray Corner,46.181915,-63.98119,8/5/2015,8/5/2015,3,170
2016,Murray Corner,46.181915,-63.98119,8/2/2016,8/2/2016,3,241
2017,Murray Corner,46.181915,-63.98119,7/24/2017,7/24/2017,3,214
2018,Murray Corner,46.181915,-63.98119,6/20/2018,6/20/2018,3,195
2019,Murray Corner,46.181915,-63.98119,7/22/2019,7/22/2019,5,115
2021,Murray Corner,46.181915,-63.98119,7/21/2021,7/21/2021,5,98
2001,Shediac,46.26322708,-64.46822083,6/23/2001,6/23/2001,5,41
2005,Shediac,46.26322708,-64.46822083,6/24/2005,6/24/2005,3,44
2006,Shediac,46.26322708,-64.46822083,6/20/2006,6/20/2006,5,38
2007,Shediac,46.26322708,-64.46822083,6/22/2007,6/25/2007,7,77
2008,Shediac,46.26322708,-64.46822083,6/16/2008,6/17/2008,11,115
2009,Shediac,46.26322708,-64.46822083,6/24/2009,6/25/2009,11,162
2010,Shediac,46.26322708,-64.46822083,6/23/2010,6/24/2010,11,139
2011,Shediac,46.26322708,-64.46822083,6/21/2011,6/21/2011,6,87
2012,Shediac,46.26322708,-64.46822083,7/26/2012,8/2/2012,11,210
2013,Shediac,46.26322708,-64.46822083,6/17/2013,6/19/2013,12,240
2014,Shediac,46.26322708,-64.46822083,6/18/2014,6/24/2014,9,314
2015,Shediac,46.26322708,-64.46822083,6/23/2015,6/25/2015,9,851
2016,Shediac,46.26322708,-64.46822083,6/29/2016,7/29/2016,8,1072
2017,Shediac,46.26322708,-64.46822083,6/27/2017,6/29/2017,6,776
2018,Shediac,46.26322708,-64.46822083,6/21/2018,7/23/2018,7,796
2019,Shediac,46.26322708,-64.46822083,6/24/2019,6/28/2019,5,821
2021,Shediac,46.26322708,-64.46822083,6/24/2021,6/25/2021,5,951
2008,Cocagne,46.40379417,-64.59110417,6/24/2008,6/25/2008,10,504
2009,Cocagne,46.40379417,-64.59110417,6/26/2009,6/26/2009,7,286
2010,Cocagne,46.40379417,-64.59110417,6/21/2010,6/22/2010,12,519
2011,Cocagne,46.40379417,-64.59110417,6/27/2011,6/28/2011,12,743
2012,Cocagne,46.40379417,-64.59110417,7/30/2012,7/31/2012,12,652
2013,Cocagne,46.40379417,-64.59110417,6/20/2013,6/24/2013,12,1166
2014,Cocagne,46.40379417,-64.59110417,7/21/2014,7/31/2014,10,1925
2015,Cocagne,46.40379417,-64.59110417,6/26/2015,7/2/2015,9,2514
2016,Cocagne,46.40379417,-64.59110417,6/22/2016,6/27/2016,9,2800
2017,Cocagne,46.40379417,-64.59110417,6/13/2017,6/26/2017,9,2984
2018,Cocagne,46.40379417,-64.59110417,6/11/2018,7/24/2018,8,2828
2019,Cocagne,46.40379417,-64.59110417,6/11/2019,7/19/2019,11,2599
2021,Cocagne,46.40379417,-64.59110417,6/9/2021,6/22/2021,13,2777
2021,Malpeque Bay,46.54983333,-63.8475,10/26/2021,10/26/2021,1,0
2008,Richibucto,46.73691333,-64.794275,7/24/2008,7/31/2008,9,681
2009,Richibucto,46.73691333,-64.794275,7/24/2009,7/28/2009,8,794
2011,Richibucto,46.73691333,-64.794275,7/18/2011,7/19/2011,9,1079
2012,Richibucto,46.73691333,-64.794275,7/17/2012,7/19/2012,9,971
2013,Richibucto,46.73691333,-64.794275,7/18/2013,7/24/2013,9,1706
2014,Richibucto,46.73691333,-64.794275,8/1/2014,8/6/2014,7,1779
2015,Richibucto,46.73691333,-64.794275,7/28/2015,7/30/2015,6,1597
2016,Richibucto,46.73691333,-64.794275,7/25/2016,7/26/2016,6,1307
2017,Richibucto,46.73691333,-64.794275,7/20/2017,7/21/2017,6,1215
2018,Richibucto,46.73691333,-64.794275,7/30/2018,7/30/2018,6,1133
2019,Richibucto,46.73691333,-64.794275,7/23/2019,7/24/2019,5,1288
2021,Richibucto,46.73691333,-64.794275,7/19/2021,7/20/2021,5,1256
2021,Alberton,46.84776667,-63.996125,10/12/2021,10/15/2021,4,735
2006,Neguac,47.288275,-64.92514833,7/24/2006,7/26/2006,16,248
2007,Neguac,47.288275,-64.92514833,7/16/2007,7/16/2007,4,205
2009,Neguac,47.288275,-64.92514833,7/20/2009,7/20/2009,1,82
2010,Neguac,47.288275,-64.92514833,7/23/2010,7/27/2010,4,384
2012,Neguac,47.288275,-64.92514833,7/10/2012,7/10/2012,3,236
2013,Neguac,47.288275,-64.92514833,7/15/2013,8/5/2013,7,1419
2014,Neguac,47.288275,-64.92514833,7/18/2014,8/7/2014,4,621
2016,Neguac,47.288275,-64.92514833,7/18/2016,7/18/2016,3,674
2017,Neguac,47.288275,-64.92514833,7/19/2017,7/19/2017,3,608
2019,Neguac,47.288275,-64.92514833,7/25/2019,7/31/2019,7,792
2021,Neguac,47.288275,-64.92514833,7/28/2021,7/28/2021,5,588
2003,Caraquet,47.84128611,-64.89207778,7/3/2003,8/1/2003,32,339
2004,Caraquet,47.84128611,-64.89207778,7/6/2004,7/22/2004,30,352
2005,Caraquet,47.84128611,-64.89207778,7/4/2005,7/26/2005,34,842
2006,Caraquet,47.84128611,-64.89207778,7/5/2006,7/20/2006,32,1304
2007,Caraquet,47.84128611,-64.89207778,7/4/2007,7/12/2007,28,1605
2008,Caraquet,47.84128611,-64.89207778,6/30/2008,7/9/2008,28,2299
2009,Caraquet,47.84128611,-64.89207778,7/2/2009,7/14/2009,28,2271
2010,Caraquet,47.84128611,-64.89207778,7/6/2010,7/14/2010,25,2371
2011,Caraquet,47.84128611,-64.89207778,7/4/2011,7/12/2011,27,2868
2012,Caraquet,47.84128611,-64.89207778,7/4/2012,7/13/2012,25,3098
2013,Caraquet,47.84128611,-64.89207778,7/2/2013,7/11/2013,25,6734
2014,Caraquet,47.84128611,-64.89207778,7/3/2014,7/17/2014,25,8556
2015,Caraquet,47.84128611,-64.89207778,7/7/2015,7/17/2015,26,8688
2016,Caraquet,47.84128611,-64.89207778,7/5/2016,7/14/2016,18,6689
2017,Caraquet,47.84128611,-64.89207778,7/5/2017,7/14/2017,17,7641
2018,Caraquet,47.84128611,-64.89207778,7/3/2018,7/12/2018,21,6877
2019,Caraquet,47.84128611,-64.89207778,7/4/2019,7/16/2019,12,5075
2021,Caraquet,47.84128611,-64.89207778,7/5/2021,7/14/2021,12,3306
2009,Pointe-Verte,47.85683958,-65.74553333,8/6/2009,8/12/2009,6,199
2010,Pointe-Verte,47.85683958,-65.74553333,8/3/2010,8/4/2010,11,680
2011,Pointe-Verte,47.85683958,-65.74553333,8/5/2011,8/16/2011,11,1027
2012,Pointe-Verte,47.85683958,-65.74553333,7/17/2012,7/17/2012,3,381
2013,Pointe-Verte,47.85683958,-65.74553333,8/8/2013,8/8/2013,3,256
2014,Pointe-Verte,47.85683958,-65.74553333,7/30/2014,7/30/2014,2,298
2015,Pointe-Verte,47.85683958,-65.74553333,7/22/2015,7/23/2015,6,1346
2016,Pointe-Verte,47.85683958,-65.74553333,7/21/2016,7/21/2016,4,1314
2017,Pointe-Verte,47.85683958,-65.74553333,7/17/2017,7/18/2017,4,956
2018,Pointe-Verte,47.85683958,-65.74553333,7/16/2018,7/16/2018,4,608
2019,Pointe-Verte,47.85683958,-65.74553333,7/17/2019,7/17/2019,5,1038
2021,Pointe-Verte,47.85683958,-65.74553333,7/15/2021,7/15/2021,4,1006
