year,site_name,site_lat,site_lng,start_date,end_date,n_transects,n_lobsters
2000,Anse-Bleue,,,2000-06-21,2000-09-07,30,497
2000,Grande-Anse,,,2000-06-26,2000-09-13,47,965
2001,Anse-Bleue,,,2001-06-14,2001-08-29,28,547
2001,Grande-Anse,,,2001-06-22,2001-08-31,39,928
2001,Shediac,46.263227083333334,-64.46822083333333,2001-06-23,2001-06-23,5,41
2002,Anse-Bleue,,,2002-06-18,2002-06-28,14,209
2002,Grande-Anse,,,2002-06-26,2002-06-28,15,297
2003,Caraquet,47.84128611111112,-64.89207777777777,2003-07-03,2003-08-01,32,339
2004,Caraquet,47.84128611111112,-64.89207777777777,2004-07-06,2004-07-22,30,352
2004,Grande-Anse,,,2004-07-27,2004-08-11,16,424
2005,Caraquet,47.84128611111112,-64.89207777777777,2005-07-04,2005-07-26,34,842
2005,Fox Harbor,45.87311,-63.42298166666667,2005-08-02,2005-08-17,39,118
2005,Grande-Anse,,,2005-08-09,2005-08-25,16,839
2005,Robichaud,,,2005-06-27,2005-06-27,3,8
2005,Shediac,46.263227083333334,-64.46822083333333,2005-06-24,2005-06-24,3,44
2006,Caraquet,47.84128611111112,-64.89207777777777,2006-07-05,2006-07-20,32,1304
2006,Fox Harbor,45.87311,-63.42298166666667,2006-07-31,2006-08-04,24,70
2006,Neguac,47.288275,-64.92514833333334,2006-07-24,2006-07-26,16,248
2006,Robichaud,,,2006-06-21,2006-06-23,12,101
2006,Shediac,46.263227083333334,-64.46822083333333,2006-06-20,2006-06-20,5,38
2007,Caraquet,47.84128611111112,-64.89207777777777,2007-07-04,2007-07-12,28,1605
2007,Fox Harbor,45.87311,-63.42298166666667,2007-08-21,2007-08-27,19,53
2007,Grande-Anse,,,2007-07-18,2007-07-19,13,1158
2007,Neguac,47.288275,-64.92514833333334,2007-07-16,2007-07-16,4,205
2007,Robichaud,,,2007-06-20,2007-06-25,13,117
2007,Shediac,46.263227083333334,-64.46822083333333,2007-06-22,2007-06-25,7,77
2008,Caraquet,47.84128611111112,-64.89207777777777,2008-06-30,2008-07-09,28,2299
2008,Cocagne,46.40379416666667,-64.59110416666668,2008-06-24,2008-06-25,10,504
2008,Richibucto,46.736913333333334,-64.794275,2008-07-24,2008-07-31,9,681
2008,Shediac,46.263227083333334,-64.46822083333333,2008-06-16,2008-06-17,11,115
2009,Caraquet,47.84128611111112,-64.89207777777777,2009-07-02,2009-07-14,28,2271
2009,Cocagne,46.40379416666667,-64.59110416666668,2009-06-26,2009-06-26,7,286
2009,Neguac,47.288275,-64.92514833333334,2009-07-20,2009-07-20,1,82
2009,Pointe-Verte,47.85683958333334,-65.74553333333334,2009-08-06,2009-08-12,6,199
2009,Richibucto,46.736913333333334,-64.794275,2009-07-24,2009-07-28,8,794
2009,Shediac,46.263227083333334,-64.46822083333333,2009-06-24,2009-06-25,11,162
2009,Toney River,45.784818333333334,-62.941206666666666,2009-08-17,2009-08-17,3,60
2010,Caraquet,47.84128611111112,-64.89207777777777,2010-07-06,2010-07-14,25,2371
2010,Cocagne,46.40379416666667,-64.59110416666668,2010-06-21,2010-06-22,12,519
2010,Fox Harbor,45.87311,-63.42298166666667,2010-08-23,2010-08-24,12,41
2010,Grande-Anse,,,2010-07-21,2010-07-22,11,1291
2010,Neguac,47.288275,-64.92514833333334,2010-07-23,2010-07-27,4,384
2010,Pointe-Verte,47.85683958333334,-65.74553333333334,2010-08-03,2010-08-04,11,680
2010,Shediac,46.263227083333334,-64.46822083333333,2010-06-23,2010-06-24,11,139
2010,Toney River,45.784818333333334,-62.941206666666666,2010-08-30,2010-08-30,6,178
2011,Caraquet,47.84128611111112,-64.89207777777777,2011-07-04,2011-07-12,27,2868
2011,Cocagne,46.40379416666667,-64.59110416666668,2011-06-27,2011-06-28,12,743
2011,Pigeon Hill,,,2011-07-19,2011-07-19,4,167
2011,Pointe-Verte,47.85683958333334,-65.74553333333334,2011-08-05,2011-08-16,11,1027
2011,Richibucto,46.736913333333334,-64.794275,2011-07-18,2011-07-19,9,1079
2011,Shediac,46.263227083333334,-64.46822083333333,2011-06-21,2011-06-21,6,87
2012,Caraquet,47.84128611111112,-64.89207777777777,2012-07-04,2012-07-13,25,3098
2012,Cocagne,46.40379416666667,-64.59110416666668,2012-07-30,2012-07-31,12,652
2012,Fox Harbor,45.87311,-63.42298166666667,2012-08-09,2012-08-09,5,20
2012,Murray Corner,46.181915,-63.981190000000005,2012-07-23,2012-07-23,3,2
2012,Neguac,47.288275,-64.92514833333334,2012-07-10,2012-07-10,3,236
2012,Pigeon Hill,,,2012-07-03,2012-07-04,6,381
2012,Pointe-Verte,47.85683958333334,-65.74553333333334,2012-07-17,2012-07-17,3,381
2012,Richibucto,46.736913333333334,-64.794275,2012-07-17,2012-07-19,9,971
2012,Shediac,46.263227083333334,-64.46822083333333,2012-07-26,2012-08-02,11,210
2012,Toney River,45.784818333333334,-62.941206666666666,2012-08-01,2012-08-01,3,50
2013,Caraquet,47.84128611111112,-64.89207777777777,2013-07-02,2013-07-11,25,6734
2013,Cocagne,46.40379416666667,-64.59110416666668,2013-06-20,2013-06-24,12,1166
2013,Fox Harbor,45.87311,-63.42298166666667,2013-06-25,2013-06-25,6,26
2013,Murray Corner,46.181915,-63.981190000000005,2013-08-07,2013-08-07,3,4
2013,Neguac,47.288275,-64.92514833333334,2013-07-15,2013-08-05,7,1419
2013,Pigeon Hill,,,2013-07-18,2013-07-25,6,818
2013,Pointe-Verte,47.85683958333334,-65.74553333333334,2013-08-08,2013-08-08,3,256
2013,Richibucto,46.736913333333334,-64.794275,2013-07-18,2013-07-24,9,1706
2013,Shediac,46.263227083333334,-64.46822083333333,2013-06-17,2013-06-19,12,240
2013,Toney River,45.784818333333334,-62.941206666666666,2013-08-07,2013-08-07,6,151
2014,Caraquet,47.84128611111112,-64.89207777777777,2014-07-03,2014-07-17,25,8556
2014,Cocagne,46.40379416666667,-64.59110416666668,2014-07-21,2014-07-31,10,1925
2014,Fox Harbor,45.87311,-63.42298166666667,2014-08-18,2014-08-18,4,17
2014,Neguac,47.288275,-64.92514833333334,2014-07-18,2014-08-07,4,621
2014,Pointe-Verte,47.85683958333334,-65.74553333333334,2014-07-30,2014-07-30,2,298
2014,Richibucto,46.736913333333334,-64.794275,2014-08-01,2014-08-06,7,1779
2014,Shediac,46.263227083333334,-64.46822083333333,2014-06-18,2014-06-24,9,314
2014,Toney River,45.784818333333334,-62.941206666666666,2014-08-12,2014-08-13,6,159
2015,Caraquet,47.84128611111112,-64.89207777777777,2015-07-07,2015-07-17,26,8688
2015,Cocagne,46.40379416666667,-64.59110416666668,2015-06-26,2015-07-02,9,2514
2015,Murray Corner,46.181915,-63.981190000000005,2015-08-05,2015-08-05,3,170
2015,Pointe-Verte,47.85683958333334,-65.74553333333334,2015-07-22,2015-07-23,6,1346
2015,Richibucto,46.736913333333334,-64.794275,2015-07-28,2015-07-30,6,1597
2015,Shediac,46.263227083333334,-64.46822083333333,2015-06-23,2015-06-25,9,851
2015,Toney River,45.784818333333334,-62.941206666666666,2015-08-06,2015-08-11,4,134
2016,Caraquet,47.84128611111112,-64.89207777777777,2016-07-05,2016-07-14,18,6689
2016,Cocagne,46.40379416666667,-64.59110416666668,2016-06-22,2016-06-27,9,2800
2016,Murray Corner,46.181915,-63.981190000000005,2016-08-02,2016-08-02,3,241
