decimalLatitude,decimalLongitude,Station,StationID,,,,,,
47.86077,-65.76231,Pointe-Verte,1,,,,,,
47.79725,-64.92735,Caraquet,2,,,,,,
47.80309,-64.87321,Bas-Caraquet,3,,, , ,,
47.89578,-64.57774,Miscou,4,,,,,,
47.74792,-64.70816,Shippagan,5,,,,,,
47.52341,-64.90865,Tracadie,6,,,,,,
47.24038,-65.07263,Neguac,7,,,,,,
47.02798,-65.47385,Chatham / Miramichi,8,,,,,,
46.83158,-64.93414,Kouchibouguac,9,,,,,,
46.68083,-64.86137,Richibucto,10,,,,,,
46.47567,-64.71332,Bouctouche,11,,,,,,
46.35531,-64.57501,Cap de Cocagne,12,,,,,,
46.31333,-64.50996,Grande-Digue,13,,,,,,
46.24047,-64.52678,Pointe-du-Chêne,14,,,,,,
46.22765,-64.54395,Shediac,14,,,,,,
46.16889,-63.9348,Murray Corner,15,,,,,,
46.1347,-63.77722,Cape Tormentine,16,,,,,,
45.84674,-63.66279,Pugwash,17,,,,,,
45.68229,-62.69255,Pictou ,19,,,,,,
45.73855,-62.68649,Caribou,20,,,,,,
45.67947,-62.58035,Chance Hbr,21,,,,,,
45.85862,-61.91945,Ballantynes Cove,22,,,,,,
45.75587,-61.89745,Cribbons Point,23,,,,,,
46.08627,-61.4649,Mabou,24,,,,,,
46.54835,-61.044383,Grand Étang,25,,,,,,
46.636055,-61.009203,Chéticamp,26,,,,,,
46.79574,-64.05823,Alberton,27,,,,,,
46.73492,-64.07143,Foxley,28,,,,,,
46.61817,-64.37273,West Point,29,,,,,,
46.65539,-63.91197,Conway Narrows,30,,,,,,
46.61736,-63.91659,Bideford,31,,,,,,
46.38834,-63.78577,Summerside,32,,,,,,
46.24942,-63.701,Borden,33,,,,,,
46.47218,-63.51379,New London,34,,,,,,
46.46325,-63.46004,Stanley Bridge,35,,,,,,
46.45663,-63.31086,N. Rustico,36,,,,,,
46.14842,-63.21835,Nine Mile Creek,37,,,,,,
46.23124,-63.12219,Charlottetown,38,,,,,,
45.95358,-62.74811,Wood Islands,39,,,,,,
46.17869,-62.5313,Georgetown,40,,,,,,
46.34721,-62.24793,Souris,41,,,,,,
46.43216,-62.713,Morell,42,,,,,,
46.46691111,-62.07052222,North Lake,43,,,,,,
45.73212,-63.26453,Barrachois Hbr,44,,,,,,
47.657616,-65.626783,Bathurst,45,,,,,,
47.081316,-64.88725,Escuminac,46,,,,,,
46.75939,-64.91447,Cap St. Louis,47,,,,,,
46.55513,-64.07946,Egmont Bay,48,,,,,,
46.4268,-62.83919,Savage Hbr,49,,,,,,
45.64798,-61.43598,Aulds Cove,50,,,,, , 
46.00545,-62.52232,Murray Harbour,51,,,,,,
45.64874,-62.44888,Merigomish Hbr,53,,,,,,
46.38223,-62.11084,Basin Head (MPA),56,,,,,,
47.91262,-65.84327,Belledune ,70,,,,,,
46.05373,-62.91142,Pinette,88,,,,,,
45.64518,-61.75363,Bayfield,90,,,,,,
46.22947,-64.29708,Aboiteau,91,,,,,,
46.77137,-64.077137,Mill River,92,,,,,,
