eventDate,decimalLongitude,decimalLatitude,geodeticDatum,basisOfRecord,dataSource,Station,stateProvince,vernacularNameEN,vernacularNameFR,scientificName,scientificNameID,scientificNameIDSourceDatabase,occurrenceStatus,occurrenceStatusDetail,organismQuantity,organismQuantityType,deployYear,deployMonth,deployDay,retrieveYear,retrieveMonth,retrieveDay,numWeeksDeployed,StationID,SampleIDs
10/5/2018,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,violet tunicate,botrylloïde violet,Botrylloides violaceus,148715,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2018,6,19,2018,10,5,15.43,91,2210
10/5/2018,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,golden star tunicate,botrylle étoilé,Botryllus schlosseri,103862,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2018,6,19,2018,10,5,15.43,91,2210
10/5/2018,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,Japanese skeleton shrimp,caprelle japonaise,Caprella mutica,146768,World Register of Marine Species (WoRMS https://www.marinespecies.org/),"Absent, Inconclusive",Non-targeted species,n/a,Average percent cover of AIS collector plates,2018,6,19,2018,10,5,15.43,91,2210
10/5/2018,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,vase tunicate,ascidie jaune,Ciona intestinalis,103732,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2018,6,19,2018,10,5,15.43,91,2210
10/5/2018,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,oyster thief,Codium fragile,Codium fragile fragile,370562,World Register of Marine Species (WoRMS https://www.marinespecies.org/),"Absent, Inconclusive",Non-targeted species,n/a,Average percent cover of AIS collector plates,2018,6,19,2018,10,5,15.43,91,2210
10/5/2018,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,"coffin box bryozoan, lacy crust bryozoan",membranipore,Membranipora membranacea,111411,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2018,6,19,2018,10,5,15.43,91,2210
10/5/2018,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,clubbed tunicate,ascidie plissée,Styela clava,103929,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2018,6,19,2018,10,5,15.43,91,2210
10/5/2018,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,European green crab,crabe vert européen,Carcinus maenas,107381,World Register of Marine Species (WoRMS https://www.marinespecies.org/),"Absent, Inconclusive",Non-targeted species,n/a,Average percent cover of AIS collector plates,2018,6,19,2018,10,5,15.43,91,2210
9/19/2019,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,violet tunicate,botrylloïde violet,Botrylloides violaceus,148715,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2019,6,18,2019,9,19,13.29,91,3965
9/19/2019,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,golden star tunicate,botrylle étoilé,Botryllus schlosseri,103862,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2019,6,18,2019,9,19,13.29,91,3965
9/19/2019,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,Japanese skeleton shrimp,caprelle japonaise,Caprella mutica,146768,World Register of Marine Species (WoRMS https://www.marinespecies.org/),"Absent, Inconclusive",Non-targeted species,n/a,Average percent cover of AIS collector plates,2019,6,18,2019,9,19,13.29,91,3965
9/19/2019,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,vase tunicate,ascidie jaune,Ciona intestinalis,103732,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2019,6,18,2019,9,19,13.29,91,3965
9/19/2019,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,oyster thief,Codium fragile,Codium fragile fragile,370562,World Register of Marine Species (WoRMS https://www.marinespecies.org/),"Absent, Inconclusive",Non-targeted species,n/a,Average percent cover of AIS collector plates,2019,6,18,2019,9,19,13.29,91,3965
