saisons,code_de_station,nom_de_station,province_de_station,description_de_station,latitude_de_station,longitude_de_station,liste_des_espèces_observées,B_violaceus_détecté,C_intestinalis_détecté,S_clava_détecté,B_schlosseri_détecté,C_mutica_détecté,M_membranacea_détecté,C_fragile fragile_détecté
2018,91,Aboiteau,N-B,Marina and wharf. Wood structure.,46.22953,-64.29719,"Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Common Atlantic slipper (Crepidula fornicata), Eastern Oyster (Crassostrea virginica), Eastern white slippersn (Crepidula plana), Little vase sponge (Scypha ciliata - Sycon ciliatum), Sea grapes (Molgula sp), Soft shell clam (Mya arenaria)",non,non,non,non,non,non,non
2018,27,Alberton,Î-P-É,,46.79628,-64.05791,"Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Fan ectoproct (Bugula spp), Jingle shell (Anomiidae), Sea grapes (Molgula sp)",oui,non,non,oui,non,non,non
2018,50,Aulds Cove,N-É,,45.64824,-61.4353,"Barnacle (Cirripedia), Bryozoans (Ectoprocta), Eastern Oyster (Crassostrea virginica), Fan ectoproct (Bugula spp)",oui,non,non,oui,non,non,non
2018,22,Ballantynes Cove,N-É,,45.85872,-61.91898,"Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Fan ectoproct (Bugula spp)",oui,oui,non,oui,non,non,non
2018,44,Barachois Harbour,N-B,,45.73212,-63.26453,"Anemones (Actiniaria), Barnacle (Cirripedia), Eastern Oyster (Crassostrea virginica), Fan ectoproct (Bugula spp), Sea grapes (Molgula sp), Sponge (Porifera)",non,non,non,non,non,non,non
2018,3,Bas Caraquet,N-B,,47.8031,-64.87206,"Anemones (Actiniaria), Blue mussel (Mytilus edulis), Mussel spat (Mytilidae), Sea grapes (Molgula sp), Soft shell clam (Mya arenaria), Sponge (Porifera)",non,non,non,oui,non,non,non
2018,56,Basin Head,Î-P-É,,46.38478333,-62.10188333,"Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Fan ectoproct (Bugula spp), Sponge (Porifera), Ulva (Ulva)",non,non,non,non,non,non,non
2018,45,Bathurst,N-B,,47.65783,-65.62671,"Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Mussel spat (Mytilidae), Soft shell clam (Mya arenaria)",non,non,non,non,non,non,non
2018,90,Bayfield,N-É,Commercial wharf with floating docks,45.64547,-61.75435,"Bryozoans (Ectoprocta), Fan ectoproct (Bugula spp)",oui,oui,non,oui,non,non,non
2018,31,Bideford,Î-P-É,,46.61719,-63.91655,"Barnacle (Cirripedia), Bryozoans (Ectoprocta)",non,non,oui,oui,non,non,non
2018,33,Borden,Î-P-É,,46.24948,-63.70099,"Bryozoans (Ectoprocta), Common Atlantic slipper (Crepidula fornicata), Fan ectoproct (Bugula spp)",oui,non,non,oui,non,non,non
2018,11,Bouctouche,N-B,Marina,46.47568,-64.71331,"Anemones (Actiniaria), Barnacle (Cirripedia), Common Atlantic slipper (Crepidula fornicata), Eastern Oyster (Crassostrea virginica), Hydroid-like animals (Hydrozoa ), Sea grapes (Molgula sp), Sponge (Porifera)",non,non,non,non,non,non,non
2018,16,Cape Tormentine,N-B,Commercial,46.13477,-63.77724,"Anemones (Actiniaria), Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Sea grapes (Molgula sp), Sponge (Porifera)",oui,non,non,non,non,non,non
2018,2,Caraquet,N-B,Commercial Wharf.  Floating docks (PVC Floats) and wood and cement permanent wharf.,47.79688,-64.92723,"Anemones (Actiniaria), Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Fan ectoproct (Bugula spp), Little vase sponge (Scypha ciliata - Sycon ciliatum), Mussel spat (Mytilidae)",non,non,non,oui,non,non,non
2018,20,Caribou,N-É,,45.73861,-62.68648,"Barnacle (Cirripedia), Bryozoans (Ectoprocta), Jingle shell (Anomiidae), Sponge (Porifera)",oui,oui,non,oui,non,non,non
2018,21,Chance Harbour,N-É,,45.67947,-62.58035,"Anemones (Actiniaria), Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Eastern Oyster (Crassostrea virginica), Eastern white slippersn (Crepidula plana), Sponge (Porifera)",oui,non,non,oui,non,non,non
2018,38,Charlottetown,Î-P-É,,46.23124,-63.12219,"Anemones (Actiniaria), Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Common Atlantic slipper (Crepidula fornicata), Fan ectoproct (Bugula spp), Hydroid-like animals (Hydrozoa ), Sea grapes (Molgula sp), Sponge (Porifera), Tubularian hydroid (Tubulariidae)",oui,non,non,oui,oui,non,non
2018,26,Chéticamp,N-É,,46.60305,-61.02261,"Barnacle (Cirripedia), Bryozoans (Ectoprocta), Fan ectoproct (Bugula spp), Sponge (Porifera)",oui,non,non,oui,non,non,non
2018,12,Cocagne,N-B,,46.35558,-64.57497,"Barnacle (Cirripedia), Sea grapes (Molgula sp), Sponge (Porifera)",non,non,non,non,oui,non,non
2018,30,Conway Narrows,Î-P-É,,46.65518,-63.91164,"Barnacle (Cirripedia), Bryozoans (Ectoprocta), Eastern Oyster (Crassostrea virginica), Sea grapes (Molgula sp), Sponge (Porifera)",oui,non,non,oui,non,non,non
2018,23,Cribbons Point,N-É,"Commercial Wharf. 	Primarily cement, wood and pvc.",45.75577,-61.8967,Bryozoans (Ectoprocta),oui,non,non,oui,non,non,non
2018,48,Egmont Bay,Î-P-É,,46.54981,-64.08887,"Barnacle (Cirripedia), Bryozoans (Ectoprocta), Sea grapes (Molgula sp)",non,non,oui,non,non,non,non
2018,46,Escuminac,N-B,,47.08062,-64.8877,"Anemones (Actiniaria), Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Eastern Oyster (Crassostrea virginica), Jingle shell (Anomiidae), Nudibranchs (Nudibranchia), Soft shell clam (Mya arenaria)",non,non,non,non,non,non,non
2018,28,Foxley,Î-P-É,,46.74467,-64.07397,"Barnacle (Cirripedia), Eastern Oyster (Crassostrea virginica), Gastropod (Gastropoda), Sea grapes (Molgula sp)",non,non,non,non,non,non,non
2018,40,Georgetown,Î-P-É,,46.17871,-62.5313,"Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Fan ectoproct (Bugula spp), Sea star (Asteroidea)",oui,oui,oui,oui,non,non,non
2018,25,Grand-Etang,N-É,,46.54861,-61.04403,"Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Eastern Oyster (Crassostrea virginica), Fan ectoproct (Bugula spp)",oui,non,non,oui,non,non,non
2018,13,Grande Digue,N-B,Commerical,46.31356,-64.50982,"Barnacle (Cirripedia), Eastern Oyster (Crassostrea virginica)",non,non,non,non,non,non,non
2018,9,Kouchibouguac,N-B,Commercial,46.83158,-64.93414,"Barnacle (Cirripedia), Jingle shell (Anomiidae), Mussel spat (Mytilidae), Nudibranchs (Nudibranchia)",non,non,non,non,non,non,non
2018,24,Mabou,N-É,,46.086639,-61.46465,"Anemones (Actiniaria), Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Common Atlantic slipper (Crepidula fornicata), Eastern Oyster (Crassostrea virginica), Sponge (Porifera)",non,non,non,non,non,non,non
2018,53,Merigomish,N-É,"small wooded/rock wharf, very shallow in a small protected bay with a few small floating docks only deployed in mid summer for a month or so.",45.63716111,-62.421725,"Blue mussel (Mytilus edulis), Eastern Oyster (Crassostrea virginica)",non,non,non,non,non,non,non
2018,8,Miramichi,N-B,Miramichi has multiple monitoring locations (both Chatham and Douglastown Marinas in some years) so GPS coordinate was chosen from mid way between these two to represent this station.,47.027479,-65.48241,"Barnacle (Cirripedia), Eastern Oyster (Crassostrea virginica), Hydroid-like animals (Hydrozoa )",non,non,non,non,non,non,non
2018,4,Miscou,N-B,Commercial Wharf.  Floating docks (PVC Floats) and wood and cement permanent wharf.,47.89485,-64.57654,"Anemones (Actiniaria), Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Common Atlantic slipper (Crepidula fornicata), Crabs (Decapoda), Eastern Oyster (Crassostrea virginica), Eastern white slippersn (Crepidula plana), Fan ectoproct (Bugula spp), Sea grapes (Molgula sp), Skeleton shrimp (Caprellida), Sponge (Porifera)",non,non,non,non,non,non,non
2018,42,Morell,Î-P-É,,46.43196,-62.71362,"Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Common Atlantic slipper (Crepidula fornicata), Fan ectoproct (Bugula spp), Sea grapes (Molgula sp)",oui,non,non,oui,oui,non,non
2018,15,Murray Corner,N-B,Commercial,46.16889,-63.9348,"Anemones (Actiniaria), Barnacle (Cirripedia), Eastern Oyster (Crassostrea virginica)",non,non,non,non,non,non,non
2018,51,Murray Harbour,Î-P-É,,46.00545,-62.52232,"Blue mussel (Mytilus edulis), Sea grapes (Molgula sp), Sponge (Porifera), Tubularian hydroid (Tubulariidae)",oui,oui,oui,oui,oui,non,non
2018,7,Neguac,N-B,"Mixed Commercial and Marina.  floating docks (PVC) and Permanent structure mix of wood, metal and cement with rock rubble to protect. ",47.24041,-65.07265,"Anemones (Actiniaria), Barnacle (Cirripedia), Eastern Oyster (Crassostrea virginica), Eastern white slippersn (Crepidula plana), Hydroid-like animals (Hydrozoa ), Sea grapes (Molgula sp), Sponge (Porifera)",non,non,non,non,non,non,non
2018,34,New London,Î-P-É,,46.46959,-63.51385,"Barnacle (Cirripedia), Bryozoans (Ectoprocta), Sea grapes (Molgula sp)",non,non,non,oui,non,non,non
2018,37,Nine Mile Creek,Î-P-É,,46.14841,-63.21837,"Anemones (Actiniaria), Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Sea grapes (Molgula sp), Sponge (Porifera)",oui,non,non,oui,non,non,non
2018,43,North Lake,Î-P-É,,46.46613,-62.07199,"Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Common Atlantic slipper (Crepidula fornicata), Eastern Oyster (Crassostrea virginica), Eastern white slippersn (Crepidula plana), Fan ectoproct (Bugula spp), Sponge (Porifera)",oui,non,non,oui,non,non,non
2018,36,North Rustico,Î-P-É,,46.45639,-63.30766,"Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Sea grapes (Molgula sp), Sponge (Porifera)",non,non,non,oui,non,non,non
2018,19,Pictou,N-É,Pictou has multiple monitoring locations so the station GPS was chosen from the bay to give a general location.,45.674106,-62.69408,"Anemones (Actiniaria), Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Eastern Oyster (Crassostrea virginica), Hydroid-like animals (Hydrozoa ), Sea grapes (Molgula sp), Soft shell clam (Mya arenaria), Sponge (Porifera)",non,non,non,non,non,non,non
2018,88,Pinette,Î-P-É,floating Docks (wood and PVC) and cement and wood permanent structure,46.05373,-62.91142,"Barnacle (Cirripedia), Eastern Oyster (Crassostrea virginica), Hydroid-like animals (Hydrozoa ), Sea grapes (Molgula sp)",non,non,non,non,non,non,non
2018,1,Pointe Verte,N-B,Commercial Wharf.  Floating docks (PVC Floats) and wood and cement permanent wharf.,47.86124,-65.76141,"Anemones (Actiniaria), Bryozoans (Ectoprocta), Common Atlantic slipper (Crepidula fornicata), Eastern white slippersn (Crepidula plana), Mussel spat (Mytilidae), Soft shell clam (Mya arenaria)",non,non,non,non,non,non,non
2018,17,Pugwash,N-É,Mix Marina and Commercial,45.84666,-63.66257,"Anemones (Actiniaria), Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Common Atlantic slipper (Crepidula fornicata), Eastern white slippersn (Crepidula plana), Nudibranchs (Nudibranchia), Sea star (Asteroidea), Tubularian hydroid (Tubulariidae)",non,non,non,non,oui,non,non
2018,10,Richibucto,N-B,Mix Commercial and Marina,46.67841,-64.86118,"Anemones (Actiniaria), Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Eastern Oyster (Crassostrea virginica), Eastern white slippersn (Crepidula plana), Nudibranchs (Nudibranchia), Sea grapes (Molgula sp), Sponge (Porifera), Tubularian hydroid (Tubulariidae)",non,non,non,non,non,non,non
2018,47,Saint Louis de Kent,N-B,,46.75971,-64.91512,"Anemones (Actiniaria), Barnacle (Cirripedia), Jingle shell (Anomiidae), Mussel spat (Mytilidae), Nudibranchs (Nudibranchia), Scaleworm (Polynoidea), Sea grapes (Molgula sp), Sponge (Porifera), Tubularian hydroid (Tubulariidae)",non,non,non,non,non,non,non
2018,49,Savage Harbour,Î-P-É,,46.42633,-62.83968,"Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Hydroid-like animals (Hydrozoa ), Sea grapes (Molgula sp)",oui,non,non,oui,oui,non,non
2018,14,Shediac,N-B,"Shediac Bay has multiple monitoring sites within it, so we chose a General GPS from the Bay to represent it.",46.242902,-64.548079,"Anemones (Actiniaria), Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Common Atlantic slipper (Crepidula fornicata), Eastern Oyster (Crassostrea virginica), Sea grapes (Molgula sp), Soft shell clam (Mya arenaria), Sponge (Porifera)",oui,non,non,oui,non,non,non
2018,5,Shippagan,N-B,Marina.  Floating docks (PVC and Styrofoam) and Surrounding structure of rock and wood. ,47.74792,-64.70816,"Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Common Atlantic slipper (Crepidula fornicata), Eastern Oyster (Crassostrea virginica), Eastern white slippersn (Crepidula plana), Nudibranchs (Nudibranchia), Sea grapes (Molgula sp), Soft shell clam (Mya arenaria), Sponge (Porifera)",non,non,non,oui,non,non,non
2018,41,Souris,Î-P-É,,46.34712,-62.24816,"Anemones (Actiniaria), Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Fan ectoproct (Bugula spp)",oui,non,oui,oui,non,non,non
2018,35,Stanley Bridge,Î-P-É,,46.46327,-63.46,"Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Fan ectoproct (Bugula spp), Sea grapes (Molgula sp), Sea star (Asteroidea), Skeleton shrimp (Caprellida), Sponge (Porifera), Tubularian hydroid (Tubulariidae)",oui,non,oui,oui,non,non,non
2018,32,Summerside,Î-P-É,,46.38834,-63.78577,"Barnacle (Cirripedia), Common Atlantic slipper (Crepidula fornicata), Eastern Oyster (Crassostrea virginica), Eastern white slippersn (Crepidula plana)",oui,non,non,oui,non,non,non
2018,6,Tracadie,N-B,Marina and Commercial wharf.  Marina with floating docks and Wood Structure around slip.  Commercial wharf with permanent wood structure,47.52341,-64.90868,"Barnacle (Cirripedia), Bryozoans (Ectoprocta), Fan ectoproct (Bugula spp)",non,non,non,non,non,non,non
2018,29,West Point,Î-P-É,,46.61995,-64.3719,"Barnacle (Cirripedia), Eastern Oyster (Crassostrea virginica), Red algae (Rhodophyta), Sponge (Porifera)",non,non,non,non,non,non,non
2018,39,Wood Islands,Î-P-É,,45.95359,-62.74814,"Anemones (Actiniaria), Barnacle (Cirripedia), Bryozoans (Ectoprocta), Fan ectoproct (Bugula spp), Jingle shell (Anomiidae), Sea grapes (Molgula sp), Spirorbis sp. (Spirorbis sp)",non,non,non,non,non,non,non
