Year__Année,North_acoustic_biomass__Biomasse_acoustique_nord,Middle_acoustic_biomass__Biomasse_acoustique_centrale,South_acoustic_biomass__Biomasse_acoustique_sud
2015,2522.839396,3019.094651,3478.080418
2016,7610.92034,1510.978806,1716.164021
2017,4161.472262,1695.016885,1230.526176
2018,1494.896046,541.2174528,334.4596207
2019,975,1385.633906,556.7957522
2020,1468.088863,1995.846154,730.847943
2021,617.1086208,1034.700556,2807.166592
2022,1543.270436,3289.623427,2492.249882
2023,1390.847661,1097.65897,1208.182369
2024,2829.148717,1742.333816,2860.029417
2025,6018.053863,1306.168315,1610.137961
