waterbody_name__nom_masse_d'eau,survey_start_date__date_début_enquête,survey_end_date__date_fin_enquête,net/trap_number__numéro du filet/piège,dd_lat__lat_dd,dd_long__long_dd,net/trap_type__type_filet/piège,date_set__date_placé,set_time__heure_placé,date_lift__date_sorti,lift_time__heure_sorti,scientific_name__nom_scientifique,common_name__nom_commun,abbreviated_name__nom_abrégé,fish_caught__nombre_de_poissons,catch_wet_weight__poids_humide_capturé,comments__commentaires
Miramichi,2022-06-20,2022-06-22,1,46.452612,-66.966677,Z-Trap,2022-06-20,15:30:00,2022-06-21,9:50:00,Ameiurus nebulosus ,Brown Bullhead,B.B.,9,N/A,
Miramichi,2022-06-20,2022-06-22,1,46.452612,-66.966677,Z-Trap,2022-06-20,15:30:00,2022-06-21,9:50:00,Perca flavescens,Yellow Perch,Y.P.,5,N/A,
Miramichi,2022-06-20,2022-06-22,1,46.452612,-66.966677,Z-Trap,2022-06-20,15:30:00,2022-06-21,9:50:00,Semotilus corporalis,Fall Fish,F.F.,1,N/A,
Miramichi,2022-06-20,2022-06-22,2,46.453387,-66.968233,Bullpen,2022-06-20,15:40:00,2022-06-21,10:00:00,Notemigonus crysoleucas,Golden Shiner,G.S.,1,N/A,
Miramichi,2022-06-20,2022-06-22,3,46.454348,-66.970137,Z-Trap,2022-06-20,15:45:00,2022-06-21,10:02:00,Ameiurus nebulosus ,Brown Bullhead,B.B.,8,N/A,
Miramichi,2022-06-20,2022-06-22,3,46.454348,-66.970137,Z-Trap,2022-06-20,15:45:00,2022-06-21,10:02:00,Perca flavescens,Yellow Perch,Y.P.,4,N/A,
Miramichi,2022-06-20,2022-06-22,3,46.454348,-66.970137,Z-Trap,2022-06-20,15:45:00,2022-06-21,10:02:00,Semotilus corporalis,Fall Fish,F.F.,1,N/A,
Miramichi,2022-06-20,2022-06-22,4,46.456695,-66.97359,Bullpen,2022-06-20,15:50:00,2022-06-21,10:10:00,,,N/A,0,N/A,No Fish Caught
Miramichi,2022-06-20,2022-06-22,5,46.457408,-66.975429,Fyke,2022-06-20,16:00:00,2022-06-21,10:14:00,Morone americana,White Perch,W.P.,3,N/A,
Miramichi,2022-06-20,2022-06-22,5,46.457408,-66.975429,Fyke,2022-06-20,16:00:00,2022-06-21,10:14:00,Semotilus corporalis,Fall Fish,F.F.,2,N/A,
