project_code__code_du_projet,sample_number__numéro_d'échantillon,waterbody_name__nom_masse_d'eau,collection_date__date_de_collecte,net/trap_type__type_filet/piège,scientific_name__nom_scientifique,common_name__nom_commun,abbreviated_name__nom_abrégé,dissection_date__date_dissection,fork_length__longueur_fourche,total_length__longueur_totale,total_mass__masse_totale,dna_tube_size__taille_tube_adn,notes__notes
MLR21,1,Nashwaak,2021/08/26,N/A,Luxilus cornutus,Common Shiner,C.S.,2021/10/19,12.5,13.5,27.8,2,Samples F001-F009 were taken during training session. 
MLR21,2,Nashwaak,2021/08/26,N/A,Luxilus cornutus,Common Shiner,C.S.,2021/10/19,12,13,25,2,Pool Tubes of DNA gut content were taken for F001-006
MLR21,3,Nashwaak,2021/08/26,N/A,Luxilus cornutus,Common Shiner,C.S.,2021/10/19,11.8,12.9,22.6,2,
MLR21,4,Nashwaak,2021/08/26,N/A,Luxilus cornutus,Common Shiner,C.S.,2021/10/19,12,13.2,25.2,2,
MLR21,5,Nashwaak,2021/08/26,N/A,Luxilus cornutus,Common Shiner,C.S.,2021/10/19,12.8,14,30.3,2,
MLR21,6,Nashwaak,2021/08/26,N/A,Luxilus cornutus,Common Shiner,C.S.,2021/10/19,13.5,15,36.4,2,
MLR21,7,Nashwaak,2021/08/26,N/A,Castostomus commersonii,White Sucker,W.S.,2021/10/19,14.5,15.5,32.1,2,
MLR21,8,Nashwaak,2021/08/26,N/A,Semotilus corporalis,Fall Fish,F.F.,2021/10/19,13.7,15,30.3,2,
MLR21,9,Nashwaak,2021/08/26,N/A,Semotilus corporalis,Fall Fish,F.F.,2021/10/19,12,13.3,21.5,2,
MLR21,10,Nashwaak,2021/06/26,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/10/20,13,13.5,22.4,2,
MLR21,11,Nashwaak,2021/06/26,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/10/20,11.5,12.4,20,2,
MLR21,12,Nashwaak,2021/06/26,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/10/20,10.5,10.9,12.7,2,
MLR21,13,Nashwaak,2021/06/26,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/10/20,10.5,11,13.6,2,
MLR21,14,Nashwaak,2021/06/26,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/10/20,11,11.6,15.9,2,
MLR21,15,Nashwaak,2021/06/26,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/10/20,12.5,13,23.9,2,Insect Parts
MLR21,16,Nashwaak,2021/06/26,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/10/20,9.7,10.4,10.8,2,
MLR21,17,Nashwaak,2021/06/26,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/10/20,10,10.5,12.8,2,
MLR21,18,Nashwaak,2021/06/26,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/10/20,12.6,13.2,20.7,2,
MLR21,19,McKiel,2021/06/24,N/A,Castostomus commersonii,White Sucker,W.S.,2021/10/25,18.8,20,89.1,5,
MLR21,20,McKiel,2021/06/24,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/10/25,18.8,18.9,103,2,No Scales
MLR21,21,Miramichi,2021/06/24,Gill net,Morone americana,White Perch,W.P.,2021/10/25,24.5,25.7,249.5,5,
MLR21,22,Miramichi,2021/06/24,Gill net,Morone americana,White Perch,W.P.,2021/10/25,24.7,26.4,261.9,15,
MLR21,23,Miramichi,2021/06/24,Gill net,Castostomus commersonii,White Sucker,W.S.,2021/10/25,27.3,29.2,317.6,50,No Liver
MLR21,24,Miramichi,2021/06/24,Gill net,Castostomus commersonii,White Sucker,W.S.,2021/10/25,30.6,32.8,432.2,50,"Tube size may be wrong, double check samples"
MLR21,25,Miramichi,2021/06/24,Gill net,Morone americana,White Perch,W.P.,2021/10/25,25.3,27,312.7,5,"Tube size may be wrong, double check samples"
MLR21,26,McKiel,2021/06/25,N/A,Luxilus cornutus,Common Shiner,C.S.,2021/10/26,13,14.5,36.8,2,
MLR21,27,McKiel,2021/06/25,N/A,Notemigonus crysoleucas,Golden Shiner,G.S.,2021/10/26,13.5,14.5,31.6,2,No Liver
MLR21,28,McKiel,2021/06/25,N/A,Semotilus corporalis,Fall Fish,F.F.,2021/10/26,10.9,11.9,19.3,2,
MLR21,29,McKiel,2021/06/25,N/A,Luxilus cornutus,Common Shiner,C.S.,2021/10/26,11.2,12.5,25.4,2,
MLR21,30,McKiel,2021/06/25,N/A,Semotilus corporalis,Fall Fish,F.F.,2021/10/26,11.3,12.4,20.6,2,
MLR21,31,McKiel,2021/06/25,N/A,Semotilus corporalis,Fall Fish,F.F.,2021/10/26,10.3,11.3,14.3,2,No Liver
MLR21,32,McKiel,2021/06/25,N/A,Semotilus corporalis,Fall Fish,F.F.,2021/10/26,8.7,9.8,9.4,2,No Liver
MLR21,33,Miramichi,2021/06/25,Gill net,Castostomus commersonii,White Sucker,W.S.,2021/10/26,27.6,29.8,339.8,50,
MLR21,34,Miramichi,2021/06/25,Fyke,Castostomus commersonii,White Sucker,W.S.,2021/10/26,13.6,14.4,33.3,2,No Liver
MLR21,35,Miramichi,2021/06/25,Fyke,Semotilus corporalis,Fall Fish,F.F.,2021/10/26,7.3,7.7,5.7,2,No Liver
MLR21,36,Miramichi,2021/06/24,Fyke,Semotilus corporalis,Fall Fish,F.F.,2021/10/28,14.2,15.5,37.3,2,
