Data Dictionary - dictionnaire des données,,,
,,,
NAME__NOM,DOCUMENT,DESCRIPTION_EN,DESCRIPTION_FR
age_thresh_0_1__seuil d'âge_0_1,site data / données des sites,Length (mm) selected to separate salmon fry (age 0+) from 1+ parr.,Longueur (mm) choisie pour séparer les alevins de saumon (âge 0+) des tacons 1+.
age_thresh_1_2__seuil d'âge_1_2,site data / données des sites,Length (mm) selected to separate salmon 1+ parr from 2+ parr.,Longueur (mm) choisie pour séparer les tacons de saumon 1+ des tacons 2+.
age_thresh_2_3__seuil d'âge_2_3,site data / données des sites,Length (mm) selected to separate salmon 2+ parr from 3+ parr.,Longueur (mm) choisie pour séparer les tacons de saumon 2+ des tacons 3+.
bank_length_left__longueur_de_la_rive_à_gauche,site data / données des sites,"Measured in meters to one decimal, of the area sampled by electrofishing: looking downstream, the site length along the left hand bank.","Mesurée en mètres à une décimale près, de la zone échantillonnée par pêche électrique : en regardant vers l'aval, la longueur du site le long de la rive gauche."
bank_length_right__longueur_de_la_rive_à_droite,site data / données des sites,"Measured in meters to one decimal, of the area sampled by electrofishing: looking downstream, the site length along the right hand bank.","Mesurée en mètres à une décimale près, de la zone échantillonnée par pêche électrique : en regardant vers l'aval, la longueur du site le long de la rive droite."
depth_1_lower__profondeur_1_aval,site data / données des sites,"Water depth (cm) at the downstream boundary, 25% of the distance from left bank to right looking downstream.","Profondeur de l'eau (cm) à la limite aval, à 25 % de la distance entre la rive gauche et la rive droite en regardant vers l'aval."
depth_1_middle__profondeur_1_mi-largeur,site data / données des sites,"Water depth (cm) at the middle width, 25% of the distance from left bank to right looking downstream.","Profondeur de l'eau (cm) à mi-largeur, à 25 % de la distance entre la rive gauche et la rive droite en regardant vers l'aval."
depth_1_upper__profondeur_1_amont,site data / données des sites,"Water depth (cm) at the upstream boundary, 25% of the distance from left bank to right looking downstream.","Profondeur de l'eau (cm) à la limite amont, à 25 % de la distance entre la rive gauche et la rive droite en regardant vers l'aval."
depth_2_lower__profondeur_2_aval,site data / données des sites,"Water depth (cm) at the downstream boundary, 50% of the distance from left bank to right looking downstream.","Profondeur de l'eau (cm) à la limite aval, à 50 % de la distance entre la rive gauche et la rive droite en regardant vers l'aval."
depth_2_middle__profondeur_2_mi-largeur,site data / données des sites,"Water depth (cm) at the middle width, 50% of the distance from left bank to right looking downstream.","Profondeur de l'eau (cm) à mi-largeur, à 50 % de la distance entre la rive gauche et la rive droite en regardant vers l'aval."
