Year,Site code,Province,Latitude,Longitude,River name,Fishing area,CGNDB,Avg. water temperature at shore,English common name,French common name,Scientific name,ITIS TSN,Specimens measured,Avg. length (mm),Length type
1972,40,New Brunswick,47.914,-67.913,Belle Kedgwick River,SFA15,DAGYS,14.4,Atlantic salmon,saumon atlantique,Salmo salar,161996,14,55.5,fork
1972,40,New Brunswick,47.914,-67.913,Belle Kedgwick River,SFA15,DAGYS,14.4,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,32,,fork
1972,40,New Brunswick,47.914,-67.913,Belle Kedgwick River,SFA15,DAGYS,14.4,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,78,,total
1972,32,New Brunswick,47.666,-67.628,Falls Brook,SFA15,DAEHP,7.8,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,14,,fork
1972,32,New Brunswick,47.666,-67.628,Falls Brook,SFA15,DAEHP,7.8,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,1073,,total
1972,33,New Brunswick,47.68,-67.672,Falls Brook,SFA15,DAEHP,12.2,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,3,,fork
1972,33,New Brunswick,47.68,-67.672,Falls Brook,SFA15,DAEHP,12.2,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,321,,total
1972,49,New Brunswick,47.576,-67.39,Five Finger Brook,SFA15,DAEOF,14.4,American eel,anguille d'Amérique,Anguilla rostrata,161127,3,,total
1972,49,New Brunswick,47.576,-67.39,Five Finger Brook,SFA15,DAEOF,14.4,Atlantic salmon,saumon atlantique,Salmo salar,161996,15,103.667,fork
1972,49,New Brunswick,47.576,-67.39,Five Finger Brook,SFA15,DAEOF,14.4,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,16,,fork
1972,49,New Brunswick,47.576,-67.39,Five Finger Brook,SFA15,DAEOF,14.4,Creek chub,mulet à cornes,Semotilus atromaculatus,163376,16,,fork
1972,49,New Brunswick,47.576,-67.39,Five Finger Brook,SFA15,DAEOF,14.4,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,30,,total
1972,49,New Brunswick,47.576,-67.39,Five Finger Brook,SFA15,DAEOF,14.4,White sucker,meunier noir,Catostomus commersoni,553273,1,,fork
1972,51,New Brunswick,47.582,-67.73,Gounamitz River,SFA15,DAIAZ,13.3,Atlantic salmon,saumon atlantique,Salmo salar,161996,45,54.667,fork
1972,51,New Brunswick,47.582,-67.73,Gounamitz River,SFA15,DAIAZ,13.3,Creek chub,mulet à cornes,Semotilus atromaculatus,163376,1,,fork
1972,51,New Brunswick,47.582,-67.73,Gounamitz River,SFA15,DAIAZ,13.3,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,104,,total
1972,52,New Brunswick,47.608,-67.831,Gounamitz River,SFA15,DAIAZ,13.3,Atlantic salmon,saumon atlantique,Salmo salar,161996,24,43.833,fork
1972,52,New Brunswick,47.608,-67.831,Gounamitz River,SFA15,DAIAZ,13.3,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,1,,fork
1972,52,New Brunswick,47.608,-67.831,Gounamitz River,SFA15,DAIAZ,13.3,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,327,,total
1972,54,New Brunswick,47.615,-67.872,Gounamitz River,SFA15,DAIAZ,11.1,Atlantic salmon,saumon atlantique,Salmo salar,161996,9,34.667,fork
1972,54,New Brunswick,47.615,-67.872,Gounamitz River,SFA15,DAIAZ,11.1,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,18,,fork
1972,54,New Brunswick,47.615,-67.872,Gounamitz River,SFA15,DAIAZ,11.1,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,387,,total
1972,50,New Brunswick,47.523,-67.55,Jardine Brook,SFA15,DAKVC,12.2,Atlantic salmon,saumon atlantique,Salmo salar,161996,9,106.889,fork
1972,50,New Brunswick,47.523,-67.55,Jardine Brook,SFA15,DAKVC,12.2,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,14,,fork
1972,50,New Brunswick,47.523,-67.55,Jardine Brook,SFA15,DAKVC,12.2,Creek chub,mulet à cornes,Semotilus atromaculatus,163376,10,,fork
1972,50,New Brunswick,47.523,-67.55,Jardine Brook,SFA15,DAKVC,12.2,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,42,,total
1972,28,New Brunswick,47.739,-67.654,Kedgwick River,SFA15,DALLK,14.4,American eel,anguille d'Amérique,Anguilla rostrata,161127,1,,total
1972,28,New Brunswick,47.739,-67.654,Kedgwick River,SFA15,DALLK,14.4,Atlantic salmon,saumon atlantique,Salmo salar,161996,90,43.0,fork
1972,28,New Brunswick,47.739,-67.654,Kedgwick River,SFA15,DALLK,14.4,Creek chub,mulet à cornes,Semotilus atromaculatus,163376,3,,fork
1972,28,New Brunswick,47.739,-67.654,Kedgwick River,SFA15,DALLK,14.4,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,27,,total
1972,29,New Brunswick,47.765,-67.691,Kedgwick River,SFA15,DALLK,16.7,American eel,anguille d'Amérique,Anguilla rostrata,161127,9,,total
1972,29,New Brunswick,47.765,-67.691,Kedgwick River,SFA15,DALLK,16.7,Atlantic salmon,saumon atlantique,Salmo salar,161996,7,92.286,fork
1972,29,New Brunswick,47.765,-67.691,Kedgwick River,SFA15,DALLK,16.7,Creek chub,mulet à cornes,Semotilus atromaculatus,163376,12,,fork
1972,29,New Brunswick,47.765,-67.691,Kedgwick River,SFA15,DALLK,16.7,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,9,,total
1972,30,New Brunswick,47.817,-67.739,Kedgwick River,SFA15,DALLK,13.3,Atlantic salmon,saumon atlantique,Salmo salar,161996,12,55.083,fork
1972,30,New Brunswick,47.817,-67.739,Kedgwick River,SFA15,DALLK,13.3,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,19,,fork
1972,30,New Brunswick,47.817,-67.739,Kedgwick River,SFA15,DALLK,13.3,Creek chub,mulet à cornes,Semotilus atromaculatus,163376,43,,fork
1972,30,New Brunswick,47.817,-67.739,Kedgwick River,SFA15,DALLK,13.3,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,33,,total
1972,30,New Brunswick,47.817,-67.739,Kedgwick River,SFA15,DALLK,13.3,White sucker,meunier noir,Catostomus commersoni,553273,4,,fork
1972,31,New Brunswick,47.872,-67.8,Kedgwick River,SFA15,DALLK,13.3,Atlantic salmon,saumon atlantique,Salmo salar,161996,25,50.4,fork
1972,31,New Brunswick,47.872,-67.8,Kedgwick River,SFA15,DALLK,13.3,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,13,,fork
1972,31,New Brunswick,47.872,-67.8,Kedgwick River,SFA15,DALLK,13.3,Creek chub,mulet à cornes,Semotilus atromaculatus,163376,70,,fork
1972,31,New Brunswick,47.872,-67.8,Kedgwick River,SFA15,DALLK,13.3,Lamprey (non specific),lamproies (non spécifique),Petromyzontidae,159697,6,,total
1972,31,New Brunswick,47.872,-67.8,Kedgwick River,SFA15,DALLK,13.3,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,30,,total
1972,31,New Brunswick,47.872,-67.8,Kedgwick River,SFA15,DALLK,13.3,White sucker,meunier noir,Catostomus commersoni,553273,3,,fork
1972,45,New Brunswick,47.528,-67.62,Little Main Restigouche River,SFA15,DAQCE,,Atlantic salmon,saumon atlantique,Salmo salar,161996,5,57.0,fork
1972,45,New Brunswick,47.528,-67.62,Little Main Restigouche River,SFA15,DAQCE,,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,1,,fork
