L'année,Numéro du site,Province,Latitude,Longitude,Nom de la rivière,Zone de pêche,CGNDB,Température moyenne de l'eau sur le rivage,Nom commun en anglais,Nom commun en français,Nom scientifique,ITIS TSN,Spécimens mesurés,Longueur moyenne (mm),Type de longueur
1972,40,Nouveau-Brunswick,47.914,-67.913,Belle Kedgwick River,ZPS15,DAGYS,14.4,Atlantic salmon,saumon atlantique,Salmo salar,161996,14,55.5,fourche
1972,40,Nouveau-Brunswick,47.914,-67.913,Belle Kedgwick River,ZPS15,DAGYS,14.4,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,32,,fourche
1972,40,Nouveau-Brunswick,47.914,-67.913,Belle Kedgwick River,ZPS15,DAGYS,14.4,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,78,,totale
1972,32,Nouveau-Brunswick,47.666,-67.628,Falls Brook,ZPS15,DAEHP,7.8,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,14,,fourche
1972,32,Nouveau-Brunswick,47.666,-67.628,Falls Brook,ZPS15,DAEHP,7.8,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,1073,,totale
1972,33,Nouveau-Brunswick,47.68,-67.672,Falls Brook,ZPS15,DAEHP,12.2,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,3,,fourche
1972,33,Nouveau-Brunswick,47.68,-67.672,Falls Brook,ZPS15,DAEHP,12.2,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,321,,totale
1972,49,Nouveau-Brunswick,47.576,-67.39,Five Finger Brook,ZPS15,DAEOF,14.4,American eel,anguille d'Amérique,Anguilla rostrata,161127,3,,totale
1972,49,Nouveau-Brunswick,47.576,-67.39,Five Finger Brook,ZPS15,DAEOF,14.4,Atlantic salmon,saumon atlantique,Salmo salar,161996,15,103.667,fourche
1972,49,Nouveau-Brunswick,47.576,-67.39,Five Finger Brook,ZPS15,DAEOF,14.4,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,16,,fourche
1972,49,Nouveau-Brunswick,47.576,-67.39,Five Finger Brook,ZPS15,DAEOF,14.4,Creek chub,mulet à cornes,Semotilus atromaculatus,163376,16,,fourche
1972,49,Nouveau-Brunswick,47.576,-67.39,Five Finger Brook,ZPS15,DAEOF,14.4,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,30,,totale
1972,49,Nouveau-Brunswick,47.576,-67.39,Five Finger Brook,ZPS15,DAEOF,14.4,White sucker,meunier noir,Catostomus commersoni,553273,1,,fourche
1972,51,Nouveau-Brunswick,47.582,-67.73,Gounamitz River,ZPS15,DAIAZ,13.3,Atlantic salmon,saumon atlantique,Salmo salar,161996,45,54.667,fourche
1972,51,Nouveau-Brunswick,47.582,-67.73,Gounamitz River,ZPS15,DAIAZ,13.3,Creek chub,mulet à cornes,Semotilus atromaculatus,163376,1,,fourche
1972,51,Nouveau-Brunswick,47.582,-67.73,Gounamitz River,ZPS15,DAIAZ,13.3,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,104,,totale
1972,52,Nouveau-Brunswick,47.608,-67.831,Gounamitz River,ZPS15,DAIAZ,13.3,Atlantic salmon,saumon atlantique,Salmo salar,161996,24,43.833,fourche
1972,52,Nouveau-Brunswick,47.608,-67.831,Gounamitz River,ZPS15,DAIAZ,13.3,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,1,,fourche
1972,52,Nouveau-Brunswick,47.608,-67.831,Gounamitz River,ZPS15,DAIAZ,13.3,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,327,,totale
1972,54,Nouveau-Brunswick,47.615,-67.872,Gounamitz River,ZPS15,DAIAZ,11.1,Atlantic salmon,saumon atlantique,Salmo salar,161996,9,34.667,fourche
1972,54,Nouveau-Brunswick,47.615,-67.872,Gounamitz River,ZPS15,DAIAZ,11.1,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,18,,fourche
1972,54,Nouveau-Brunswick,47.615,-67.872,Gounamitz River,ZPS15,DAIAZ,11.1,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,387,,totale
1972,50,Nouveau-Brunswick,47.523,-67.55,Jardine Brook,ZPS15,DAKVC,12.2,Atlantic salmon,saumon atlantique,Salmo salar,161996,9,106.889,fourche
1972,50,Nouveau-Brunswick,47.523,-67.55,Jardine Brook,ZPS15,DAKVC,12.2,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,14,,fourche
1972,50,Nouveau-Brunswick,47.523,-67.55,Jardine Brook,ZPS15,DAKVC,12.2,Creek chub,mulet à cornes,Semotilus atromaculatus,163376,10,,fourche
1972,50,Nouveau-Brunswick,47.523,-67.55,Jardine Brook,ZPS15,DAKVC,12.2,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,42,,totale
1972,28,Nouveau-Brunswick,47.739,-67.654,Kedgwick River,ZPS15,DALLK,14.4,American eel,anguille d'Amérique,Anguilla rostrata,161127,1,,totale
1972,28,Nouveau-Brunswick,47.739,-67.654,Kedgwick River,ZPS15,DALLK,14.4,Atlantic salmon,saumon atlantique,Salmo salar,161996,90,43.0,fourche
1972,28,Nouveau-Brunswick,47.739,-67.654,Kedgwick River,ZPS15,DALLK,14.4,Creek chub,mulet à cornes,Semotilus atromaculatus,163376,3,,fourche
1972,28,Nouveau-Brunswick,47.739,-67.654,Kedgwick River,ZPS15,DALLK,14.4,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,27,,totale
1972,29,Nouveau-Brunswick,47.765,-67.691,Kedgwick River,ZPS15,DALLK,16.7,American eel,anguille d'Amérique,Anguilla rostrata,161127,9,,totale
1972,29,Nouveau-Brunswick,47.765,-67.691,Kedgwick River,ZPS15,DALLK,16.7,Atlantic salmon,saumon atlantique,Salmo salar,161996,7,92.286,fourche
1972,29,Nouveau-Brunswick,47.765,-67.691,Kedgwick River,ZPS15,DALLK,16.7,Creek chub,mulet à cornes,Semotilus atromaculatus,163376,12,,fourche
1972,29,Nouveau-Brunswick,47.765,-67.691,Kedgwick River,ZPS15,DALLK,16.7,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,9,,totale
1972,30,Nouveau-Brunswick,47.817,-67.739,Kedgwick River,ZPS15,DALLK,13.3,Atlantic salmon,saumon atlantique,Salmo salar,161996,12,55.083,fourche
1972,30,Nouveau-Brunswick,47.817,-67.739,Kedgwick River,ZPS15,DALLK,13.3,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,19,,fourche
1972,30,Nouveau-Brunswick,47.817,-67.739,Kedgwick River,ZPS15,DALLK,13.3,Creek chub,mulet à cornes,Semotilus atromaculatus,163376,43,,fourche
1972,30,Nouveau-Brunswick,47.817,-67.739,Kedgwick River,ZPS15,DALLK,13.3,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,33,,totale
1972,30,Nouveau-Brunswick,47.817,-67.739,Kedgwick River,ZPS15,DALLK,13.3,White sucker,meunier noir,Catostomus commersoni,553273,4,,fourche
1972,31,Nouveau-Brunswick,47.872,-67.8,Kedgwick River,ZPS15,DALLK,13.3,Atlantic salmon,saumon atlantique,Salmo salar,161996,25,50.4,fourche
1972,31,Nouveau-Brunswick,47.872,-67.8,Kedgwick River,ZPS15,DALLK,13.3,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,13,,fourche
1972,31,Nouveau-Brunswick,47.872,-67.8,Kedgwick River,ZPS15,DALLK,13.3,Creek chub,mulet à cornes,Semotilus atromaculatus,163376,70,,fourche
1972,31,Nouveau-Brunswick,47.872,-67.8,Kedgwick River,ZPS15,DALLK,13.3,Lamprey (non specific),lamproies (non spécifique),Petromyzontidae,159697,6,,totale
1972,31,Nouveau-Brunswick,47.872,-67.8,Kedgwick River,ZPS15,DALLK,13.3,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,30,,totale
1972,31,Nouveau-Brunswick,47.872,-67.8,Kedgwick River,ZPS15,DALLK,13.3,White sucker,meunier noir,Catostomus commersoni,553273,3,,fourche
1972,45,Nouveau-Brunswick,47.528,-67.62,Little Main Restigouche River,ZPS15,DAQCE,,Atlantic salmon,saumon atlantique,Salmo salar,161996,5,57.0,fourche
1972,45,Nouveau-Brunswick,47.528,-67.62,Little Main Restigouche River,ZPS15,DAQCE,,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,1,,fourche
1972,45,Nouveau-Brunswick,47.528,-67.62,Little Main Restigouche River,ZPS15,DAQCE,,Creek chub,mulet à cornes,Semotilus atromaculatus,163376,77,,fourche
1972,45,Nouveau-Brunswick,47.528,-67.62,Little Main Restigouche River,ZPS15,DAQCE,,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,27,,totale
1972,46,Nouveau-Brunswick,47.477,-67.72,Little Main Restigouche River,ZPS15,DAQCE,8.9,Creek chub,mulet à cornes,Semotilus atromaculatus,163376,1,,fourche
