year__année,stock,4t_fixed_spring,4t_mobile_spring,4t_fixed_fall,4t_mobile_fall,4t_total,4vn_total,4tvn_total
1978,Spring spawners,"7,498","6,400",231,"10,187","24,316",799,"25,115"
1978,Fall spawners,1048,"1,647","4,910","21,568","29,173","2,042","31,215"
1978,Total,"8,546","8,047","5,141","31,755","53,489","2,841","56,330"
1979,Spring spawners,"6,799","13,683",218,"8,288","28,988","1,598","30,586"
1979,Fall spawners,826,217,"5,856","12,330","19,229","1,313","20,542"
1979,Total,"7,625","13,900","6,074","20,618","48,217","2,911","51,128"
1980,Spring spawners,"7,192","6,555",575,"8,701","23,023","1,303","24,326"
1980,Fall spawners,74,"7,361","5,971","6,114","19,520","2,547","22,067"
1980,Total,"7,266","13,916","6,546","14,815","42,543","3,850","46,393"
1981,Spring spawners,"6,287",20,293,589,"7,189",822,"8,011"
1981,Fall spawners,"1,212",1,"10,932","2,599","14,744","2,594","17,338"
1981,Total,"7,499",21,"11,225","3,188","21,933","3,416","25,349"
1982,Spring spawners,"5,692",57,292,574,"6,615",834,"7,449"
1982,Fall spawners,230,5,"12,691","2,003","14,929","2,674","17,603"
1982,Total,"5,922",62,"12,983","2,577","21,544","3,508","25,052"
1983,Spring spawners,"7,655",17,423,"1,466","9,561","1,307","10,868"
1983,Fall spawners,865,2,"13,415","2,023","16,305","2,672","18,977"
1983,Total,"8,520",19,"13,838","3,489","25,866","3,979","29,845"
1984,Spring spawners,"4,434",3,303,895,"5,635","1,376","7,011"
1984,Fall spawners,847,1,"15,672","1,384","17,904","2,549","20,453"
1984,Total,"5,281",4,"15,975","2,279","23,539","3,925","27,464"
1985,Spring spawners,"6,720",0,"1,287","2,154","10,161","1,082","11,243"
1985,Fall spawners,498,0,"22,420","4,867","27,785","2,388","30,173"
1985,Total,"7,218",0,"23,707","7,021","37,946","3,470","41,416"
1986,Spring spawners,"7,154",0,"3,181","6,773","17,108","2,782","19,890"
1986,Fall spawners,"1,397",0,"36,710","4,143","42,250","1,568","43,818"
1986,Total,"8,551",0,"39,891","10,916","59,358","4,350","63,708"
1987,Spring spawners,"10,419",0,"2,538","9,460","22,417","1,446","23,863"
1987,Fall spawners,"1,340",0,"49,585","4,273","55,198",917,"56,115"
1987,Total,"11,759",0,"52,123","13,733","77,615","2,363","79,978"
1988,Spring spawners,"9,166",0,"2,843","12,036","24,045","1,766","25,811"
1988,Fall spawners,"3,719",0,"38,367","5,496","47,582",806,"48,388"
1988,Total,"12,885",0,"41,210","17,532","71,627","2,572","74,199"
1989,Spring spawners,"9,062",0,"1,691","8,778","19,531","1,302","20,833"
1989,Fall spawners,"2,032",0,"32,157","5,492","39,681",815,"40,496"
1989,Total,"11,094",0,"33,848","14,270","59,212","2,117","61,329"
1990,Spring spawners,"4,083",1,"2,146","6,756","12,986","3,088","16,074"
1990,Fall spawners,818,0,"59,138","3,551","63,507","1,623","65,130"
1990,Total,"4,901",1,"61,284","10,307","76,493","4,711","81,204"
1991,Spring spawners,"12,073",5,178,"3,319","15,575","1,902","17,477"
1991,Fall spawners,817,13,"26,965","4,741","32,536","2,888","35,424"
1991,Total,"12,890",18,"27,143","8,060","48,111","4,790","52,901"
1992,Spring spawners,"12,291",641,322,"3,327","16,581",493,"17,074"
1992,Fall spawners,186,478,"32,760","3,789","37,213","3,735","40,948"
1992,Total,"12,477","1,119","33,082","7,116","53,794","4,228","58,022"
1993,Spring spawners,"14,643","1,526",780,"3,741","20,690",434,"21,124"
1993,Fall spawners,538,"1,190","22,319","2,487","26,534","3,517","30,051"
1993,Total,"15,181","2,716","23,099","6,228","47,224","3,951","51,175"
1994,Spring spawners,"18,498",883,481,"3,357","23,219",568,"23,787"
1994,Fall spawners,517,"3,049","53,333","3,603","60,502","2,681","63,183"
1994,Total,"19,015","3,932","53,814","6,960","83,721","3,249","86,970"
1995,Spring spawners,"15,137",950,"2,102","7,671","25,860",470,"26,330"
1995,Fall spawners,836,875,"54,161","7,595","63,467","3,674","67,141"
1995,Total,"15,973","1,825","56,263","15,266","89,327","4,144","93,471"
1996,Spring spawners,"15,409",441,"1,365","3,977","21,192","1,033","22,225"
1996,Fall spawners,668,"1,466","44,408","4,044","50,586","3,234","53,820"
1996,Total,"16,077","1,907","45,773","8,021","71,778","4,267","76,045"
1997,Spring spawners,"12,846",614,98,"3,627","17,185",231,"17,416"
1997,Fall spawners,380,888,"34,974","2,175","38,417","3,299","41,716"
1997,Total,"13,226","1,502","35,072","5,802","55,602","3,530","59,132"
1998,Spring spawners,"13,382",297,121,"1,418","15,218",2,"15,220"
1998,Fall spawners,528,707,"39,009","3,158","43,402",50,"43,452"
1998,Total,"13,910","1,004","39,130","4,576","58,620",52,"58,672"
1999,Spring spawners,"10,256",688,176,"3,770","14,890",0,"14,890"
1999,Fall spawners,"1,625","4,130","44,615","5,334","55,704",0,"55,704"
1999,Total,"11,881","4,818","44,791","9,104","70,594",0,"70,594"
