fishing_area__zone_de_pêche,river_name__nom_de_la_rivière,site_code__numéro_du_site,latitude,longitude,year__année,month__mois,day__jour,site_type__type_de_site,water_cond__cond_eau,water_temp_c__temp_eau_c,seine_type__type_de_senne,electrofisher__électropêcheur,electrofisher_pulse_type__type_d'impulsion_du_électropêcheur,electrofisher_frequency__fréquence_du_électropêcheur,duty_cycle__facteur_d'utilisation,electrofisher_voltage__tension_du_électropêcheur,electrofisher_output_low__sortie_faible_du_électropêcheur,electrofisher_output_high__sortie_élevé_du_électropêcheur,bank_length_left__longueur_de_la_banque_à_gauche,bank_length_right__longueur_de_la_banque_à_droite,width_lower__largeur_inférieure,width_middle__largeur_moyenne,width_upper__largeur_supérieure,max_overhanging_veg_left__max_vég_en_surplomb_à_gauche,max_overhanging_veg_right__max_vég_en_surplomb_à_droite,overhanging_veg_left__vég_en_surplomb_à_gauche,overhanging_veg_right__vég_en_surplomb_à_droite,depth_1_lower__profondeur_1_inférieure,depth_2_lower__profondeur_2_inférieure,depth_3_lower__profondeur_3_inférieure,depth_1_middle__profondeur_1_moyenne,depth_2_middle__profondeur_2_moyenne,depth_3_middle__profondeur_3_moyenne,depth_1_upper__profondeur_1_supérieur,depth_2_upper__profondeur_2_supérieur,depth_3_upper__profondeur_3_supérieur,max_depth__profondeur_max,percent_fine__pourcentage_fin,percent_sand__pourcentage_sable,percent_gravel__pourcentage_gravier,percent_pebble__pourcentage_caillou,percent_cobble__pourcentage_pierre,percent_rocks__pourcentage_roches,percent_boulder__pourcentage_rocher,percent_bedrock__pourcentage_substratum,percent_riffle__pourcentage_radier,percent_run__pourcentage_courant,percent_flat__pourcentage_plat,percent_pool__pourcentage_bassin,age_thresh_0_1__seuil d'âge_0_1,age_thresh_1_2__seuil d'âge_1_2,age_thresh_2_3__seuil d'âge_2_3,sample_id__numéro_d_identification_de_l_échantillon
SFA18B__ZPS18,Forest Glen Brook,45,46.4683,-60.9188,1991,7,29,Closed,,,,Dirigo (bank model),,,,,,,25.018992785481995,,25.018992785481995,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,60,95,,11534
SFA18B__ZPS18,Trout Brook,98,46.0953,-61.1265,1991,7,30,Closed,,,,Dirigo (bank model),,,,,,,20.7,20.4,11.9,,12.5,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,60,90,,11537
SFA18B__ZPS18,MacFarlanes Brook,96,46.20630317,-61.14584102,1991,7,31,Closed,,,,Dirigo (bank model),,,,,,,21.6,24.7,7.9,11.0,12.8,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,60,105,,11538
SFA18B__ZPS18,Big Brook,15,46.2906,-61.0315,1991,8,1,Closed,,,,Dirigo (bank model),,,,,,,29.0,28.0,7.0,7.6,8.5,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,60,105,,11539
SFA18B__ZPS18,Big Brook,15,46.2906,-61.0315,1992,7,25,Closed,,,,Dirigo (bank model),,,,,,,27.0,34.5,7.0,,6.5,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,11540
SFA18B__ZPS18,MacFarlanes Brook,96,46.20689,-61.14597,1992,7,26,Closed,,,,Dirigo (bank model),,,,,,,14.0,12.5,9.3,,11.0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,11541
SFA18B__ZPS18,Forest Glen Brook,45,46.4684,-60.9189,1992,7,27,Closed,,,,Dirigo (bank model),,,,,,,30.5,31.5,6.5,,4.4,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,11542
SFA18B__ZPS18,Trout Brook,98,46.0953,-61.1265,1992,7,28,Closed,,,,Dirigo (bank model),,,,,,,15.6,18.5,12.3,,10.0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,11544
SFA18B__ZPS18,Forest Glen Brook,43,46.48054,-60.92815,1992,7,29,Closed,,,,Dirigo (bank model),,,,,,,19.8,19.0,6.2,,7.0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,11545
SFA18B__ZPS18,Big Brook,15,46.2906,-61.0315,1993,7,20,Closed,,,,"Dirigo or Smith Root, unclear",,,,,,,24.6,29.4,8.7,,7.3,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,11549
