date,river_name__nom_de_la_rivière,site_code__numéro_du_site,species__espèces,status__statut,life_stage__stade_de_vie,adipose_condition__état_de_nageoire_adipeuse,total_length__longueur_totale,fork_length__longueur à la fourche,weight__poids,reproductive_status__stade_de_la_reproduction,sex__sexe,scale_id_number__numéro_id_écaille,ager_id__id_de_l'analyste,SMART_river_age__âge_en_rivière,SMART_river_age_type__type_âge_en_rivière,notes,sweep_number__numéro_de_balayage,sweep_time__temps_de_balayage,full_wetted_area__surface_mouillée_totale,sample_id__numéro_d_identification_de_l_échantillon
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,50.0,1.32,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254942
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,51.0,1.95,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254943
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,45.0,1.28,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254944
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,49.0,1.41,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254945
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,55.0,2.55,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254946
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,54.0,1.81,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254947
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,55.0,1.48,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254948
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,51.0,2.18,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254949
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,50.0,1.65,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254950
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,49.0,1.7,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254951
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,48.0,1.54,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254952
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,53.0,2.39,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254953
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,50.0,1.89,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254954
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,44.0,1.34,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254955
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,48.0,1.15,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254956
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,73.0,4.44,,not checked,,,1,"length-frequency, auto",,0.5,431,93.104,254957
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,41.0,1.13,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254958
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,55.0,2.17,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254959
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,45.0,1.8,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254960
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,49.0,0.87,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254961
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,41.0,1.2,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254962
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,39.0,0.45,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254963
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,47.0,1.09,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254964
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,46.0,1.57,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254965
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,45.0,1.06,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254966
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,51.0,1.44,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254967
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,49.0,1.41,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254968
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,44.0,1.51,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254969
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,53.0,1.63,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254970
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,47.0,1.04,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254971
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,54.0,1.7,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254972
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,53.0,2.37,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254973
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,49.0,1.89,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254974
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,46.0,1.02,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254975
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,56.0,1.54,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254976
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,52.0,1.51,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254977
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,54.0,1.33,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254978
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,48.0,0.97,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254979
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,52.0,1.02,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254980
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,52.0,1.27,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254981
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,52.0,1.52,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254982
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,47.0,0.43,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254983
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,52.0,1.9,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254984
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,46.0,1.32,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254985
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,46.0,1.11,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254986
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,56.0,2.12,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254987
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,54.0,1.97,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254988
2021-08-16,Ingram Brook,34,Atlantic salmon,"Released, sampled",fry,Not checked,,48.0,1.2,,not checked,,,0,"length-frequency, auto",,0.5,431,93.104,254989
