Year,Site name,Province,Latitude,Longitude,River name,Fishing area,CGNDB,Avg. water temperature at shore,English common name,French common name,Scientific name,ITIS TSN,Specimens measured,Avg. length (mm),Length type
2021,15,Nova Scotia,46.290476,-61.031735,Big Brook,SFA18,,16.100,Atlantic salmon,saumon atlantique,Salmo salar,161996,34,62.765,fork
2021,15,Nova Scotia,46.290476,-61.031735,Big Brook,SFA18,,16.100,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,2,97.000,fork
2021,15,Nova Scotia,46.290476,-61.031735,Big Brook,SFA18,,16.100,Brown trout,truite brune,Salmo trutta,161997,77,58.640,fork
2021,2,Nova Scotia,46.383500,-61.037325,Gallant River,SFA18,,15.900,Atlantic salmon,saumon atlantique,Salmo salar,161996,24,73.417,fork
2021,2,Nova Scotia,46.383500,-61.037325,Gallant River,SFA18,,15.900,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,2,146.000,fork
2021,23,Nova Scotia,46.330867,-61.000767,Lake O'Law Brook,SFA18,,16.100,American eel,anguille d'Amérique,Anguilla rostrata,161127,1,,total
2021,23,Nova Scotia,46.330867,-61.000767,Lake O'Law Brook,SFA18,,16.100,Atlantic salmon,saumon atlantique,Salmo salar,161996,84,87.652,fork
2021,23,Nova Scotia,46.330867,-61.000767,Lake O'Law Brook,SFA18,,16.100,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,29,73.483,fork
2021,23,Nova Scotia,46.330867,-61.000767,Lake O'Law Brook,SFA18,,16.100,Brown trout,truite brune,Salmo trutta,161997,3,64.000,fork
2021,34,Nova Scotia,46.384318,-60.946883,Ingram Brook,SFA18,,13.100,Atlantic salmon,saumon atlantique,Salmo salar,161996,197,68.920,fork
2021,34,Nova Scotia,46.384318,-60.946883,Ingram Brook,SFA18,,13.100,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,12,80.833,fork
2021,43,Nova Scotia,46.479942,-60.927818,Forest Glen Brook,SFA18,,19.200,Atlantic salmon,saumon atlantique,Salmo salar,161996,78,71.051,fork
2021,43,Nova Scotia,46.479942,-60.927818,Forest Glen Brook,SFA18,,19.200,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,3,129.000,fork
2021,43,Nova Scotia,46.479942,-60.927818,Forest Glen Brook,SFA18,,19.200,Brown trout,truite brune,Salmo trutta,161997,1,93.000,fork
2021,45,Nova Scotia,46.468017,-60.919086,Forest Glen Brook,SFA18,,,American eel,anguille d'Amérique,Anguilla rostrata,161127,1,,total
2021,45,Nova Scotia,46.468017,-60.919086,Forest Glen Brook,SFA18,,,Atlantic salmon,saumon atlantique,Salmo salar,161996,164,69.727,fork
2021,45,Nova Scotia,46.468017,-60.919086,Forest Glen Brook,SFA18,,,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,4,78.250,fork
2021,51,Nova Scotia,46.426817,-60.944344,NE Margaree River,SFA18,CBBWL,15.900,Atlantic salmon,saumon atlantique,Salmo salar,161996,185,65.825,fork
2021,56,Nova Scotia,46.405650,-60.963950,NE Margaree River,SFA18,CBBWL,17.100,Atlantic salmon,saumon atlantique,Salmo salar,161996,39,87.744,fork
2021,56,Nova Scotia,46.405650,-60.963950,NE Margaree River,SFA18,CBBWL,17.100,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,2,99.000,fork
2021,82,Nova Scotia,46.288442,-61.147075,SW Margaree River,SFA18,CBJVR,20.000,American eel,anguille d'Amérique,Anguilla rostrata,161127,2,,total
2021,82,Nova Scotia,46.288442,-61.147075,SW Margaree River,SFA18,CBJVR,20.000,Atlantic salmon,saumon atlantique,Salmo salar,161996,22,78.727,fork
2021,82,Nova Scotia,46.288442,-61.147075,SW Margaree River,SFA18,CBJVR,20.000,Gaspereau,gaspareau,Alosa,161701,903,53.000,fork
2021,82,Nova Scotia,46.288442,-61.147075,SW Margaree River,SFA18,CBJVR,20.000,three-spined stickleback,épinoche à trois épines,Gasterosteus aculeatus,166365,2,37.000,fork
2021,82,Nova Scotia,46.288442,-61.147075,SW Margaree River,SFA18,CBJVR,20.000,White sucker,meunier noir,Catostomus commersoni,553273,2,66.000,fork
2021,91,Nova Scotia,46.241989,-61.122065,SW Margaree River,SFA18,CBJVR,18.700,Atlantic salmon,saumon atlantique,Salmo salar,161996,10,69.600,fork
