Year,Site code,Province,Latitude,Longitude,River name,Fishing area,CGNDB,Avg. water temperature at shore,English common name,French common name,Scientific name,ITIS TSN,Specimens measured,Avg. length (mm),Length type
2021,EFRP5,Nova Scotia,45.595,-63.94,River Philip,SFA18A,,9.7,Atlantic salmon,saumon atlantique,Salmo salar,161996,55,80.6,fork
2021,EFRP5,Nova Scotia,45.595,-63.94,River Philip,SFA18A,,9.7,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,6,64.833,fork
2021,EFRP5,Nova Scotia,45.595,-63.94,River Philip,SFA18A,,9.7,Brown trout,truite brune,Salmo trutta,161997,27,83.037,fork
2021,EFRP3,Nova Scotia,45.628,-63.928,River Philip,SFA18A,,11.9,Atlantic salmon,saumon atlantique,Salmo salar,161996,87,64.746,fork
2021,EFRP3,Nova Scotia,45.628,-63.928,River Philip,SFA18A,,11.9,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,3,121.0,fork
2021,EFRP3,Nova Scotia,45.628,-63.928,River Philip,SFA18A,,11.9,Brown trout,truite brune,Salmo trutta,161997,5,113.4,fork
2021,EFRP3,Nova Scotia,45.628,-63.928,River Philip,SFA18A,,11.9,three-spined stickleback,épinoche à trois épines,Gasterosteus aculeatus,166365,1,,total
2021,EFRP4,Nova Scotia,45.658,-63.91,River Philip,SFA18A,,11.1,Atlantic salmon,saumon atlantique,Salmo salar,161996,49,61.653,fork
2021,EFRP4,Nova Scotia,45.658,-63.91,River Philip,SFA18A,,11.1,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,11,60.909,fork
2021,EFRP4,Nova Scotia,45.658,-63.91,River Philip,SFA18A,,11.1,Brown trout,truite brune,Salmo trutta,161997,4,66.0,fork
2021,EFRP4,Nova Scotia,45.658,-63.91,River Philip,SFA18A,,11.1,Lamprey (non specific),lamproies (non spécifique),Petromyzontidae,159697,2,,total
2021,EFRP6,Nova Scotia,45.572,-63.946,River Philip,SFA18A,,11.0,Atlantic salmon,saumon atlantique,Salmo salar,161996,4,85.75,fork
2021,EFRP6,Nova Scotia,45.572,-63.946,River Philip,SFA18A,,11.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,1,50.0,fork
2021,EFRP6,Nova Scotia,45.572,-63.946,River Philip,SFA18A,,11.0,Brown trout,truite brune,Salmo trutta,161997,40,71.65,fork
2021,EFRP1,Nova Scotia,45.597,-63.818,River Philip,SFA18A,,13.3,Atlantic salmon,saumon atlantique,Salmo salar,161996,90,55.105,fork
2021,EFRP1,Nova Scotia,45.597,-63.818,River Philip,SFA18A,,13.3,Brown trout,truite brune,Salmo trutta,161997,4,59.0,fork
2021,EFER3,Nova Scotia,45.464,-62.652,East River Pictou,SFA18A,,15.0,Atlantic salmon,saumon atlantique,Salmo salar,161996,55,51.981,fork
2021,EFER3,Nova Scotia,45.464,-62.652,East River Pictou,SFA18A,,15.0,Lake chub,méné de lac,Couesius plumbeus,163535,7,51.714,fork
2021,EFER3,Nova Scotia,45.464,-62.652,East River Pictou,SFA18A,,15.0,three-spined stickleback,épinoche à trois épines,Gasterosteus aculeatus,166365,1,,total
2021,EFER3,Nova Scotia,45.464,-62.652,East River Pictou,SFA18A,,15.0,White sucker,meunier noir,Catostomus commersoni,553273,1,71.0,fork
2021,EFER5,Nova Scotia,45.417,-62.575,East River Pictou,SFA18A,,13.8,Atlantic salmon,saumon atlantique,Salmo salar,161996,75,54.724,fork
2021,EFER5,Nova Scotia,45.417,-62.575,East River Pictou,SFA18A,,13.8,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,1,57.0,fork
2021,EFER5,Nova Scotia,45.417,-62.575,East River Pictou,SFA18A,,13.8,three-spined stickleback,épinoche à trois épines,Gasterosteus aculeatus,166365,1,,total
2021,EFER7,Nova Scotia,45.46,-62.689,East River Pictou,SFA18A,,15.8,Atlantic salmon,saumon atlantique,Salmo salar,161996,117,61.033,fork
2021,EFER7,Nova Scotia,45.46,-62.689,East River Pictou,SFA18A,,15.8,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,1,40.0,fork
2021,EFER8B,Nova Scotia,45.415,-62.552,East River Pictou,SFA18A,,15.5,Atlantic salmon,saumon atlantique,Salmo salar,161996,24,64.125,fork
2021,EFER8B,Nova Scotia,45.415,-62.552,East River Pictou,SFA18A,,15.5,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,16,57.562,fork
2021,EFER8B,Nova Scotia,45.415,-62.552,East River Pictou,SFA18A,,15.5,Brown trout,truite brune,Salmo trutta,161997,3,68.333,fork
2021,EFER8B,Nova Scotia,45.415,-62.552,East River Pictou,SFA18A,,15.5,Lake chub,méné de lac,Couesius plumbeus,163535,1,73.0,fork
2021,EFER9A,Nova Scotia,45.404,-62.542,East River Pictou,SFA18A,,15.4,Atlantic salmon,saumon atlantique,Salmo salar,161996,167,62.232,fork
2021,EFER9A,Nova Scotia,45.404,-62.542,East River Pictou,SFA18A,,15.4,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,13,68.462,fork
2021,EFER9A,Nova Scotia,45.404,-62.542,East River Pictou,SFA18A,,15.4,Lake chub,méné de lac,Couesius plumbeus,163535,2,80.0,fork
2021,EFER4,Nova Scotia,45.425,-62.674,East River Pictou,SFA18A,,16.0,Atlantic salmon,saumon atlantique,Salmo salar,161996,30,59.667,fork
2021,EFER4,Nova Scotia,45.425,-62.674,East River Pictou,SFA18A,,16.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,1,86.0,fork
2021,EFER4,Nova Scotia,45.425,-62.674,East River Pictou,SFA18A,,16.0,Brown trout,truite brune,Salmo trutta,161997,5,62.6,fork
2021,EFWRP,Nova Scotia,45.543,-62.877,West River Pictou,SFA18A,,11.2,Atlantic salmon,saumon atlantique,Salmo salar,161996,61,66.576,fork
2021,EFWRP,Nova Scotia,45.543,-62.877,West River Pictou,SFA18A,,11.2,three-spined stickleback,épinoche à trois épines,Gasterosteus aculeatus,166365,1,,total
2021,EFWR6B,Nova Scotia,45.56,-62.077,West River Antigonish,SFA18A,,13.6,Atlantic salmon,saumon atlantique,Salmo salar,161996,102,62.776,fork
2021,EFWR6B,Nova Scotia,45.56,-62.077,West River Antigonish,SFA18A,,13.6,Brown trout,truite brune,Salmo trutta,161997,1,153.0,fork
2021,EFWR6B,Nova Scotia,45.56,-62.077,West River Antigonish,SFA18A,,13.6,three-spined stickleback,épinoche à trois épines,Gasterosteus aculeatus,166365,1,,total
2021,EFWR1,Nova Scotia,45.573,-62.046,West River Antigonish,SFA18A,,18.7,Atlantic salmon,saumon atlantique,Salmo salar,161996,75,52.078,fork
2021,EFWR1,Nova Scotia,45.573,-62.046,West River Antigonish,SFA18A,,18.7,three-spined stickleback,épinoche à trois épines,Gasterosteus aculeatus,166365,2,,total
2021,EFWR2,Nova Scotia,45.581,-62.106,West River Antigonish,SFA18A,,14.8,Atlantic salmon,saumon atlantique,Salmo salar,161996,300,69.839,fork
2021,EFWR2,Nova Scotia,45.581,-62.106,West River Antigonish,SFA18A,,14.8,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,6,62.167,fork
2021,EFWR2,Nova Scotia,45.581,-62.106,West River Antigonish,SFA18A,,14.8,Brown trout,truite brune,Salmo trutta,161997,11,58.0,fork
2021,EFWR3,Nova Scotia,45.505,-62.065,West River Antigonish,SFA18A,,15.6,Atlantic salmon,saumon atlantique,Salmo salar,161996,115,51.019,fork
2021,EFWR3,Nova Scotia,45.505,-62.065,West River Antigonish,SFA18A,,15.6,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,1,59.0,fork
2021,EFWR4,Nova Scotia,45.541,-62.133,West River Antigonish,SFA18A,,15.1,Atlantic salmon,saumon atlantique,Salmo salar,161996,61,77.918,fork
2021,EFWR4,Nova Scotia,45.541,-62.133,West River Antigonish,SFA18A,,15.1,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,1,53.0,fork
2021,EFWR4,Nova Scotia,45.541,-62.133,West River Antigonish,SFA18A,,15.1,Brown trout,truite brune,Salmo trutta,161997,8,89.375,fork
2021,EFWR7,Nova Scotia,45.599,-62.084,West River Antigonish,SFA18A,,12.4,Atlantic salmon,saumon atlantique,Salmo salar,161996,2,121.5,fork
2021,EFWR7,Nova Scotia,45.599,-62.084,West River Antigonish,SFA18A,,12.4,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,8,67.375,fork
2021,EFRP10,Nova Scotia,45.591,-63.834,River Philip,SFA18A,,13.3,Atlantic salmon,saumon atlantique,Salmo salar,161996,68,58.27,fork
2021,EFRP10,Nova Scotia,45.591,-63.834,River Philip,SFA18A,,13.3,Brown trout,truite brune,Salmo trutta,161997,8,63.25,fork
2022,EFRP5,Nova Scotia,45.595,-63.94,River Philip,SFA18A,,16.3,Atlantic salmon,saumon atlantique,Salmo salar,161996,30,74.767,fork
2022,EFRP5,Nova Scotia,45.595,-63.94,River Philip,SFA18A,,16.3,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,1,55.0,fork
2022,EFRP5,Nova Scotia,45.595,-63.94,River Philip,SFA18A,,16.3,Brown trout,truite brune,Salmo trutta,161997,13,76.615,fork
2022,EFRP3,Nova Scotia,45.628,-63.928,River Philip,SFA18A,,17.7,Atlantic salmon,saumon atlantique,Salmo salar,161996,85,65.21,fork
2022,EFRP3,Nova Scotia,45.628,-63.928,River Philip,SFA18A,,17.7,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,1,68.0,fork
2022,EFRP3,Nova Scotia,45.628,-63.928,River Philip,SFA18A,,17.7,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,2,67.5,fork
2022,EFRP3,Nova Scotia,45.628,-63.928,River Philip,SFA18A,,17.7,Brown trout,truite brune,Salmo trutta,161997,6,70.833,fork
2022,EFRP4,Nova Scotia,45.658,-63.91,River Philip,SFA18A,,17.1,Atlantic salmon,saumon atlantique,Salmo salar,161996,31,79.452,fork
2022,EFRP4,Nova Scotia,45.658,-63.91,River Philip,SFA18A,,17.1,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,20,57.45,fork
2022,EFRP4,Nova Scotia,45.658,-63.91,River Philip,SFA18A,,17.1,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,2,65.5,fork
2022,EFRP4,Nova Scotia,45.658,-63.91,River Philip,SFA18A,,17.1,Brown trout,truite brune,Salmo trutta,161997,1,182.0,fork
2022,EFRP4,Nova Scotia,45.658,-63.91,River Philip,SFA18A,,17.1,three-spined stickleback,épinoche à trois épines,Gasterosteus aculeatus,166365,6,,total
2022,EFRP6,Nova Scotia,45.572,-63.946,River Philip,SFA18A,,9.3,Atlantic salmon,saumon atlantique,Salmo salar,161996,7,58.714,fork
2022,EFRP6,Nova Scotia,45.572,-63.946,River Philip,SFA18A,,9.3,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,60,126.0,fork
2022,EFRP6,Nova Scotia,45.572,-63.946,River Philip,SFA18A,,9.3,Brown trout,truite brune,Salmo trutta,161997,30,72.767,fork
2022,EFRP1,Nova Scotia,45.597,-63.818,River Philip,SFA18A,,14.2,Atlantic salmon,saumon atlantique,Salmo salar,161996,79,69.213,fork
2022,EFRP1,Nova Scotia,45.597,-63.818,River Philip,SFA18A,,14.2,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,5,41.8,fork
2022,EFRP1,Nova Scotia,45.597,-63.818,River Philip,SFA18A,,14.2,Brown trout,truite brune,Salmo trutta,161997,5,76.2,fork
2022,EFER3,Nova Scotia,45.464,-62.652,East River Pictou,SFA18A,,14.8,Atlantic salmon,saumon atlantique,Salmo salar,161996,22,72.864,fork
2022,EFER3,Nova Scotia,45.464,-62.652,East River Pictou,SFA18A,,14.8,Creek chub,mulet à cornes,Semotilus atromaculatus,163376,2,51.0,fork
2022,EFER3,Nova Scotia,45.464,-62.652,East River Pictou,SFA18A,,14.8,three-spined stickleback,épinoche à trois épines,Gasterosteus aculeatus,166365,1,,total
2022,EFER5,Nova Scotia,45.417,-62.575,East River Pictou,SFA18A,,16.3,Atlantic salmon,saumon atlantique,Salmo salar,161996,31,68.903,fork
2022,EFER5,Nova Scotia,45.417,-62.575,East River Pictou,SFA18A,,16.3,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,1,245.0,fork
2022,EFER5,Nova Scotia,45.417,-62.575,East River Pictou,SFA18A,,16.3,Brown trout,truite brune,Salmo trutta,161997,1,315.0,fork
2022,EFER7,Nova Scotia,45.46,-62.689,East River Pictou,SFA18A,,18.5,Atlantic salmon,saumon atlantique,Salmo salar,161996,84,66.471,fork
2022,EFER8B,Nova Scotia,45.415,-62.552,East River Pictou,SFA18A,,14.1,Atlantic salmon,saumon atlantique,Salmo salar,161996,29,82.897,fork
2022,EFER8B,Nova Scotia,45.415,-62.552,East River Pictou,SFA18A,,14.1,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,10,80.2,fork
2022,EFER8B,Nova Scotia,45.415,-62.552,East River Pictou,SFA18A,,14.1,Brown trout,truite brune,Salmo trutta,161997,5,81.6,fork
2022,EFER9A,Nova Scotia,45.404,-62.542,East River Pictou,SFA18A,,14.0,Atlantic salmon,saumon atlantique,Salmo salar,161996,37,79.622,fork
2022,EFER9A,Nova Scotia,45.404,-62.542,East River Pictou,SFA18A,,14.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,6,120.667,fork
