Year,Site code,Province,Latitude,Longitude,River name,Fishing area,CGNDB,Avg. water temperature at shore,English common name,French common name,Scientific name,ITIS TSN,Specimens measured,Avg. length (mm),Length type
1957,40,Nova Scotia,46.472,-60.921,Forest Glen Brook,SFA18B,,,American eel,anguille d'Amérique,Anguilla rostrata,161127,7,,total
1957,40,Nova Scotia,46.472,-60.921,Forest Glen Brook,SFA18B,,,Atlantic salmon,saumon atlantique,Salmo salar,161996,132,,fork
1957,40,Nova Scotia,46.472,-60.921,Forest Glen Brook,SFA18B,,,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,28,,fork
1957,42,Nova Scotia,46.463,-60.918,Forest Glen Brook,SFA18B,,,American eel,anguille d'Amérique,Anguilla rostrata,161127,3,,total
1957,42,Nova Scotia,46.463,-60.918,Forest Glen Brook,SFA18B,,,Atlantic salmon,saumon atlantique,Salmo salar,161996,105,,fork
1957,42,Nova Scotia,46.463,-60.918,Forest Glen Brook,SFA18B,,,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,7,,fork
1957,52,Nova Scotia,46.463,-60.916,NE Margaree River,SFA18B,CBBWL,,American eel,anguille d'Amérique,Anguilla rostrata,161127,9,,total
1957,52,Nova Scotia,46.463,-60.916,NE Margaree River,SFA18B,CBBWL,,Atlantic salmon,saumon atlantique,Salmo salar,161996,245,,fork
1957,52,Nova Scotia,46.463,-60.916,NE Margaree River,SFA18B,CBBWL,,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,15,,fork
1957,54,Nova Scotia,46.343,-60.997,NE Margaree River,SFA18B,CBBWL,,American eel,anguille d'Amérique,Anguilla rostrata,161127,24,,total
1957,54,Nova Scotia,46.343,-60.997,NE Margaree River,SFA18B,CBBWL,,Atlantic salmon,saumon atlantique,Salmo salar,161996,276,,fork
1957,54,Nova Scotia,46.343,-60.997,NE Margaree River,SFA18B,CBBWL,,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,4,,fork
1957,97,Nova Scotia,46.207,-61.149,SW Margaree River,SFA18B,CBJVR,,American eel,anguille d'Amérique,Anguilla rostrata,161127,138,,total
1957,97,Nova Scotia,46.207,-61.149,SW Margaree River,SFA18B,CBJVR,,Atlantic salmon,saumon atlantique,Salmo salar,161996,4,,fork
1957,97,Nova Scotia,46.207,-61.149,SW Margaree River,SFA18B,CBJVR,,Suckers (non specific),catostomes (non spécifique),Catostomidae,163892,1,,fork
1957,43,Nova Scotia,46.48,-60.928,Forest Glen Brook,SFA18B,,,American eel,anguille d'Amérique,Anguilla rostrata,161127,1,,total
1957,43,Nova Scotia,46.48,-60.928,Forest Glen Brook,SFA18B,,,Atlantic salmon,saumon atlantique,Salmo salar,161996,194,,fork
