L'année,Nom du site,Province,Latitude,Longitude,Nom de la rivière,Zone de pêche,ONGC,Température moyenne de l'eau sur le rivage,Nom commun en anglais,Nom commun en français,Nom scientifique,ITIS TSN,Spécimens mesurés,Longueur moyenne (mm),Type de longueur
2021,1,New Brunswick,47.993183,-66.870617,Restigouche River,SFA15,DACGO,20.300,American eel,anguille d'Amérique,Anguilla rostrata,161127,1,,total
2021,1,New Brunswick,47.993183,-66.870617,Restigouche River,SFA15,DACGO,20.300,Atlantic salmon,saumon atlantique,Salmo salar,161996,16,79.625,fork
2021,1,New Brunswick,47.993183,-66.870617,Restigouche River,SFA15,DACGO,20.300,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,10,54.600,fork
2021,1,New Brunswick,47.993183,-66.870617,Restigouche River,SFA15,DACGO,20.300,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,1,71.000,fork
2021,103,New Brunswick,47.050000,-66.000000,South Branch Big Sevogle River,SFA16,DAIKJ,,Atlantic salmon,saumon atlantique,Salmo salar,161996,7,64.429,fork
2021,103,New Brunswick,47.050000,-66.000000,South Branch Big Sevogle River,SFA16,DAIKJ,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,13,47.923,fork
2021,104,New Brunswick,47.140000,-65.980000,North Branch Big Sevogle River,SFA16,DABUW,,Atlantic salmon,saumon atlantique,Salmo salar,161996,12,81.500,fork
2021,107,New Brunswick,46.970000,-66.630000,Tuadook River,SFA16,DATKW,,Atlantic salmon,saumon atlantique,Salmo salar,161996,15,56.200,fork
2021,107,New Brunswick,46.970000,-66.630000,Tuadook River,SFA16,DATKW,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,10,49.600,fork
2021,107,New Brunswick,46.970000,-66.630000,Tuadook River,SFA16,DATKW,,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,10,28.800,fork
2021,107,New Brunswick,46.970000,-66.630000,Tuadook River,SFA16,DATKW,,Lake chub,méné de lac,Couesius plumbeus,163535,8,34.000,fork
2021,11,New Brunswick,47.667250,-67.475883,Hailes Brook,SFA15,DAJBU,18.000,Atlantic salmon,saumon atlantique,Salmo salar,161996,29,61.069,fork
2021,11,New Brunswick,47.667250,-67.475883,Hailes Brook,SFA15,DAJBU,18.000,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,1,67.000,fork
2021,11,New Brunswick,47.667250,-67.475883,Hailes Brook,SFA15,DAJBU,18.000,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,13,56.692,fork
2021,110,New Brunswick,46.530000,-65.860000,Cains River,SFA16,DAYOM,,American eel,anguille d'Amérique,Anguilla rostrata,161127,1,,total
2021,110,New Brunswick,46.530000,-65.860000,Cains River,SFA16,DAYOM,,Atlantic salmon,saumon atlantique,Salmo salar,161996,97,64.310,fork
2021,110,New Brunswick,46.530000,-65.860000,Cains River,SFA16,DAYOM,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,2,41.000,fork
2021,110,New Brunswick,46.530000,-65.860000,Cains River,SFA16,DAYOM,,brook stickleback,épinoche à cinq épines,Culaea inconstans,166399,1,80.000,fork
2021,115,New Brunswick,47.190000,-65.890000,Northwest Miramichi River,SFA16,DAYEV,,Atlantic salmon,saumon atlantique,Salmo salar,161996,19,80.684,fork
2021,115,New Brunswick,47.190000,-65.890000,Northwest Miramichi River,SFA16,DAYEV,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,12,40.750,fork
2021,115,New Brunswick,47.190000,-65.890000,Northwest Miramichi River,SFA16,DAYEV,,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,1,38.000,fork
2021,115,New Brunswick,47.190000,-65.890000,Northwest Miramichi River,SFA16,DAYEV,,Lake chub,méné de lac,Couesius plumbeus,163535,12,40.833,fork
2021,120,New Brunswick,46.680000,-66.970000,Burnthill Brook,SFA16,DASOG,,Atlantic salmon,saumon atlantique,Salmo salar,161996,33,84.182,fork
2021,120,New Brunswick,46.680000,-66.970000,Burnthill Brook,SFA16,DASOG,,Mottled sculpin,chabot tacheté,Cottus bairdii,167237,29,60.000,fork
2021,121,New Brunswick,46.760000,-66.830000,Clearwater Brook,SFA16,DAGDP,,Atlantic salmon,saumon atlantique,Salmo salar,161996,61,54.963,fork
2021,121,New Brunswick,46.760000,-66.830000,Clearwater Brook,SFA16,DAGDP,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,9,41.111,fork
2021,129,New Brunswick,46.550000,-66.040000,McKiel Brook,SFA16,DANOV,,Atlantic salmon,saumon atlantique,Salmo salar,161996,45,81.578,fork
2021,129,New Brunswick,46.550000,-66.040000,McKiel Brook,SFA16,DANOV,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,3,72.333,fork
2021,129,New Brunswick,46.550000,-66.040000,McKiel Brook,SFA16,DANOV,,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,3,75.333,fork
2021,14,New Brunswick,47.874067,-66.947033,Upsalquitch River,SFA15,DAPWI,19.500,Atlantic salmon,saumon atlantique,Salmo salar,161996,58,54.000,fork
2021,14,New Brunswick,47.874067,-66.947033,Upsalquitch River,SFA15,DAPWI,19.500,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,13,30.385,fork
2021,14,New Brunswick,47.874067,-66.947033,Upsalquitch River,SFA15,DAPWI,19.500,White sucker,meunier noir,Catostomus commersoni,553273,1,43.000,fork
2021,145,New Brunswick,46.979700,-66.470000,North PoleStream,SFA16,DAZMQ,,Atlantic salmon,saumon atlantique,Salmo salar,161996,28,92.179,fork
2021,145,New Brunswick,46.979700,-66.470000,North PoleStream,SFA16,DAZMQ,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,8,57.000,fork
2021,147,New Brunswick,46.982830,-66.372670,Lower North Branch Little Southwest Miramichi River,SFA16,DAUNV,,Atlantic salmon,saumon atlantique,Salmo salar,161996,50,60.180,fork
2021,147,New Brunswick,46.982830,-66.372670,Lower North Branch Little Southwest Miramichi River,SFA16,DAUNV,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,1,30.000,fork
2021,15,Nova Scotia,46.290476,-61.031735,Big Brook,SFA18,,16.100,Atlantic salmon,saumon atlantique,Salmo salar,161996,34,62.765,fork
2021,15,Nova Scotia,46.290476,-61.031735,Big Brook,SFA18,,16.100,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,2,97.000,fork
2021,15,Nova Scotia,46.290476,-61.031735,Big Brook,SFA18,,16.100,Brown trout,truite brune,Salmo trutta,161997,77,58.640,fork
2021,15,New Brunswick,47.694217,-66.742450,Upsalquitch River,SFA15,DAPWI,17.500,Atlantic salmon,saumon atlantique,Salmo salar,161996,39,63.923,fork
2021,15,New Brunswick,47.694217,-66.742450,Upsalquitch River,SFA15,DAPWI,17.500,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,1,17.000,fork
2021,153,New Brunswick,47.090000,-66.320000,South Branch Big Sevogle River,SFA16,DAIKJ,,Atlantic salmon,saumon atlantique,Salmo salar,161996,13,92.538,fork
2021,16,New Brunswick,47.653850,-66.728767,Northwest Upsalquitch River,SFA15,DAYFA,19.000,Atlantic salmon,saumon atlantique,Salmo salar,161996,37,74.270,fork
2021,16,New Brunswick,47.653850,-66.728767,Northwest Upsalquitch River,SFA15,DAYFA,19.000,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,41,,fork
2021,16,New Brunswick,47.653850,-66.728767,Northwest Upsalquitch River,SFA15,DAYFA,19.000,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,1,69.000,fork
2021,17,New Brunswick,47.608683,-66.799250,Northwest Upsalquitch River,SFA15,DAYFA,17.700,Atlantic salmon,saumon atlantique,Salmo salar,161996,44,56.886,fork
2021,17,New Brunswick,47.608683,-66.799250,Northwest Upsalquitch River,SFA15,DAYFA,17.700,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,11,56.455,fork
2021,17,New Brunswick,47.608683,-66.799250,Northwest Upsalquitch River,SFA15,DAYFA,17.700,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,1,68.000,fork
2021,18,New Brunswick,47.610933,-66.805783,Northwest Upsalquitch River,SFA15,DAYFA,19.500,Atlantic salmon,saumon atlantique,Salmo salar,161996,17,53.294,fork
2021,18,New Brunswick,47.610933,-66.805783,Northwest Upsalquitch River,SFA15,DAYFA,19.500,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,1,64.000,fork
2021,18,New Brunswick,47.610933,-66.805783,Northwest Upsalquitch River,SFA15,DAYFA,19.500,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,1,71.000,fork
2021,186,New Brunswick,46.820000,-66.650000,Dungarvon River,SFA16,DALFL,,Atlantic salmon,saumon atlantique,Salmo salar,161996,12,77.333,fork
2021,186,New Brunswick,46.820000,-66.650000,Dungarvon River,SFA16,DALFL,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,4,58.500,fork
2021,186,New Brunswick,46.820000,-66.650000,Dungarvon River,SFA16,DALFL,,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,2,50.000,fork
2021,190,New Brunswick,47.065000,-65.852000,Big Sevogle River,SFA16,DAQLQ,,Atlantic salmon,saumon atlantique,Salmo salar,161996,13,52.538,fork
2021,190,New Brunswick,47.065000,-65.852000,Big Sevogle River,SFA16,DAQLQ,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,9,46.333,fork
2021,190,New Brunswick,47.065000,-65.852000,Big Sevogle River,SFA16,DAQLQ,,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,1,34.000,fork
2021,2,Nova Scotia,46.383500,-61.037325,Gallant River,SFA18,,15.900,Atlantic salmon,saumon atlantique,Salmo salar,161996,24,73.417,fork
2021,2,Nova Scotia,46.383500,-61.037325,Gallant River,SFA18,,15.900,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,2,146.000,fork
2021,2,New Brunswick,47.972750,-66.938333,Restigouche River,SFA15,DACGO,17.900,Atlantic salmon,saumon atlantique,Salmo salar,161996,32,55.125,fork
2021,2,New Brunswick,47.972750,-66.938333,Restigouche River,SFA15,DACGO,17.900,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,4,34.500,fork
2021,2,New Brunswick,47.972750,-66.938333,Restigouche River,SFA15,DACGO,17.900,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,2,35.000,fork
