L'année,Numéro du site,Province,Latitude,Longitude,Nom de la rivière,Zone de pêche,CGNDB,Température moyenne de l'eau sur le rivage,Nom commun en anglais,Nom commun en français,Nom scientifique,ITIS TSN,Spécimens mesurés,Longueur moyenne (mm),Type de longueur
1957,40,Nouvelle-Écosse,46.472,-60.921,Forest Glen Brook,ZPS18B,,,American eel,anguille d'Amérique,Anguilla rostrata,161127,7,,totale
1957,40,Nouvelle-Écosse,46.472,-60.921,Forest Glen Brook,ZPS18B,,,Atlantic salmon,saumon atlantique,Salmo salar,161996,132,,fourche
1957,40,Nouvelle-Écosse,46.472,-60.921,Forest Glen Brook,ZPS18B,,,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,28,,fourche
1957,42,Nouvelle-Écosse,46.463,-60.918,Forest Glen Brook,ZPS18B,,,American eel,anguille d'Amérique,Anguilla rostrata,161127,3,,totale
1957,42,Nouvelle-Écosse,46.463,-60.918,Forest Glen Brook,ZPS18B,,,Atlantic salmon,saumon atlantique,Salmo salar,161996,105,,fourche
1957,42,Nouvelle-Écosse,46.463,-60.918,Forest Glen Brook,ZPS18B,,,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,7,,fourche
1957,52,Nouvelle-Écosse,46.463,-60.916,NE Margaree River,ZPS18B,CBBWL,,American eel,anguille d'Amérique,Anguilla rostrata,161127,9,,totale
1957,52,Nouvelle-Écosse,46.463,-60.916,NE Margaree River,ZPS18B,CBBWL,,Atlantic salmon,saumon atlantique,Salmo salar,161996,245,,fourche
1957,52,Nouvelle-Écosse,46.463,-60.916,NE Margaree River,ZPS18B,CBBWL,,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,15,,fourche
1957,54,Nouvelle-Écosse,46.343,-60.997,NE Margaree River,ZPS18B,CBBWL,,American eel,anguille d'Amérique,Anguilla rostrata,161127,24,,totale
1957,54,Nouvelle-Écosse,46.343,-60.997,NE Margaree River,ZPS18B,CBBWL,,Atlantic salmon,saumon atlantique,Salmo salar,161996,276,,fourche
1957,54,Nouvelle-Écosse,46.343,-60.997,NE Margaree River,ZPS18B,CBBWL,,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,4,,fourche
1957,97,Nouvelle-Écosse,46.207,-61.149,SW Margaree River,ZPS18B,CBJVR,,American eel,anguille d'Amérique,Anguilla rostrata,161127,138,,totale
1957,97,Nouvelle-Écosse,46.207,-61.149,SW Margaree River,ZPS18B,CBJVR,,Atlantic salmon,saumon atlantique,Salmo salar,161996,4,,fourche
