year__année,biomass commercial__biomasse commerciale,biomass commercial_low_conf_int_ (95%)__biomasse commercial_int_conf_inf_ (95%),biomass commercial_up_conf_int (95%)__biomasse commercial_int_conf_sup_ (95%),abundance commerical__abondance commerical,abundance commerical_low_conf_int_ (95%)__abondance commerical_int_conf_inf_ (95%),abundance commerical_up_conf_int_ (95%)__abondance commerical_int_conf_sup_ (95%),abundance mature female__abondance femelle mature,abundance mature female_low_conf_int_ (95%)__abondance femelle mature_int_conf_inf_ (95%),abundance mature female_up_conf_int_ (95%)__abondance femelle mature_int_conf_sup_ (95%)
1997,64518,54105,76345,109043382,92101044,128187254,511355023,340595159,739230473
1998,57813,45856,71931,98194840,78370547,121503817,540081187,374925489,759082359
1999,56757,47641,67102,103412701,87472389,121405811,811305861,608696096,1060253611
2000,50621,41843,60692,88131054,74741613,103216825,658372478,462771639,909539297
2001,60328,49851,72351,110959727,92079173,132561187,763468745,557561531,1021011570
2002,79228,67983,91791,139167725,121385775,158806558,621726064,455032575,830193175
2003,84448,73486,96574,149370403,130688584,169957555,597761116,445290467,787313274
2004,103146,92426,114758,179667956,162230696,198454163,511534885,390697633,658809997
2005,82565,73514,92415,138385186,123313193,154778221,322200507,240332981,423479504
2006,73645,65681,82302,119182700,107179821,132151949,237343714,176896421,311854097
2007,66371,59971,73264,108396896,98385623,119142408,278154819,215542357,353367376
2008,52921,47167,59178,85292997,76516106,94793193,284725247,222319719,359407111
2009,31015,27519,34829,50849881,45454661,56704726,279982380,217532248,354903774
2010,35929,32049,40147,58911048,52843645,65478939,425045877,333498388,535523866
2011,62841,55985,70299,107525932,96171258,119842962,403514513,319126597,503559769
2012,74778,64881,85748,131422665,114187710,150509970,476607954,382267270,587253366
2013,66709,54294,81108,111951725,92227639,134634266,377800241,297895305,472576173
2014,67990,59802,76978,116490794,102330198,132051029,408566579,330108371,500091588
2015,58927,51368,67278,100807835,88125399,114792155,428040227,337737487,535076398
2016,98394,87150,110677,170821973,151286208,192163690,455386428,370487974,553880404
2017,65738,57221,75157,117877507,102844814,134476660,511646625,422241184,614485541
2018,80746,70984,91467,144849928,127730268,163610244,497345429,416080653,590148528
2019,79066,69072,90091,144054325,126568416,163265802,721349811,589101483,874510793
2020,77748,67706,88852,142543453,124632474,162290534,777437423,628179680,951522181
2021,80950,70543,92451,148879109,130154973,169524638,582124267,463213629,722296916
2022,85532,74658,97535,153400535,134326782,174407065,601734143,514875277,698981946
2023,67703,59174,77109,123091650,108292222,139336294,603600297,500740410,721308827
2024,51786,45558,58621,93602490,82821470,105387900,507201700,413786630,615365800
