Year__Année,Fall_acoustic_biomass__Biomasse_acoustique_automne,Spring_acoustic_biomass__Biomasse_acoustique_du_printemps,Total_acoustic_biomass__Biomasse_acoustique_totale,Proportion_Fall_acoustic_biomass__Proportion_biomasse_acoustique_automne,Proportion_Spring_acoustic_biomass__Proportion_biomasse_acoustique_printemps
1994,52264,110335,162599,32,68
1995,30498,38410,68908,44,56
1996,136937,136665,273602,50,50
1997,148028,82089,230117,64,36
1998,77482,49540,127022,61,39
1999,155356,66676,222033,70,30
2000,156922,25081,182003,86,14
2001,113334,42577,155910,73,27
2002,79829,34467,114296,70,30
2003,241481,61616,303097,80,20
2004,66168,36007,102175,65,35
2005,128324,44724,173047,74,26
2006,194753,26721,221474,88,12
2007,80510,17091,97601,82,18
2008,54380,15703,70083,78,22
2009,50571,14550,65121,78,22
2010,117297,28504,145801,80,20
2011,40078,14160,54238,74,26
2012,79918,21624,101542,79,21
2013,64094,11435,75530,85,15
2014,57356,10018,67375,85,15
2015,124264,28106,152370,82,18
2016,63061,10929,73991,85,15
2017,53553,15263,68817,78,22
2018,15193,8120,23313,65,35
2019,11703,7124,18826,62,38
2020,21013,9039,30081.8,70,30
2021,14583,8565,23147.68,63,37
2022,20814,6395,27209,76,24
2023,12005,7358,19363,62,38
2024,19414,8320,27734.36877,70,30
2025,22708,25607,48315.79,47,53
