FieldName,description_en,description_fr,type_en,type_fr
Year__année,Year of green crab monitoring,Année de surveillance du crabe vert Européen,Numeric,Numérique
Estuary__estuaire,Coastal waterbody ecosystem,Écosystème de la zone côtière,Text,Texte
Site__lieu,Specific sampling location name within the overall estuary,Nom du site de prélèvement spécifique au sein de l'estuaire,Text,Texte
Date trap set__date piège posé,Date and time of trap setting ,Date et l'heure de déploiement du piège ,Date (MM/DD/YYYY HH:MM),Date (MM/JJ/AAAA HH:MM)
Date trap fished__date piège remonté,Date and time of trap fishing ,Date de l'heure de récupération du piège ,Date (MM/DD/YYYY HH:MM),Date (MM/JJ/AAAA HH:MM)
Trap ID__ID de piège,Trap identifier,Identifiant de piège,Numeric,Numérique
Latitude,"The exact location of the trap (in decimal degrees).  The geographic latitude (in decimal degrees, using the spatial reference system given in dwc:geodeticDatum). Positive values are north of the Equator, negative values are south of it.  Legal values lie between -90 and 90, inclusive.","Le lieu exact de l'emplacement du piège (en degrés décimaux).  La latitude géographique (en degrés décimaux, en utilisant le système de référence spatiale indiqué dans dwc:geodeticDatum). Les valeurs positives correspondent au nord de l'équateur, les valeurs négatives au sud de l'équateur.  Les valeurs légales sont comprises entre -90 et 90, inclusivement.","Numeric, positive for this region","Numérique, positif pour cette région"
Longitude,"The exact location of the survey station (in decimal degrees).  The geographic longitude (in decimal degrees, using the spatial reference system given in dwc:geodeticDatum). Positive values are east of the Greenwich Meridian, negative values are west of it.  Legal values lie between -180 and 180, inclusive.","Le lieu exact de l'emplacement de la station (en degrés décimaux).  La longitude géographique (en degrés décimaux, en utilisant le système de référence spatiale indiqué dans dwc:geodeticDatum). Les valeurs positives correspondent à l'est du méridien de Greenwich, les valeurs négatives à l'ouest.  Les valeurs légales sont comprises entre -180 et 180 inclus.","Numeric, negative symbol for this region","Numérique, négatif pour cette région"
Trap type,Type of trap used.  Details available here: https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/41076552.pdf)   ,Type de piège. Plus de détails: https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/41076552.pdf ,Text,Texte
Type de piège,Type of trap used.  Details available here: https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/41076552.pdf)   ,Type de piège. Plus de détails: https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/41076552.pdf ,Text,Texte
Bait type,Bait used in the trap.  Bait was in a bait can or bag,L'appât mis dans le piège.  L'appât se trouvait dans une boîte ou un sac,Text,Texte
Type d'appât,Bait used in the trap.  Bait was in a bait can or bag,L'appât mis dans le piège.  L'appât se trouvait dans une boîte ou un sac,Text,Texte
