Year__année,Estuary__estuaire,Site__lieu,Date trap set__date piège posé,Date trap fished__date piège remonté,Trap ID__ID de piège,Latitude,Longitude,Trap type,Type de piège,Bait type,Type d'appât,Effort (hours/heures),European Green crab (EGC)__crabe vert Européen (CVE),Total wt EGC__poids total CVE (kg),Lobster__Homard,Rock Crab__crabe commun,Finfish__poissons à nageoires,Other species__autres espèces,Depth at set__profondeur du piège (m),Probe Measurement (fished/set),Mesure de sonde (récupération/déploiement),Temperature__température (°C),Salinity (ppt)__salinité (ppm),Tide,Marée,Weather,Météo,Sediment,Sédiment,Vegetation,Végétation
2023,Bouctouche,BT1,5/16/2023 12:55,5/17/2023 12:15,5134,46.52323,-64.68778,Fukui,Fukui,Herring,hareng,23.33,0,0,0,0,0,0,1.5,fished,récupération,12.2,20.37,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, sunny, windy","nuageux, précipitations au cours des dernières 24 heures, ensoleillé, venteux",Mud,Boue,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Bouctouche,BT1,5/16/2023 12:55,5/17/2023 12:15,5135,46.52323,-64.68778,Fukui,Fukui,Herring,hareng,23.33,3,0.0446,0,0,0,0,1.5,fished,récupération,12.2,20.37,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, sunny, windy","nuageux, précipitations au cours des dernières 24 heures, ensoleillé, venteux",Mud,Boue,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Bouctouche,BT1,5/16/2023 12:55,5/17/2023 12:15,5136,46.52323,-64.68778,Fukui,Fukui,Herring,hareng,23.33,0,0,0,0,0,0,1.5,fished,récupération,12.2,20.37,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, sunny, windy","nuageux, précipitations au cours des dernières 24 heures, ensoleillé, venteux",Mud,Boue,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Bouctouche,BT2,5/16/2023 13:25,5/17/2023 12:30,5131,46.5,-64.67662,Fukui,Fukui,Herring,hareng,23.08,25,0.84,0,1,0,0,1.25,fished,récupération,11.8,21.85,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, sunny, windy","nuageux, précipitations au cours des dernières 24 heures, ensoleillé, venteux",Sand,Sable,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Bouctouche,BT2,5/16/2023 13:25,5/17/2023 12:30,5132,46.5,-64.67662,Fukui,Fukui,Herring,hareng,23.08,18,0.57,0,3,0,0,1.25,fished,récupération,11.8,21.85,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, sunny, windy","nuageux, précipitations au cours des dernières 24 heures, ensoleillé, venteux",Sand,Sable,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Bouctouche,BT2,5/16/2023 13:25,5/17/2023 12:30,5133,46.5,-64.67662,Fukui,Fukui,Herring,hareng,23.08,7,0.1474,0,0,0,0,1.25,fished,récupération,11.8,21.85,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, sunny, windy","nuageux, précipitations au cours des dernières 24 heures, ensoleillé, venteux",Sand,Sable,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Bouctouche,BT3,5/16/2023 13:30,5/17/2023 12:50,5137,46.48562,-64.6833,Fukui,Fukui,Herring,hareng,23.33,0,0,0,2,0,0,1.25,fished,récupération,11.7,22.36,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, sunny, windy","nuageux, précipitations au cours des dernières 24 heures, ensoleillé, venteux",Sand / Mud,Sable / Boue,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Bouctouche,BT3,5/16/2023 13:30,5/17/2023 12:50,5138,46.48563,-64.6833,Fukui,Fukui,Herring,hareng,23.33,0,0,0,4,0,0,1.25,fished,récupération,11.7,22.36,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, sunny, windy","nuageux, précipitations au cours des dernières 24 heures, ensoleillé, venteux",Sand / Mud,Sable / Boue,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Bouctouche,BT3,5/16/2023 13:30,5/17/2023 12:50,5139,46.48562,-64.6833,Fukui,Fukui,Herring,hareng,23.33,0,0,0,8,0,0,1.25,fished,récupération,11.7,22.36,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, sunny, windy","nuageux, précipitations au cours des dernières 24 heures, ensoleillé, venteux",Sand / Mud,Sable / Boue,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Cocagne,Coc1,5/16/2023 14:30,5/17/2023 13:40,5140,46.33199,-64.6249,Fukui,Fukui,Herring,hareng,23.17,8,0.2435,0,0,0,0,1.25,fished,récupération,12.9,21.47,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, windy","nuageux, précipitations au cours des dernières 24 heures, venteux",Mud,Boue,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Cocagne,Coc1,5/16/2023 14:30,5/17/2023 13:40,5141,46.33199,-64.6249,Fukui,Fukui,Herring,hareng,23.17,6,0.2727,0,0,0,0,1.25,fished,récupération,12.9,21.47,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, windy","nuageux, précipitations au cours des dernières 24 heures, venteux",Mud,Boue,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Cocagne,Coc1,5/16/2023 14:30,5/17/2023 13:40,5142,46.33199,-64.6249,Fukui,Fukui,Herring,hareng,23.17,8,0.2029,0,0,0,0,1.25,fished,récupération,12.9,21.47,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, windy","nuageux, précipitations au cours des dernières 24 heures, venteux",Mud,Boue,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Cocagne,Coc2,5/16/2023 14:45,5/17/2023 14:00,5143,46.33223,-64.5826,Fukui,Fukui,Herring,hareng,23.25,0,0,0,6,0,0,1,fished,récupération,12.8,21.11,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, windy","nuageux, précipitations au cours des dernières 24 heures, venteux",Sand,Sable,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Cocagne,Coc2,5/16/2023 14:45,5/17/2023 14:00,5144,46.33223,-64.5826,Fukui,Fukui,Herring,hareng,23.25,0,0,0,9,0,0,1,fished,récupération,12.8,21.11,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, windy","nuageux, précipitations au cours des dernières 24 heures, venteux",Sand,Sable,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Cocagne,Coc2,5/16/2023 14:45,5/17/2023 14:00,5145,46.33223,-64.5826,Fukui,Fukui,Herring,hareng,23.25,0,0,0,6,0,0,1,fished,récupération,12.8,21.11,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, windy","nuageux, précipitations au cours des dernières 24 heures, venteux",Sand,Sable,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Cocagne,Coc3,5/16/2023 15:15,5/17/2023 14:30,5146,46.35178,-64.57338,Fukui,Fukui,Herring,hareng,23.25,0,0,0,1,0,0,1.25,fished,récupération,13,22.91,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, windy","nuageux, précipitations au cours des dernières 24 heures, venteux",Sand,Sable,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Cocagne,Coc3,5/16/2023 15:15,5/17/2023 14:30,5147,46.35178,-64.57338,Fukui,Fukui,Herring,hareng,23.25,0,0,0,5,0,0,1.25,fished,récupération,13,22.91,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, windy","nuageux, précipitations au cours des dernières 24 heures, venteux",Sand,Sable,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Cocagne,Coc3,5/16/2023 15:15,5/17/2023 14:30,5148,46.35178,-64.57338,Fukui,Fukui,Herring,hareng,23.25,0,0,0,1,0,0,1.25,fished,récupération,13,22.91,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, windy","nuageux, précipitations au cours des dernières 24 heures, venteux",Sand,Sable,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Shediac,Shed1,5/16/2023 16:00,5/17/2023 15:00,5152,46.27289,-64.57297,Fukui,Fukui,Herring,hareng,23,1,0.0242,0,0,0,0,1.25,fished,récupération,12.9,18.15,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, windy","nuageux, précipitations au cours des dernières 24 heures, venteux",Mud,Boue,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Shediac,Shed1,5/16/2023 16:00,5/17/2023 15:00,5153,46.27289,-64.57297,Fukui,Fukui,Herring,hareng,23,5,0.1144,0,0,0,0,1.25,fished,récupération,12.9,18.15,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, windy","nuageux, précipitations au cours des dernières 24 heures, venteux",Mud,Boue,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Shediac,Shed1,5/16/2023 16:00,5/17/2023 15:00,5154,46.27289,-64.57297,Fukui,Fukui,Herring,hareng,23,0,0,0,0,0,0,1.25,fished,récupération,12.9,18.15,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, windy","nuageux, précipitations au cours des dernières 24 heures, venteux",Mud,Boue,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Shediac,Shed2,5/16/2023 16:25,5/17/2023 15:30,5149,46.26308,-64.56358,Fukui,Fukui,Herring,hareng,23.08,88,1.63,0,0,0,0,1,fished,récupération,13.1,22.71,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, windy","nuageux, précipitations au cours des dernières 24 heures, venteux",Sand / Mud,Sable / Boue,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Shediac,Shed2,5/16/2023 16:25,5/17/2023 15:30,5150,46.26308,-64.56358,Fukui,Fukui,Herring,hareng,23.08,72,1.39,0,1,0,0,1,fished,récupération,13.1,22.71,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, windy","nuageux, précipitations au cours des dernières 24 heures, venteux",Sand / Mud,Sable / Boue,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Shediac,Shed2,5/16/2023 16:25,5/17/2023 15:30,5151,46.26308,-64.56358,Fukui,Fukui,Herring,hareng,23.08,40,0.96,0,2,0,0,1,fished,récupération,13.1,22.71,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, windy","nuageux, précipitations au cours des dernières 24 heures, venteux",Sand / Mud,Sable / Boue,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Bouctouche,BT1,5/17/2023 12:15,5/18/2023 13:00,5134,46.52323,-64.68778,Fukui,Fukui,Herring,hareng,24.75,3,0.0656,0,0,0,0,1,fished,récupération,10.5,21.86,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, rainy, windy","nuageux, précipitations au cours des dernières 24 heures, pluvieux, venteux",Mud,Boue,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Bouctouche,BT1,5/17/2023 12:15,5/18/2023 13:00,5135,46.52323,-64.68778,Fukui,Fukui,Herring,hareng,24.75,1,0.0233,0,0,0,0,1,fished,récupération,10.5,21.86,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, rainy, windy","nuageux, précipitations au cours des dernières 24 heures, pluvieux, venteux",Mud,Boue,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Bouctouche,BT1,5/17/2023 12:15,5/18/2023 13:00,5136,46.52323,-64.68778,Fukui,Fukui,Herring,hareng,24.75,1,0.0053,0,0,0,0,1,fished,récupération,10.5,21.86,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, rainy, windy","nuageux, précipitations au cours des dernières 24 heures, pluvieux, venteux",Mud,Boue,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Bouctouche,BT2,5/17/2023 12:30,5/18/2023 13:30,5131,46.5,-64.67662,Fukui,Fukui,Herring,hareng,25,20,0.66,0,1,0,0,1,fished,récupération,11.2,21.78,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, rainy, windy","nuageux, précipitations au cours des dernières 24 heures, pluvieux, venteux",Sand,Sable,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Bouctouche,BT2,5/17/2023 12:30,5/18/2023 13:30,5132,46.5,-64.67662,Fukui,Fukui,Herring,hareng,25,22,1.18,0,3,0,0,1,fished,récupération,11.2,21.78,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, rainy, windy","nuageux, précipitations au cours des dernières 24 heures, pluvieux, venteux",Sand,Sable,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Bouctouche,BT2,5/17/2023 12:30,5/18/2023 13:30,5133,46.5,-64.67662,Fukui,Fukui,Herring,hareng,25,4,0.1533,0,2,0,0,1,fished,récupération,11.2,21.78,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, rainy, windy","nuageux, précipitations au cours des dernières 24 heures, pluvieux, venteux",Sand,Sable,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Bouctouche,BT3,5/17/2023 12:50,5/18/2023 13:45,5137,46.48562,-64.6833,Fukui,Fukui,Herring,hareng,24.92,0,0,0,4,0,0,1,fished,récupération,10.9,22.23,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, sunny","nuageux, précipitations au cours des dernières 24 heures, ensoleillé",Sand / Mud,Sable / Boue,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Bouctouche,BT3,5/17/2023 12:50,5/18/2023 13:45,5138,46.48562,-64.6833,Fukui,Fukui,Herring,hareng,24.92,2,0.0831,0,9,0,0,1,fished,récupération,10.9,22.23,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, sunny","nuageux, précipitations au cours des dernières 24 heures, ensoleillé",Sand / Mud,Sable / Boue,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Bouctouche,BT3,5/17/2023 12:50,5/18/2023 13:45,5139,46.48562,-64.6833,Fukui,Fukui,Herring,hareng,24.92,0,0,0,2,0,0,1,fished,récupération,10.9,22.23,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, sunny","nuageux, précipitations au cours des dernières 24 heures, ensoleillé",Sand / Mud,Sable / Boue,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Cocagne,Coc1,5/17/2023 13:40,5/18/2023 14:30,5140,46.33199,-64.6249,Fukui,Fukui,Herring,hareng,24.83,7,0.1708,0,0,0,0,1,fished,récupération,12.5,20.41,Mid / Outgoing,Mi-marée / Descendante,"cloudy, sunny, windy","nuageux, ensoleillé, venteux",Mud,Boue,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Cocagne,Coc1,5/17/2023 13:40,5/18/2023 14:30,5141,46.33199,-64.6249,Fukui,Fukui,Herring,hareng,24.83,6,0.1398,0,0,0,0,1,fished,récupération,12.5,20.41,Mid / Outgoing,Mi-marée / Descendante,"cloudy, sunny, windy","nuageux, ensoleillé, venteux",Mud,Boue,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Cocagne,Coc1,5/17/2023 13:40,5/18/2023 14:30,5142,46.33199,-64.6249,Fukui,Fukui,Herring,hareng,24.83,16,0.2616,0,0,0,0,1,fished,récupération,12.5,20.41,Mid / Outgoing,Mi-marée / Descendante,"cloudy, sunny, windy","nuageux, ensoleillé, venteux",Mud,Boue,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Cocagne,Coc2,5/17/2023 14:00,5/18/2023 14:55,5143,46.33223,-64.5826,Fukui,Fukui,Herring,hareng,24.92,0,0,0,1,0,0,1,fished,récupération,12.3,22.49,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, sunny, windy","nuageux, précipitations au cours des dernières 24 heures, ensoleillé, venteux",Sand,Sable,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Cocagne,Coc2,5/17/2023 14:00,5/18/2023 14:55,5144,46.33223,-64.5826,Fukui,Fukui,Herring,hareng,24.92,0,0,0,7,0,0,1,fished,récupération,12.3,22.49,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, sunny, windy","nuageux, précipitations au cours des dernières 24 heures, ensoleillé, venteux",Sand,Sable,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Cocagne,Coc2,5/17/2023 14:00,5/18/2023 14:55,5145,46.33223,-64.5826,Fukui,Fukui,Herring,hareng,24.92,0,0,0,11,0,0,1,fished,récupération,12.3,22.49,Mid / Outgoing,Mi-marée / Descendante,"cloudy, rain in the past 24 h, sunny, windy","nuageux, précipitations au cours des dernières 24 heures, ensoleillé, venteux",Sand,Sable,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Cocagne,Coc3,5/17/2023 14:30,5/18/2023 15:20,5146,46.35178,-64.57338,Fukui,Fukui,Herring,hareng,24.83,0,0,0,13,0,0,1,fished,récupération,11.9,22.62,Low,Marée basse,"cloudy, rain in the past 24 h, sunny, windy","nuageux, précipitations au cours des dernières 24 heures, ensoleillé, venteux",Sand,Sable,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Cocagne,Coc3,5/17/2023 14:30,5/18/2023 15:20,5147,46.35178,-64.57338,Fukui,Fukui,Herring,hareng,24.83,0,0,0,5,0,0,1,fished,récupération,11.9,22.62,Low,Marée basse,"cloudy, rain in the past 24 h, sunny, windy","nuageux, précipitations au cours des dernières 24 heures, ensoleillé, venteux",Sand,Sable,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Cocagne,Coc3,5/17/2023 14:30,5/18/2023 15:20,5148,46.35178,-64.57338,Fukui,Fukui,Herring,hareng,24.83,0,0,0,2,0,0,1,fished,récupération,11.9,22.62,Low,Marée basse,"cloudy, rain in the past 24 h, sunny, windy","nuageux, précipitations au cours des dernières 24 heures, ensoleillé, venteux",Sand,Sable,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Shediac,Shed1,5/17/2023 15:00,5/18/2023 15:45,5152,46.27289,-64.57297,Fukui,Fukui,Herring,hareng,24.75,4,0.0762,0,0,0,0,1,fished,récupération,12.6,15.84,Low,Marée basse,"cloudy, sunny, windy","nuageux, ensoleillé, venteux",Mud,Boue,eelgrass (Zostera marina),zostère marine (Zostera marina)
2023,Shediac,Shed1,5/17/2023 15:00,5/18/2023 15:45,5153,46.27289,-64.57297,Fukui,Fukui,Herring,hareng,24.75,6,0.1612,0,0,0,0,1,fished,récupération,12.6,15.84,Low,Marée basse,"cloudy, sunny, windy","nuageux, ensoleillé, venteux",Mud,Boue,eelgrass (Zostera marina),zostère marine (Zostera marina)
