Year,Zone,Size,5%,50%,95%,,,
1970,SFA15,Large,12887.56513,14492.32898,16097.1212,,,
1971,SFA15,Large,5608.987433,6323.751817,7027.542926,,,
1972,SFA15,Large,8885.683982,12568.87857,16107.01315,,,
1973,SFA15,Large,8841.914501,12309.11993,15857.31101,,,
1974,SFA15,Large,10478.66471,14938.2497,19459.91273,,,
1975,SFA15,Large,5764.853349,7786.571966,9812.44821,,,
1976,SFA15,Large,10142.06276,14299.66997,18487.20316,,,
1977,SFA15,Large,11663.65862,16471.94323,21247.69331,,,
1978,SFA15,Large,7694.631204,10810.48808,14003.58614,,,
1979,SFA15,Large,3009.243441,3937.424869,4856.974224,,,
1980,SFA15,Large,9236.004129,13067.16948,16911.8165,,,
1981,SFA15,Large,10059.33839,12715.63649,15355.6308,,,
1982,SFA15,Large,7505.517902,9045.626733,10545.61727,,,
1983,SFA15,Large,6188.31099,7652.36611,9093.049185,,,
1984,SFA15,Large,4401.100125,5948.600148,7522.440673,,,
1985,SFA15,Large,7987.8262,11283.01949,14620.9666,,,
1986,SFA15,Large,10564.85569,14913.8451,19278.69991,,,
1987,SFA15,Large,7524.206027,10362.00518,13204.76133,,,
1988,SFA15,Large,10104.46238,14157.64056,18236.79548,,,
1989,SFA15,Large,7959.823033,11154.33723,14283.36286,,,
1990,SFA15,Large,6531.059546,9128.170788,11709.02306,,,
1991,SFA15,Large,4758.675811,6678.935989,8634.883666,,,
1992,SFA15,Large,7544.920795,10591.5595,13573.42999,,,
1993,SFA15,Large,3567.947918,4982.837139,6374.015331,,,
1994,SFA15,Large,6756.626264,9498.307099,12198.5608,,,
1995,SFA15,Large,4294.15457,6011.996929,7789.131525,,,
1996,SFA15,Large,6254.658788,8847.386766,11409.63014,,,
1997,SFA15,Large,3917.270714,5518.962144,7120.787629,,,
1998,SFA15,Large,2677.889708,3731.327377,4765.043314,,,
1999,SFA15,Large,2748.911225,3818.187071,4879.921146,,,
2000,SFA15,Large,3469.720039,4854.72392,6224.911844,,,
2001,SFA15,Large,5947.880815,8412.718944,10875.58871,,,
