SampleID_ID de_l_échantillon,Plate_Plaque,Position,ANDES_ID,Region_Région,Year_Année,Adk2P1,Adk2P2,k2PopT90,Set.number_Numéro_de_trait,Stratum_Strate,Latitude,Longitude,Month_Mois,Day_Jour,Depth_Profondeur,Temperature_Température,Conductivity_Conductivité,Salinity_Salinité,Oxygen_Oxygène,Length_Longueur,Sex_Sexe,Maturity_Maturité,Weight_Poids,Age_Âge,Dirichlet.Grp.Unrarefied_Groupe_Dirichlet_non-raréfié
GLF-10,3,A8,14900,Gulf_Golfe,2022,0.00001,0.99999,Pop2,31,415,48.85566667,-63.94383333,9,19,207,5.745,3.356009,34.2466,1.856,32,2,1,194,3,1
GLF-103,4,A9,29276,Gulf_Golfe,2022,0.00001,0.99999,Pop2,71,437,47.11883333,-60.60833333,9,28,172,7.4601,3.563333,34.8324,2.84,38,2,2,374,4,3
GLF-109,4,D2,29290,Gulf_Golfe,2022,0.00001,0.99999,Pop2,71,437,47.11883333,-60.60833333,9,28,172,7.4601,3.563333,34.8324,2.84,38,1,2,411,4,3
GLF-11,3,H7,14908,Gulf_Golfe,2022,0.00001,0.99999,Pop2,31,415,48.85566667,-63.94383333,9,19,207,5.745,3.356009,34.2466,1.856,32,2,1,178,3,1
GLF-115,3,A2,29379,Gulf_Golfe,2022,0.00001,0.99999,Pop2,72,437,47.07383333,-60.893,9,28,115,5.0893,3.236888,33.5929,4.468,37,2,1,364,4,3
GLF-122,3,B10,29429,Gulf_Golfe,2022,0.00001,0.99999,Pop2,72,437,47.07383333,-60.893,9,28,115,5.0893,3.236888,33.5929,4.468,33,2,1,240,3,1
GLF-128,4,H6,29491,Gulf_Golfe,2022,0.00001,0.99999,Pop2,72,437,47.07383333,-60.893,9,28,115,5.0893,3.236888,33.5929,4.468,49,1,3,812,5,1
GLF-13,3,H12,14918,Gulf_Golfe,2022,0.00001,0.99999,Pop2,31,415,48.85566667,-63.94383333,9,19,207,5.745,3.356009,34.2466,1.856,33,1,1,244,3,1
GLF-138,3,H1,29595,Gulf_Golfe,2022,0.00001,0.99999,Pop2,72,437,47.07383333,-60.893,9,28,115,5.0893,3.236888,33.5929,4.468,29,2,1,174,3,1
GLF-14,3,A10,15173,Gulf_Golfe,2022,0.00001,0.99999,Pop2,32,415,49.025,-63.984,9,20,305,6.7004,3.498947,34.8248,1.452,49,2,1,782,5,3
GLF-15,3,E1,15209,Gulf_Golfe,2022,0.951609,0.048391,Pop1,32,415,49.025,-63.984,9,20,305,6.7004,3.498947,34.8248,1.452,55,2,8,1208,5,3
GLF-154,3,C10,29805,Gulf_Golfe,2022,0.00001,0.99999,Pop2,72,437,47.07383333,-60.893,9,28,115,5.0893,3.236888,33.5929,4.468,43,2,1,550,4,3
GLF-16,3,C1,15234,Gulf_Golfe,2022,0.990291,0.009709,Pop1,32,415,49.025,-63.984,9,20,305,6.7004,3.498947,34.8248,1.452,54,2,8,1194,5,2
GLF-160,3,B2,29915,Gulf_Golfe,2022,0.007989,0.992011,Pop2,72,437,47.07383333,-60.893,9,28,115,5.0893,3.236888,33.5929,4.468,46,2,1,756,4,1
GLF-17,3,B1,15249,Gulf_Golfe,2022,0.961043,0.038957,Pop1,32,415,49.025,-63.984,9,20,305,6.7004,3.498947,34.8248,1.452,50,2,8,996,5,1
GLF-177,4,H4,29988,Gulf_Golfe,2022,0.00001,0.99999,Pop2,72,437,47.07383333,-60.893,9,28,115,5.0893,3.236888,33.5929,4.468,29,2,1,116,3,1
GLF-18,3,D1,15268,Gulf_Golfe,2022,0.00001,0.99999,Pop2,32,415,49.025,-63.984,9,20,305,6.7004,3.498947,34.8248,1.452,53,2,8,1206,5,1
GLF-19,3,A1,15282,Gulf_Golfe,2022,0.94991,0.05009,Pop1,32,415,49.025,-63.984,9,20,305,6.7004,3.498947,34.8248,1.452,48,2,8,814,5,1
GLF-193,4,H7,30057,Gulf_Golfe,2022,0.00001,0.99999,Pop2,73,437,46.79383333,-60.984,9,29,124,5.7345,3.318787,33.879,4.124,27,2,1,124,3,1
GLF-20,3,F1,15295,Gulf_Golfe,2022,0.919792,0.080208,Pop1,32,415,49.025,-63.984,9,20,305,6.7004,3.498947,34.8248,1.452,58,2,8,1440,6,1
GLF-201,3,F10,30126,Gulf_Golfe,2022,0.00001,0.99999,Pop2,73,437,46.79383333,-60.984,9,29,124,5.7345,3.318787,33.879,4.124,29,2,1,161,3,1
GLF-21,4,A1,15324,Gulf_Golfe,2022,0.99999,0.00001,Pop1,32,415,49.025,-63.984,9,20,305,6.7004,3.498947,34.8248,1.452,62,2,8,2146,6,3
GLF-219,4,B6,30271,Gulf_Golfe,2022,0.00001,0.99999,Pop2,73,437,46.79383333,-60.984,9,29,124,5.7345,3.318787,33.879,4.124,36,1,1,323,4,1
GLF-22,4,F5,15340,Gulf_Golfe,2022,0.00001,0.99999,Pop2,32,415,49.025,-63.984,9,20,305,6.7004,3.498947,34.8248,1.452,60,2,8,1838,6,1
GLF-230,3,E2,30371,Gulf_Golfe,2022,0.00001,0.99999,Pop2,73,437,46.79383333,-60.984,9,29,124,5.7345,3.318787,33.879,4.124,33,2,1,240,3,1
GLF-233,4,A8,30411,Gulf_Golfe,2022,0.00001,0.99999,Pop2,73,437,46.79383333,-60.984,9,29,124,5.7345,3.318787,33.879,4.124,25,1,1,107,2,1
GLF-236,3,D2,30437,Gulf_Golfe,2022,0.00001,0.99999,Pop2,73,437,46.79383333,-60.984,9,29,124,5.7345,3.318787,33.879,4.124,25,2,1,89,2,3
GLF-238,3,C2,30457,Gulf_Golfe,2022,0.99999,0.00001,Pop1,73,437,46.79383333,-60.984,9,29,124,5.7345,3.318787,33.879,4.124,40,1,3,510,4,1
GLF-24,3,G1,15380,Gulf_Golfe,2022,0.955175,0.044825,Pop1,32,415,49.025,-63.984,9,20,305,6.7004,3.498947,34.8248,1.452,58,2,8,1892,6,3
MR-1,2,A1,72290,Maritimes,2023,0.99999,0.00001,Pop1,207,445,45.78615,-58.68882,8,1,272,4.4592,3.185961,33.5617,4.3846,35,2,1,343,3,3
MR-10,2,B2,72203,Maritimes,2023,0.988657,0.011343,Pop1,206,440,46.03762,-58.54121,8,1,274,7.1335,3.542413,34.8719,2.3142,58,2,3,1571,NA,2
MR-12,2,D2,72197,Maritimes,2023,0.969206,0.030794,Pop1,206,440,46.03762,-58.54121,8,1,274,7.1335,3.542413,34.8719,2.3142,49,2,3,971,NA,2
MR-13,2,E2,69648,Maritimes,2023,0.949047,0.050953,Pop1,197,440,47.04307,-60.08224,7,31,220,7.0829,3.509351,34.6045,2.955,30,1,1,224,3,3
