abft_thon,region_région,year_année,month_mois,day_jour,latitude_latitude,longitude_longitude,fkl_lf,rw_pt,dw_pé,preyw_pproie,preyl_lproie,digestion_digestion,quantity_quantitée,prey_proie_fr,prey_proie_en,prey_proie_latin
1,PEI,2018,5,9,46.6000,-62.0883,224,141,105,178.70,30.00,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
1,PEI,2018,5,9,46.6000,-62.0883,224,141,105,170.31,29.90,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
1,PEI,2018,5,9,46.6000,-62.0883,224,141,105,84.17,24.30,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
1,PEI,2018,5,9,46.6000,-62.0883,224,141,105,38.75,17.00,4,1,Poisson non-identifié,Fish unidentified,NA
1,PEI,2018,5,9,46.6000,-62.0883,224,141,105,2.68,NA,4,13,Autre,Other,NA
1,PEI,2018,5,9,46.6000,-62.0883,224,141,105,0.67,NA,4,1,Poisson non-identifié,Fish unidentified,NA
1,PEI,2018,5,9,46.6000,-62.0883,224,141,105,0.39,NA,4,1,Autre,Other,NA
2,PEI,2018,NA,NA,46.3160,-62.1976,178,87,68,128.09,24.50,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
2,PEI,2018,NA,NA,46.3160,-62.1976,178,87,68,109.20,22.80,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
2,PEI,2018,NA,NA,46.3160,-62.1976,178,87,68,90.87,NA,4,1,Poisson non-identifié,Fish unidentified,NA
4,PEI,2018,8,31,NA,NA,248,205,NA,NA,NA,5,1,Autre,Other,NA
5,PEI,2018,NA,NA,46.5480,-62.2650,209,152,122,NA,NA,4,1,Poisson non-identifié,Fish unidentified,NA
5,PEI,2018,NA,NA,46.5480,-62.2650,209,152,122,NA,NA,4,1,Poisson non-identifié,Fish unidentified,NA
6,PEI,2018,NA,NA,46.5370,-62.0883,242,262,214,11.15,NA,5,1,Poisson non-identifié,Fish unidentified,NA
7,PEI,2018,9,15,46.5317,-62.0831,239,231,186,2.94,NA,5,1,Autre,Other,NA
7,PEI,2018,9,15,46.5317,-62.0831,239,231,186,2.71,NA,5,1,Poisson non-identifié,Fish unidentified,NA
7,PEI,2018,9,15,46.5317,-62.0831,239,231,186,0.04,NA,5,1,Autre,Other,NA
8,PEI,2018,9,15,46.4833,-62.0167,270,272,207,340.72,NA,4,1,Poisson non-identifié,Fish unidentified,NA
8,PEI,2018,9,15,46.4833,-62.0167,270,272,207,64.22,15.00,4,1,Hareng atlantique,Atlantic herring,Clupea harengus
8,PEI,2018,9,15,46.4833,-62.0167,270,272,207,47.39,17.00,4,1,Hareng atlantique,Atlantic herring,Clupea harengus
8,PEI,2018,9,15,46.4833,-62.0167,270,272,207,30.73,17.00,4,1,Poisson non-identifié,Fish unidentified,NA
8,PEI,2018,9,15,46.4833,-62.0167,270,272,207,NA,NA,NA,1,Autre,Other,NA
9,PEI,2018,9,15,NA,NA,214,150,117,0.01,NA,5,1,Poisson non-identifié,Fish unidentified,NA
10,PEI,2019,NA,NA,46.5833,-63.2000,239,272,NA,63.09,NA,3,1,Poisson appât non-identifié,Bait fish unidentified,NA
10,PEI,2019,NA,NA,46.5833,-63.2000,239,272,NA,328.16,NA,2,7,Poisson appât Hareng atlantique,Bait fish Atlantic herring,NA
10,PEI,2019,NA,NA,46.5833,-63.2000,239,272,NA,0.69,9.50,2,1,Autre,Other,NA
11,PEI,2019,NA,NA,47.4167,-62.4333,264,313,NA,NA,NA,NA,1,Autre,Other,NA
12,PEI,2019,8,28,46.6111,-62.8722,243,201,157,248.84,29.00,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
12,PEI,2019,8,28,46.6111,-62.8722,243,201,157,34.45,NA,4,1,Poisson non-identifié,Fish unidentified,NA
13,PEI,2019,9,4,NA,NA,187,111,84,586.06,NA,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,8.02,10.50,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,13.71,12.00,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,11.16,11.00,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,16.62,12.00,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,3.87,11.50,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,9.50,11.50,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,20.21,13.50,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,10.60,12.00,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,14.65,12.50,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,14.10,13.50,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,34.41,15.50,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,12.39,11.50,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,12.62,11.50,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,19.30,13.00,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,12.26,12.50,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,10.02,11.50,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,7.94,NA,1,1,Autre,Other,NA
14,PEI,2019,8,28,46.3350,-61.9260,176,87,70,88.75,22.00,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
14,PEI,2019,8,28,46.3350,-61.9260,176,87,70,10.23,NA,4,1,Poisson non-identifié,Fish unidentified,NA
14,PEI,2019,8,28,46.3350,-61.9260,176,87,70,0.66,1.00,1,1,Autre,Other,NA
15,PEI,2019,9,10,46.7167,-62.1611,270,261,193,0.69,NA,4,1,Poisson non-identifié,Fish unidentified,NA
15,PEI,2019,9,10,46.7167,-62.1611,270,261,193,0.25,NA,4,1,Poisson non-identifié,Fish unidentified,NA
15,PEI,2019,9,10,46.7167,-62.1611,270,261,193,0.13,NA,4,1,Poisson non-identifié,Fish unidentified,NA
15,PEI,2019,9,10,46.7167,-62.1611,270,261,193,1.27,NA,5,1,Poisson non-identifié,Fish unidentified,NA
15,PEI,2019,9,10,46.7167,-62.1611,270,261,193,0.75,NA,NA,1,Autre,Other,NA
16,PEI,2019,8,25,NA,NA,254,217,165,1.60,NA,NA,1,Autre,Other,NA
16,PEI,2019,8,25,NA,NA,254,217,165,3.02,NA,1,9,Autre,Other,NA
17,PEI,2018,NA,NA,46.5600,-62.1600,NA,NA,NA,176.60,20.50,4,1,Hareng atlantique,Atlantic herring,Clupea harengus
17,PEI,2018,NA,NA,46.5600,-62.1600,NA,NA,NA,146.56,18.50,4,1,Hareng atlantique,Atlantic herring,Clupea harengus
17,PEI,2018,NA,NA,46.5600,-62.1600,NA,NA,NA,90.84,20.05,4,1,Hareng atlantique,Atlantic herring,Clupea harengus
17,PEI,2018,NA,NA,46.5600,-62.1600,NA,NA,NA,29.29,NA,4,1,Poisson non-identifié,Fish unidentified,NA
18,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,194.93,24.50,1,1,Hareng atlantique,Atlantic herring,Clupea harengus
18,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,137.90,24.00,1,1,Hareng atlantique,Atlantic herring,Clupea harengus
