"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year_année","month_mois","english.structure.type_type.de.structures.anglais","french.structure.type_type.de.structures.français","total.number_nombre.total","number.aged_nombre.agées"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1953,6,"otoliths","otolithes",40,40
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1953,12,"otoliths","otolithes",20,20
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1961,6,"otoliths","otolithes",50,50
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1972,9,"otoliths","otolithes",63,63
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1972,10,"otoliths","otolithes",29,29
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1973,5,"otoliths","otolithes",40,40
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1973,7,"otoliths","otolithes",42,42
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1973,8,"otoliths","otolithes",41,41
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1973,10,"otoliths","otolithes",40,40
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1974,8,"otoliths","otolithes",41,41
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1974,11,"otoliths","otolithes",118,118
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1975,5,"otoliths","otolithes",67,67
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1975,6,"otoliths","otolithes",36,36
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1975,7,"otoliths","otolithes",49,49
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1975,8,"otoliths","otolithes",35,35
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,4,"otoliths","otolithes",80,117
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,5,"otoliths","otolithes",580,578
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,6,"otoliths","otolithes",478,594
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,7,"otoliths","otolithes",186,265
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,8,"otoliths","otolithes",309,429
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,9,"otoliths","otolithes",34,34
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,10,"otoliths","otolithes",34,111
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1977,6,"otoliths","otolithes",286,517
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1977,7,"otoliths","otolithes",164,306
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1977,8,"otoliths","otolithes",402,535
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1977,9,"otoliths","otolithes",155,232
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1978,6,"otoliths","otolithes",115,192
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1978,7,"otoliths","otolithes",72,238
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1978,8,"otoliths","otolithes",59,125
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1978,9,"otoliths","otolithes",74,74
