"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year_année","month_mois","structure.type__type.de.structures","total.number_nombre.total"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1953,6,"otolith",40
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1953,12,"otolith",20
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1961,6,"otolith",50
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1972,9,"otolith",63
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1972,10,"otolith",29
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1973,5,"otolith",40
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1973,7,"otolith",42
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1973,8,"otolith",41
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1973,10,"otolith",40
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1974,8,"otolith",41
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1974,11,"otolith",118
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1975,5,"otolith",67
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1975,6,"otolith",36
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1975,7,"otolith",49
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1975,8,"otolith",35
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,4,"otolith",80
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,5,"otolith",580
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,6,"otolith",478
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,7,"otolith",186
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,8,"otolith",309
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,9,"otolith",34
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,10,"otolith",34
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1977,6,"otolith",286
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1977,7,"otolith",164
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1977,8,"otolith",402
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1977,9,"otolith",155
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1978,6,"otolith",115
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1978,7,"otolith",72
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1978,8,"otolith",59
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1978,9,"otolith",74
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1978,10,"otolith",33
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,1,"otolith",54
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,4,"otolith",33
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,5,"otolith",35
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,6,"otolith",94
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,7,"otolith",32
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,8,"otolith",127
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,10,"otolith",34
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,11,"otolith",107
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1980,4,"otolith",38
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1980,5,"otolith",114
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1980,6,"otolith",24
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1980,8,"otolith",36
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1980,10,"otolith",63
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,4,"otolith",26
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,5,"otolith",87
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,6,"otolith",79
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,7,"otolith",56
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,8,"otolith",115
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,9,"otolith",20
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,10,"otolith",34
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1982,5,"otolith",120
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1982,6,"otolith",179
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1982,7,"otolith",112
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1982,8,"otolith",81
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1982,11,"otolith",70
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,6,"otolith",77
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,7,"otolith",124
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,8,"otolith",241
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,9,"otolith",116
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,10,"otolith",85
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,11,"otolith",80
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,12,"otolith",103
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1984,6,"otolith",248
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1984,7,"otolith",339
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1984,8,"otolith",240
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1984,9,"otolith",144
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1984,10,"otolith",195
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,5,"otolith",138
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,6,"otolith",148
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,7,"otolith",590
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,8,"otolith",169
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,9,"otolith",164
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,10,"otolith",160
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,11,"otolith",16
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,5,"otolith",229
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,6,"otolith",386
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,7,"otolith",319
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,8,"otolith",310
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,9,"otolith",259
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,10,"otolith",461
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,11,"otolith",247
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,4,"otolith",44
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,5,"otolith",105
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,6,"otolith",298
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,7,"otolith",132
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,8,"otolith",235
