"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year_année","month_mois","structure.type__type.de.structures","total.number_nombre.total","number.aged_nombre.agées"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1953,6,"otolith",40,"40"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1953,12,"otolith",20,"20"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1961,6,"otolith",50,"50"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1972,9,"otolith",63,"63"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1972,10,"otolith",29,"29"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1973,5,"otolith",40,"40"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1973,7,"otolith",42,"42"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1973,8,"otolith",41,"41"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1973,10,"otolith",40,"40"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1974,8,"otolith",41,"41"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1974,11,"otolith",118,"118"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1975,5,"otolith",67,"67"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1975,6,"otolith",36,"36"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1975,7,"otolith",49,"49"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1975,8,"otolith",35,"35"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,4,"otolith",80,"117"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,5,"otolith",580,"578"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,6,"otolith",478,"594"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,7,"otolith",186,"265"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,8,"otolith",309,"429"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,9,"otolith",34,"34"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,10,"otolith",34,"111"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1977,6,"otolith",286,"517"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1977,7,"otolith",164,"306"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1977,8,"otolith",402,"535"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1977,9,"otolith",155,"232"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1978,6,"otolith",115,"192"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1978,7,"otolith",72,"238"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1978,8,"otolith",59,"125"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1978,9,"otolith",74,"74"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1978,10,"otolith",33,"33"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,1,"otolith",54,"54"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,4,"otolith",33,"33"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,5,"otolith",35,"35"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,6,"otolith",94,"133"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,7,"otolith",32,"32"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,8,"otolith",127,"127"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,10,"otolith",34,"34"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,11,"otolith",107,"107"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1980,4,"otolith",38,"67"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1980,5,"otolith",114,"114"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1980,6,"otolith",24,"95"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1980,8,"otolith",36,"36"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1980,10,"otolith",63,"63"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,4,"otolith",26,"25"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,5,"otolith",87,"85"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,6,"otolith",79,"79"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,7,"otolith",56,"83"
