"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year_année","month_mois","number.otoliths_nombre.otolithes"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1953,6,40
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1953,12,20
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1961,6,50
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1972,9,63
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1972,10,29
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1973,5,40
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1973,7,42
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1973,8,41
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1973,10,40
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1974,8,41
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1974,11,118
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1975,5,67
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1975,6,36
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1975,7,49
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1975,8,35
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,4,80
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,5,580
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,6,478
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,7,186
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,8,309
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,9,34
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,10,34
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1977,6,286
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1977,7,164
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1977,8,402
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1977,9,155
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1978,6,115
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1978,7,72
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1978,8,59
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1978,9,74
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1978,10,33
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,1,54
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,4,33
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,5,35
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,6,94
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,7,32
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,8,127
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,10,34
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,11,107
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1980,4,38
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1980,5,114
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1980,6,24
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1980,8,36
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1980,10,63
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,4,26
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,5,87
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,6,79
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,7,56
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,8,115
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,9,20
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,10,34
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1982,5,120
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1982,6,179
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1982,7,112
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1982,8,81
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1982,11,70
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,6,77
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,7,124
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,8,241
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,9,116
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,10,85
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,11,80
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,12,103
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1984,6,248
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1984,7,339
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1984,8,240
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1984,9,144
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1984,10,195
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,5,138
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,6,148
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,7,590
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,8,169
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,9,164
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,10,160
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,11,16
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,5,229
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,6,386
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,7,319
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,8,310
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,9,259
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,10,461
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,11,247
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,4,44
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,5,105
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,6,298
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,7,132
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,8,235
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,9,196
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,10,195
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,11,104
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,4,13
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,5,320
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,6,625
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,7,265
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,8,484
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,9,233
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,10,245
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,11,92
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,5,133
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,6,349
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,7,370
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,8,321
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,9,237
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,10,439
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,11,18
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,5,470
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,6,387
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,7,331
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,8,111
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,9,61
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,10,282
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,11,100
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,5,245
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,6,386
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,7,356
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,8,204
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,9,113
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,10,221
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,11,145
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1993,5,54
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1993,6,184
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1993,7,198
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1993,8,169
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1993,9,100
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1993,10,63
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1994,5,62
