"name_nom","description_fr","description_en"
"source","Source des structures d'estimation d'âges, peut soit provenir du relevé par navire de recherche dans la division 4T de l'OPANO (Research Vessel (RV-4T)), du relevé par navire de recherche dans les divisions 4RS de l'OPANO (Research Vessel (RV-4RS)), du relevé sentinelle de la division 4T de l'OPANO (SENT-4T),  d'échantillonnage des pêches commerciales (Commercial) ou d'observateurs en mer (Observateurs)","Source of age estimation structures, can be either from the NAFO division 4T Research Vessel (RV-4T) survey, the NAFO divisions 4RS Research Vessel (RV-4RS) survey, the NAFO division 4T sentinel survey (SENT-4T), from commercial sampling (Commercial) or from at-sea observers (Observers)"
"latin.name_nom.latin","Nom latin de l'espèce","Latin name of the species"
"english.name_nom.anglais","Nom anglais de l'espèce","English name of the species"
"french.name_nom.français","Nom français de l'espèce","French name of the species"
"year_année","Année d'échantillonnage des structures d'estimation d'âges","Year when age estimation structures were collected"
"month_mois","Mois d'échantillonnage des structures d'estimation d'âges","Month when age estimation structures were collected"
"english.structure.type_type.de.structures.anglais","Nom anglais du type de structures d'estimation d'âges","English name of type of age estimation structure"
"french.structure.type_type.de.structures.français","Nom français du type de structures d'estimation d'âges","French name of type of age estimation structure"
"total.number_nombre.total","Nombre total dans la collection","Total number in collection"
"number.aged_nombre.agées","Nombre qui ont été agées","Number that was aged"
