dataset__données,name__nom,description_en,description_fr,type_en,type_fr
Sonar Eelgrass Presence REST,Latitude,"The geographic latitude of the sonar ping (in decimal degrees, using the spatial reference system given in dwc:geodeticDatum). Positive values are north of the Equator, negative values are south of it.  Legal values lie between -90 and 90, inclusive.","La latitude géographique du signal sonar (en degrés décimaux, en utilisant le système de référence spatiale indiqué dans dwc:geodeticDatum). Les valeurs positives correspondent au nord de l'équateur, les valeurs négatives au sud de l'équateur.  Les valeurs légales sont comprises entre -90 et 90, inclusivement.","Numeric, positive for this region","Numérique, positif pour cette région"
Sonar Eelgrass Presence REST,Longitude,"The geographic longitude of the sonar ping (in decimal degrees, using the spatial reference system given in dwc:geodeticDatum). Positive values are east of the Greenwich Meridian, negative values are west of it.  Legal values lie between -180 and 180, inclusive.","La longitude géographique du signal sonar (en degrés décimaux, en utilisant le système de référence spatiale indiqué dans dwc:geodeticDatum). Les valeurs positives correspondent à l'est du méridien de Greenwich, les valeurs négatives à l'ouest.  Les valeurs légales sont comprises entre -180 et 180 inclus.","Numeric, negative for this region","Numérique, négatif pour cette région"
Sonar Eelgrass Presence REST,Date,Time of ping in format Year-Month-Day Hour:Minute:Second.millisecond,Heure du ping au format Année-Mois-Jour Heure:Minute:Seconde.milliseconde,Date,Date
Sonar Eelgrass Presence REST,File__Fichier,Corresponding raw data file name,Nom du fichier de données brutes correspondant,String,caractères
Sonar Eelgrass Presence REST,Transducer__Transducteur,Details of the sonar transducer mounted to the boat for data collection,Détails du transducteur sonar monté sur le bateau pour la collecte de données,String,caractères
Sonar Eelgrass Presence REST,EG_Presence__PrésenceZostère,"Processed data were exported from BioSonics Visual Aquatic aggregating sets of 10 pings that were in very close proximity. Grouped pings with a vegetation canopy height >= 0.1 m were assigned an eelgrass presence (i.e.,”EG_Presence”) value of “Y” (Yes), while grouped pings with a height of <0.1 m were assigned a presence value of “N”(No).  ","Les données préparées ont été exportées de BioSonics Visual Aquatic en agrégeant des ensembles de 10 pings très proches les uns des autres.  Les pings groupés d'une hauteur de canopée végétale >= 0,1 m ont reçu une valeur de présence d'herbes marines (c'est-à-dire « EG_Presence ») de « Y » (Oui), tandis que les pings groupés avec une hauteur < 0,1 m ont reçu une valeur de présence de « N »(non).",String,caractères
Sonar Eelgrass Presence REST,Site__Lieu,General location name of data collection site,Nom général du lieu de collecte des données,String,caractères
,,,,,
All Sonar Transects REST,File__Fichier,Corresponding raw data file name,Nom du fichier de données brutes correspondant,String,caractères
All Sonar Transects REST,Site__Lieu,General location name of data collection site,Nom général du lieu de collecte des données,String,caractères
All Sonar Transects REST,Year__Année,Time of ping in YYYY format,Heure du ping au format AAAA,Date,Date
All Sonar Transects REST,Dates,Dates of data collection at site,Dates de collecte des données sur le lieu,String,caractères
,,,,,
Sonar Eelgrass Presence CSV,Site__Lieu,General location name of data collection site,Nom général du lieu de collecte des données,String,caractères
Sonar Eelgrass Presence CSV,Latitude,"The geographic latitude of the sonar ping (in decimal degrees, using the spatial reference system given in dwc:geodeticDatum). Positive values are north of the Equator, negative values are south of it.  Legal values lie between -90 and 90, inclusive.","La latitude géographique du signal sonar (en degrés décimaux, en utilisant le système de référence spatiale indiqué dans dwc:geodeticDatum). Les valeurs positives correspondent au nord de l'équateur, les valeurs négatives au sud de l'équateur.  Les valeurs légales sont comprises entre -90 et 90, inclusivement.","Numeric, positive for this region","Numérique, positif pour cette région"
Sonar Eelgrass Presence CSV,Longitude,"The geographic longitude of the sonar ping (in decimal degrees, using the spatial reference system given in dwc:geodeticDatum). Positive values are east of the Greenwich Meridian, negative values are west of it.  Legal values lie between -180 and 180, inclusive.","La longitude géographique du signal sonar (en degrés décimaux, en utilisant le système de référence spatiale indiqué dans dwc:geodeticDatum). Les valeurs positives correspondent à l'est du méridien de Greenwich, les valeurs négatives à l'ouest.  Les valeurs légales sont comprises entre -180 et 180 inclus.","Numeric, negative for this region","Numérique, négatif pour cette région"
Sonar Eelgrass Presence CSV,Date,Time of ping in format Year-Month-Day Hour:Minute:Second.millisecond,Heure du ping au format Année-Mois-Jour Heure:Minute:Seconde.milliseconde,Date,Date
Sonar Eelgrass Presence CSV,EG_Presence__PrésenceZostère,"Processed data were exported from BioSonics Visual Aquatic aggregating sets of 10 pings that were in very close proximity. Grouped pings with a vegetation canopy height >= 0.1 m were assigned an eelgrass presence (i.e.,”EG_Presence”) value of “Y/O” (Yes/Oui), while grouped pings with a height of <0.1 m were assigned a presence value of “N”(No).  ","Les données préparées ont été exportées de BioSonics Visual Aquatic en agrégeant des ensembles de 10 pings très proches les uns des autres.  Les pings groupés d'une hauteur de canopée végétale >= 0,1 m ont reçu une valeur de présence d'herbes marines (c'est-à-dire « EG_Presence ») de « Y/O »(Yes/Oui), tandis que les pings groupés avec une hauteur < 0,1 m ont reçu une valeur de présence de « N »(Non).",String,caractères
