River_name__nom_de_la_rivière,Site_name__nom_du_site,Latitude__latitude,Longitude__longitude,Arrival_date__date_d_arrivée,Departure_date__date_de_départ,Time_released__date_de_libération,Operating_condition_display__affichage_état_de_fonctionnement,Rpm_arrival__rpm_arrivée,Rpm_departure__rpm_départ,Air_temp_arrival__temp_air_arrivée,Water_temp_trap_c__temp_eau_piège_c,Relative_water_level_m__niveau_d_eau_relatif_m,Species__espèces,Status__statut,Life_stage__stade_de_vie,Adipose_condition_display,Total_length__longueur_totale,Fork_length__longueur_à_la_fourche,Weight__poid,Sex__sexe,Age__âge,Age_type__âge_type,Tag_number__numéro_d_étiquette,Sample_id__numéro_d_identification_de_l_échantillon,Specimen_id__numéro_d_identification_du_spécimen
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-05 13:45:00+00:00,2022-05-05 14:17:00+00:00,,fully operational,12.0,12.0,,6.0,,Atlantic salmon,"Released, sampled",smolt,Present,,140.0,,,,,,4112,654689
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-05 13:45:00+00:00,2022-05-05 14:17:00+00:00,,fully operational,12.0,12.0,,6.0,,Atlantic salmon,"Released, sampled",smolt,Present,,81.0,,,,,,4112,654690
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-05 13:45:00+00:00,2022-05-05 14:17:00+00:00,,fully operational,12.0,12.0,,6.0,,Atlantic salmon,"Released, sampled",smolt,Present,,122.0,,,,,,4112,654691
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-05 13:45:00+00:00,2022-05-05 14:17:00+00:00,,fully operational,12.0,12.0,,6.0,,Atlantic salmon,"Released, sampled",smolt,Present,,138.0,,,,,,4112,654692
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-05 13:45:00+00:00,2022-05-05 14:17:00+00:00,,fully operational,12.0,12.0,,6.0,,Atlantic salmon,"Released, sampled",parr,Present,,50.0,,,,,,4112,654693
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-05 13:45:00+00:00,2022-05-05 14:17:00+00:00,,fully operational,12.0,12.0,,6.0,,Atlantic salmon,"Released, sampled",parr,Present,,63.0,,,,,,4112,654694
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-05 13:45:00+00:00,2022-05-05 14:17:00+00:00,,fully operational,12.0,12.0,,6.0,,Atlantic salmon,"Released, sampled",parr,Present,,79.0,,,,,,4112,654695
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-05 13:45:00+00:00,2022-05-05 14:17:00+00:00,,fully operational,12.0,12.0,,6.0,,Atlantic salmon,"Released, sampled",parr,Present,,77.0,,,,,,4112,654696
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-05 13:45:00+00:00,2022-05-05 14:17:00+00:00,,fully operational,12.0,12.0,,6.0,,Atlantic salmon,"Released, sampled",parr,Present,,73.0,,,,,,4112,654697
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-05 13:45:00+00:00,2022-05-05 14:17:00+00:00,,fully operational,12.0,12.0,,6.0,,Atlantic salmon,"Released, sampled",parr,Present,,79.0,,,,,,4112,654698
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-05 13:45:00+00:00,2022-05-05 14:17:00+00:00,,fully operational,12.0,12.0,,6.0,,Brown trout,"Released, sampled",,,,132.0,,,,,,4112,654706
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-05 13:45:00+00:00,2022-05-05 14:17:00+00:00,,fully operational,12.0,12.0,,6.0,,Brown trout,"Released, sampled",,,,96.0,,,,,,4112,654707
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-05 13:45:00+00:00,2022-05-05 14:17:00+00:00,,fully operational,12.0,12.0,,6.0,,Brown trout,"Released, sampled",,,,63.0,,,,,,4112,654708
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-05 13:45:00+00:00,2022-05-05 14:17:00+00:00,,fully operational,12.0,12.0,,6.0,,Gaspereau,"Released, unsampled",,,,,,,,,,4112,654709
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-05 13:45:00+00:00,2022-05-05 14:17:00+00:00,,fully operational,12.0,12.0,,6.0,,Gaspereau,"Released, unsampled",,,,,,,,,,4112,654710
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-05 13:45:00+00:00,2022-05-05 14:17:00+00:00,,fully operational,12.0,12.0,,6.0,,Gaspereau,"Released, unsampled",,,,,,,,,,4112,654711
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-05 13:45:00+00:00,2022-05-05 14:17:00+00:00,,fully operational,12.0,12.0,,6.0,,Gaspereau,"Released, unsampled",,,,,,,,,,4112,654712
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,123.0,,,,,M00005,4113,654713
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,137.0,,,,,M00001,4113,654714
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,125.0,,,,,M00003,4113,654715
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,134.0,,,,,M00002,4113,654716
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,120.0,,,,,M00004,4113,654717
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,131.0,,,,,M00006,4113,654718
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,131.0,,,,,M00007,4113,654719
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,140.0,,,,,M00008,4113,654720
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,112.0,,,,,M00010,4113,654721
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,126.0,,,,,M00009,4113,654722
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,117.0,,,,,M00011,4113,654723
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,112.0,,,,,M00012,4113,654724
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,110.0,,,,,M00013,4113,654725
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,119.0,,,,,M00014,4113,654726
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,122.0,,,,,M00015,4113,654727
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,161.0,,,,,M00016,4113,654728
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,129.0,,,,,M00017,4113,654729
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,125.0,,,,,M00018,4113,654730
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,112.0,,,,,M00019,4113,654731
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,109.0,,,,,M00020,4113,654732
