L'année,Nom du site,Province,Latitude,Longitude,Nom de la rivière,Zone de pêche,ONGC,Température moyenne de l'air à l'arrivée,Température moyenne de l'eau sur le rivage,Profondeur moyenne de l'eau (m),Durée totale de fonctionnement (h),Nom commun en anglais,Nom commun en français,Nom scientifique,ITIS TSN,Spécimens mesurés,Longueur moyenne (mm),Type de longueur
2022,Margaree-RST,Nova Scotia,46.3655,-61.07812,Margaree River,SFA18,CAXMI,11.583,9.107,,4770.0,American eel,anguille d'Amérique,Anguilla rostrata,161127,66,512.127,total
2022,Margaree-RST,Nova Scotia,46.3655,-61.07812,Margaree River,SFA18,CAXMI,11.583,9.107,,4770.0,Atlantic salmon,saumon atlantique,Salmo salar,161996,7246,127.781,fork
2022,Margaree-RST,Nova Scotia,46.3655,-61.07812,Margaree River,SFA18,CAXMI,11.583,9.107,,4770.0,Banded killifish,fondule barré,Fundulus diaphanus,165646,4,80.000,fork
2022,Margaree-RST,Nova Scotia,46.3655,-61.07812,Margaree River,SFA18,CAXMI,11.583,9.107,,4770.0,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,1,,fork
2022,Margaree-RST,Nova Scotia,46.3655,-61.07812,Margaree River,SFA18,CAXMI,11.583,9.107,,4770.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,20,269.750,fork
2022,Margaree-RST,Nova Scotia,46.3655,-61.07812,Margaree River,SFA18,CAXMI,11.583,9.107,,4770.0,Brown trout,truite brune,Salmo trutta,161997,171,128.563,fork
2022,Margaree-RST,Nova Scotia,46.3655,-61.07812,Margaree River,SFA18,CAXMI,11.583,9.107,,4770.0,Dace (non-specific),,,0,1,,fork
2022,Margaree-RST,Nova Scotia,46.3655,-61.07812,Margaree River,SFA18,CAXMI,11.583,9.107,,4770.0,Gaspereau,gaspareau,Alosa pseudoharengus,161701,73,,fork
2022,Margaree-RST,Nova Scotia,46.3655,-61.07812,Margaree River,SFA18,CAXMI,11.583,9.107,,4770.0,Lamprey (non specific),lamproies (non spécifique),,159697,3,,fork
2022,Margaree-RST,Nova Scotia,46.3655,-61.07812,Margaree River,SFA18,CAXMI,11.583,9.107,,4770.0,Mummichog,choquemort,Fundulus heteroclitus,165647,1,,fork
