Sample_ID__Numéro_échantillon,Year__Année,Month__Mois,Day__Jour,Port_landed__Port_de_débarquement,Port_code,Port_latitude,Port_longitude,Fishing_area__Zone_de_pêche,Mesh_size_mm__Maillage_mm,21.0 cm ,21.5 cm ,22.0 cm ,22.5 cm ,23.0 cm ,23.5 cm ,24.0 cm ,24.5 cm ,25.0 cm ,25.5 cm ,26.0 cm ,26.5 cm ,27.0 cm ,27.5 cm ,28.0 cm ,28.5 cm ,29.0 cm ,29.5 cm ,30.0 cm ,30.5 cm ,31.0 cm ,31.5 cm ,32.0 cm ,32.5 cm ,33.0 cm ,33.5 cm ,34.0 cm ,34.5 cm ,35.0 cm ,35.5 cm ,36.0 cm ,36.5 cm ,37.0 cm ,37.5 cm ,38.0 cm ,38.5 cm ,39.0 cm ,39.5 cm ,40.0 cm ,40.5 cm ,41.0 cm ,41.5 cm ,42.0 cm ,42.5 cm ,43.0 cm ,43.5 cm ,44.0 cm ,44.5 cm ,45.0 cm ,45.5 cm ,46.0 cm ,46.5 cm ,47.0 cm ,47.5 cm ,48.0 cm 
41213,1997,10,10,ARISAIG,11303,45.761,-62.172,4TH,57,0,0,0,0,0,0,0,0,0,1,5,8,12,8,21,12,15,25,34,35,37,17,20,7,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41295,1997,10,10,ARISAIG,11303,45.761,-62.172,4TH,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,10,19,17,16,13,12,6,9,13,10,12,14,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42903,1997,9,4,ARISAIG,11303,45.761,-62.172,4TH,51,0,0,0,0,0,1,2,3,9,14,16,20,15,18,21,8,11,6,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42904,1997,9,4,ARISAIG,11303,45.761,-62.172,4TH,57,0,0,0,0,0,0,0,0,1,3,8,6,13,13,11,12,16,17,14,13,8,3,5,3,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42905,1997,9,4,ARISAIG,11303,45.761,-62.172,4TH,64,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,6,9,8,15,17,9,5,8,4,9,5,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42906,1997,9,4,ARISAIG,11303,45.761,-62.172,4TH,66,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,6,5,18,9,15,4,3,3,7,3,4,3,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42907,1997,9,18,LISMORE,11202,45.70600111,-62.27030041,4TH,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,11,9,10,12,12,5,14,13,6,7,3,3,1,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42908,1997,9,18,LISMORE,11202,45.70600111,-62.27030041,4TH,66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,13,19,27,9,18,11,13,11,10,6,8,7,5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42909,1997,9,18,LISMORE,11202,45.70600111,-62.27030041,4TH,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,6,12,11,14,4,9,9,8,7,6,4,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42910,1997,9,18,LISMORE,11202,45.70600111,-62.27030041,4TH,57,0,0,0,0,0,0,0,0,0,0,2,4,7,3,6,12,14,13,23,12,9,11,2,2,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
