river_name__nom_de_la_rivière,site_code__numéro_du_site,latitude,longitude,date,site_type__type_de_site,water_cond__cond_eau,water_temp_c__temp_eau_c,seine_type__type_de_senne,electrofisher__électropêcheur,electrofisher_pulse_type__type_d'impulsion_du_électropêcheur,electrofisher_frequency__fréquence_du_électropêcheur,duty_cycle__facteur_d'utilisation,electrofisher_voltage__tension_du_électropêcheur,electrofisher_output_low__sortie_faible_du_électropêcheur,electrofisher_output_high__sortie_élevé_du_électropêcheur,bank_length_left__longueur_de_la_banque_à_gauche,bank_length_right__longueur_de_la_banque_à_droite,width_lower__largeur_inférieure,width_middle__largeur_moyenne,width_upper__largeur_supérieure,max_overhanging_veg_left__max_vég_en_surplomb_à_gauche,max_overhanging_veg_right__max_vég_en_surplomb_à_droite,overhanging_veg_left__vég_en_surplomb_à_gauche,overhanging_veg_right__vég_en_surplomb_à_droite,depth_1_lower__profondeur_1_inférieure,depth_2_lower__profondeur_2_inférieure,depth_3_lower__profondeur_3_inférieure,depth_1_middle__profondeur_1_moyenne,depth_2_middle__profondeur_2_moyenne,depth_3_middle__profondeur_3_moyenne,depth_1_upper__profondeur_1_supérieur,depth_2_upper__profondeur_2_supérieur,depth_3_upper__profondeur_3_supérieur,max_depth__profondeur_max,percent_fine__pourcentage_fin,percent_sand__pourcentage_sable,percent_gravel__pourcentage_gravier,percent_pebble__pourcentage_caillou,percent_cobble__pourcentage_pierre,percent_rocks__pourcentage_roches,percent_boulder__pourcentage_rocher,percent_bedrock__pourcentage_substratum,percent_riffle__pourcentage_radier,percent_run__pourcentage_courant,percent_flat__pourcentage_plat,percent_pool__pourcentage_bassin,age_thresh_0_1__seuil d'âge_0_1,age_thresh_1_2__seuil d'âge_1_2,age_thresh_2_3__seuil d'âge_2_3,sample_id__numéro_d_identification_de_l_échantillon
Cocagne river,C07,,,2024-10-24,Open,39.4,9.0,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D01150] (LR24 - SENB),Standard pulse ,60.0,36,400.0,0.21,0.25,25.2,24.8,12.0,10.1,9.6,1.5,0.2,100.0,100.0,19.0,28.0,12.0,26.0,23.0,18.0,17.0,24.0,15.0,36.0,0.0,5.0,10.0,35.0,40.0,5.0,5.0,0,100,0,0,0,,,,54895
Northwest branch Cocagne river,C03,,,2024-10-23,Open,50.3,8.0,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D01150] (LR24 - SENB),Standard pulse ,6.0,36,400.0,0.23,0.25,26.3,25.9,5.1,9.3,7.1,0.2,0.2,20.0,10.0,18.0,13.0,20.0,9.0,19.0,4.0,14.0,13.0,22.0,27.0,0.0,5.0,10.0,35.0,30.0,15.0,5.0,0,100,0,0,0,,,,54893
Cocagne river,C01,,,2024-10-23,Open,40.3,6.7,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D01150] (LR24 - SENB),Standard pulse ,60.0,36,425.0,0.21,0.23,21.9,23.1,10.3,9.9,11.7,0.2,0.2,75.0,50.0,24.0,33.0,25.0,18.0,8.0,7.0,28.0,35.0,20.0,38.0,5.0,5.0,5.0,10.0,20.0,45.0,10.0,0,95,5,0,0,,,,54891
Cocagne river,C06,,,2024-10-10,Open,,10.7,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D01150] (LR24 - SENB),Standard pulse ,60.0,36,300.0,0.19,0.27,18.3,19.7,10.7,12.7,14.4,1.0,0.2,100.0,100.0,29.0,55.0,26.0,33.0,34.0,35.0,36.0,30.0,29.0,54.0,0.0,5.0,10.0,30.0,35.0,15.0,5.0,0.0,75,25,0,0,,,,54894
Cocagne river,C02,,,2024-10-10,Open,,10.7,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D01150] (LR24 - SENB),Standard pulse ,60.0,36,325.0,0.21,0.23,27.9,31.6,8.7,5.9,7.7,0.2,0.2,90.0,90.0,47.0,35.0,62.0,44.0,42.0,32.0,33.0,25.0,27.0,62.0,0.0,5.0,10.0,20.0,25.0,30.0,10.0,0.0,70,30,0,0,,,,54892
South branch Buctouche river,B03,,,2024-10-10,Open,58.7,10.4,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D01150] (LR24 - SENB),Standard pulse ,60.0,36,375.0,0.19,0.23,21.1,22.7,8.4,9.9,8.2,,0.2,0.0,90.0,39.0,45.0,30.0,13.0,18.0,21.0,23.0,21.0,34.0,53.0,0.0,5.0,10.0,25.0,45.0,10.0,5.0,0.0,90,10,0,0,,,,54841
Buctouche,B17,,,2024-10-10,Open,117.1,8.5,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D01150] (LR24 - SENB),Standard pulse ,60.0,36,300.0,0.21,0.28,18.3,15.6,10.4,12.3,12.3,,,0.0,,15.0,18.0,15.0,20.0,15.0,15.0,24.0,34.0,12.0,35.0,0.0,5.0,5.0,20.0,50.0,15.0,5.0,0,100,0,0,0,,,,54880
Kouchibouguac,K17,,,2024-10-04,Open,118.1,11.9,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D01150] (LR24 - SENB),Standard pulse ,60.0,36,250.0,0.18,0.24,12.5,12.5,16.3,19.8,19.6,2.0,1.0,100.0,50.0,9.0,10.0,21.0,11.0,5.0,12.0,15.0,7.0,13.0,31.0,0.0,5.0,20.0,35.0,35.0,5.0,0.0,0.0,100,0,0,0,,,,54889
Buctouche,B06,,,2024-10-04,Open,149.2,14.0,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D01150] (LR24 - SENB),Standard pulse ,60.0,36,225.0,0.18,0.25,17.5,22.3,11.8,6.5,6.5,0.5,0.5,100.0,100.0,26.0,15.0,26.0,7.0,16.0,1.0,9.0,14.0,4.0,26.0,5.0,5.0,15.0,40.0,20.0,10.0,5.0,0.0,100,0,0,0,,,,54877
Kouchibouguac,K05,,,2024-10-03,Open,559.5,11.8,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D01150] (LR24 - SENB),Standard pulse ,60.0,36,325.0,0.2,0.2,14.7,16.8,11.4,9.6,7.7,3.0,2.5,100.0,90.0,,8.0,68.0,6.0,12.0,8.0,26.0,20.0,45.0,68.0,0.0,5.0,10.0,15.0,60.0,10.0,0.0,0.0,100,0,0,0,,,,54887
Kouchibouguac,K02,,,2024-10-03,Open,89.8,8.4,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D01150] (LR24 - SENB),Standard pulse ,60.0,36,275.0,0.18,0.22,23.5,21.5,7.9,9.4,6.6,2.0,,80.0,0.0,14.0,22.0,9.0,26.0,18.0,12.0,21.0,18.0,13.0,32.0,0.0,5.0,10.0,30.0,45.0,10.0,0.0,0.0,100,0,0,0,,,,54885
Upper north branch Buctouche river,B05,,,2024-10-03,Open,157.5,11.6,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D01150] (LR24 - SENB),Standard pulse ,60.0,36,225.0,0.23,0.23,50.5,48.1,1.9,4.1,5.4,,1.5,0.0,20.0,9.0,1.0,14.0,20.0,8.0,26.0,13.0,6.0,9.0,33.0,0.0,10.0,15.0,35.0,20.0,15.0,5.0,0.0,100,0,0,0,,,,54854
Buctouche,B01,,,2024-10-02,Open,155.0,11.8,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D01150] (LR24 - SENB),Standard pulse ,60.0,36,200.0,0.2,0.29,21.0,21.7,8.6,10.6,10.6,,0.2,0.0,5.0,24.0,16.0,21.0,16.0,12.0,23.0,16.0,13.0,18.0,32.0,5.0,5.0,10.0,30.0,30.0,15.0,5.0,0.0,100,0,0,0,,,,54833
Buctouche,B07,,,2024-10-02,Open,125.8,13.3,1 man seine (1m wide X 1m high),Smith-Root LR-24 [s/n: D01150] (LR24 - SENB),Standard pulse ,60.0,36,275.0,0.15,0.2,16.0,14.8,10.7,12.2,13.4,0.2,0.0,40.0,0.0,18.0,17.0,15.0,19.0,13.0,28.0,32.0,15.0,11.0,39.0,0.0,5.0,10.0,20.0,30.0,15.0,5.0,15.0,100,0,0,0,,,,54844
