fishing_area__zone_de_pêche,river_name__nom_de_la_rivière,site_code__numéro_du_site,latitude,longitude,year__année,month__mois,day__jour,site_type__type_de_site,water_cond__cond_eau,water_temp_c__temp_eau_c,seine_type__type_de_senne,electrofisher__électropêcheur,electrofisher_pulse_type__type_d'impulsion_du_électropêcheur,electrofisher_frequency__fréquence_du_électropêcheur,duty_cycle__facteur_d'utilisation,electrofisher_voltage__tension_du_électropêcheur,electrofisher_output_low__sortie_faible_du_électropêcheur,electrofisher_output_high__sortie_élevé_du_électropêcheur,bank_length_left__longueur_de_la_banque_à_gauche,bank_length_right__longueur_de_la_banque_à_droite,width_lower__largeur_inférieure,width_middle__largeur_moyenne,width_upper__largeur_supérieure,max_overhanging_veg_left__max_vég_en_surplomb_à_gauche,max_overhanging_veg_right__max_vég_en_surplomb_à_droite,overhanging_veg_left__vég_en_surplomb_à_gauche,overhanging_veg_right__vég_en_surplomb_à_droite,depth_1_lower__profondeur_1_inférieure,depth_2_lower__profondeur_2_inférieure,depth_3_lower__profondeur_3_inférieure,depth_1_middle__profondeur_1_moyenne,depth_2_middle__profondeur_2_moyenne,depth_3_middle__profondeur_3_moyenne,depth_1_upper__profondeur_1_supérieur,depth_2_upper__profondeur_2_supérieur,depth_3_upper__profondeur_3_supérieur,max_depth__profondeur_max,percent_fine__pourcentage_fin,percent_sand__pourcentage_sable,percent_gravel__pourcentage_gravier,percent_pebble__pourcentage_caillou,percent_cobble__pourcentage_pierre,percent_rocks__pourcentage_roches,percent_boulder__pourcentage_rocher,percent_bedrock__pourcentage_substratum,percent_riffle__pourcentage_radier,percent_run__pourcentage_courant,percent_flat__pourcentage_plat,percent_pool__pourcentage_bassin,age_thresh_0_1__seuil d'âge_0_1,age_thresh_1_2__seuil d'âge_1_2,age_thresh_2_3__seuil d'âge_2_3,sample_id__numéro_d_identification_de_l_échantillon
SFA16B__ZPS16B,Rankin Brook,RK01,46.81328829,-65.07614379,1974,9,9,Spot check,,11.0,1 man seine (1m wide X 1m high),,,,,,,,24.4,22.9,3.0,4.6,2.7,,,50.0,50.0,12.7,22.9,22.9,10.2,17.8,15.2,10.2,20.3,10.2,,30.0,20.0,0.0,20.0,25.0,2.0,0.0,3.0,30,0,0,70,,,,58398
SFA16B__ZPS16B,Rankin Brook,RK02,46.8027027,-65.0630719,1974,9,9,Spot check,,11.0,1 man seine (1m wide X 1m high),,,,,,,,19.8,21.3,1.5,4.6,5.5,,,50.0,50.0,25.4,25.4,25.4,20.3,22.9,17.8,15.2,17.8,15.2,,55.0,15.0,0.0,20.0,8.0,2.0,0.0,0.0,20,0,0,80,,,,58401
SFA16B__ZPS16B,Black,BL04,46.84504505,-65.11601307,1974,9,9,Spot check,50.0,,1 man seine (1m wide X 1m high),,,,,,,,25.9,25.9,3.0,3.0,5.8,,,100.0,100.0,7.6,15.2,20.3,10.2,17.8,22.9,25.4,48.3,22.9,,0.0,10.0,0.0,10.0,60.0,10.0,0.0,10.0,50,0,0,50,,,,58441
SFA16B__ZPS16B,Kouchibouguacis,KS03,46.65,-65.25,1974,9,10,Spot check,50.0,16.0,1 man seine (1m wide X 1m high),,,,,,,,9.1,9.1,10.7,7.6,9.1,,,,,40.6,38.1,27.9,12.7,33.0,40.6,22.9,45.7,50.8,,0.0,0.0,0.0,0.0,5.0,5.0,0.0,90.0,50,0,0,50,,,,58414
SFA16B__ZPS16B,Kouchibouguacis,KS04,46.69009009,-65.10098039,1974,9,10,Spot check,,16.0,1 man seine (1m wide X 1m high),,,,,,,,9.1,9.1,10.7,9.1,9.1,,,,,17.8,15.2,22.9,35.6,30.5,40.6,22.9,20.3,25.4,,0.0,5.0,0.0,5.0,20.0,70.0,0.0,0.0,50,0,0,50,,,,58423
SFA16B__ZPS16B,South Branch McInnes Brook,K13,46.74887387,-65.22,1974,9,12,Spot check,,15.0,1 man seine (1m wide X 1m high),,,,,,,,18.3,18.3,4.6,4.6,4.6,,,50.0,50.0,12.7,22.9,10.2,,,,27.9,38.1,22.9,,0.0,10.0,0.0,90.0,0.0,0.0,0.0,0.0,50,0,0,50,,,,58425
SFA16B__ZPS16B,Kouchibouguac,K05,46.68,-65.38,1974,9,12,Spot check,50.0,16.0,1 man seine (1m wide X 1m high),,,,,,,,9.1,9.1,9.1,9.1,9.1,,,50.0,50.0,10.2,15.2,33.0,12.7,15.2,25.4,10.2,17.8,38.1,,0.0,0.0,0.0,30.0,20.0,20.0,0.0,30.0,30,50,0,20,,,,58434
SFA16B__ZPS16B,Kouchibouguac,K08,46.6972973,-65.31993464,1974,9,12,Spot check,50.0,17.0,1 man seine (1m wide X 1m high),,,60.0,,300.0,,,6.1,6.1,13.7,13.7,13.7,,,,,20.3,10.2,20.3,17.8,15.2,20.3,10.2,22.9,10.2,,0.0,0.0,0.0,40.0,50.0,10.0,0.0,0.0,60,20,0,20,,,,58436
SFA16B__ZPS16B,Ferris Brook,K11,46.67522523,-65.33986928,1974,9,12,Spot check,,,1 man seine (1m wide X 1m high),,,,,,,,,,3.0,3.0,3.0,,,50.0,50.0,,,,,,,,,,,30.0,0.0,0.0,20.0,30.0,0.0,20.0,0.0,0,0,0,0,,,,58439
SFA16B__ZPS16B,North Branch McInnes Brook,K15,46.76036036,-65.2379085,1974,9,18,Spot check,50.0,10.0,1 man seine (1m wide X 1m high),Dirigo 500 [s/n: ---] (Created during import of historical SFA-16B s.NB data),,,,,,,16.8,16.8,7.0,7.3,5.8,,,,,10.2,7.6,7.6,10.2,7.6,10.2,17.8,17.8,7.6,,5.0,5.0,0.0,25.0,60.0,0.0,0.0,5.0,50,50,0,0,,,,58411
