date,river_name__nom_de_la_rivière,site_code__numéro_du_site,species__espèces,status__statut,life_stage__stade_de_vie,adipose_condition__état_de_nageoire_adipeuse,total_length__longueur_totale,fork_length__longueur à la fourche,weight__poids,reproductive_status__stade_de_la_reproduction,sex__sexe,scale_id_number__numéro_id_écaille,ager_id__id_de_l'analyste,SMART_river_age__âge_en_rivière,SMART_river_age_type__type_âge_en_rivière,notes,sweep_number__numéro_de_balayage,sweep_time__temps_de_balayage,full_wetted_area__surface_mouillée_totale,sample_id__numéro_d_identification_de_l_échantillon
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,48.0,1.28,,Unknown,,,,,,0.5,586,132.263,253596
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,61.0,2.53,,Unknown,,,,,,0.5,586,132.263,253597
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,61.0,2.54,,Unknown,,,,,,0.5,586,132.263,253598
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,60.0,2.35,,Unknown,,,,,,0.5,586,132.263,253599
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,58.0,2.03,,Unknown,,,,,,0.5,586,132.263,253600
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,64.0,3.21,,Unknown,,,,,,0.5,586,132.263,253601
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,57.0,2.18,,Unknown,,,,,,0.5,586,132.263,253602
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,62.0,2.49,,Unknown,,,,,,0.5,586,132.263,253603
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,55.0,1.64,,Unknown,,,,,,0.5,586,132.263,253604
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,63.0,2.79,,Unknown,,,,,,0.5,586,132.263,253605
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,63.0,2.72,,Unknown,,,,,,0.5,586,132.263,253606
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,58.0,2.12,,Unknown,,,,,,0.5,586,132.263,253607
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,63.0,2.76,,Unknown,,,,,,0.5,586,132.263,253608
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,66.0,3.28,,Unknown,,,,,,0.5,586,132.263,253609
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,63.0,2.74,,Unknown,,,,,,0.5,586,132.263,253610
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,56.0,1.88,,Unknown,,,,,,0.5,586,132.263,253611
2021-09-20,Cocagne river,C01,Atlantic salmon,"Mortality, sampled",fry,Present,,50.0,1.3,,Unknown,,,,,,0.5,586,132.263,253612
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,70.0,3.77,,Unknown,,,,,,0.5,586,132.263,253613
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,65.0,2.78,,Unknown,,,,,,0.5,586,132.263,253614
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,63.0,2.55,,Unknown,,,,,,0.5,586,132.263,253615
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,69.0,3.49,,Unknown,,,,,,0.5,586,132.263,253616
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,55.0,1.91,,Unknown,,,,,,0.5,586,132.263,253617
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,68.0,3.16,,Unknown,,,,,,0.5,586,132.263,253618
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,65.0,2.83,,Unknown,,,,,,0.5,586,132.263,253619
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,56.0,1.92,,Unknown,,,,,,0.5,586,132.263,253620
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,59.0,2.02,,Unknown,,,,,,0.5,586,132.263,253621
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,64.0,2.8,,Unknown,,,,,,0.5,586,132.263,253622
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,59.0,2.16,,Unknown,,,,,,0.5,586,132.263,253623
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,64.0,2.73,,Unknown,,,,,,0.5,586,132.263,253624
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,66.0,2.88,,Unknown,,,,,,0.5,586,132.263,253625
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,60.0,2.07,,Unknown,,,,,,0.5,586,132.263,253626
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,62.0,2.71,,Unknown,,,,,,0.5,586,132.263,253627
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,63.0,2.47,,Unknown,,,,,,0.5,586,132.263,253628
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,55.0,1.58,,Unknown,,,,,,0.5,586,132.263,253629
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,59.0,2.22,,Unknown,,,,,,0.5,586,132.263,253630
2021-09-20,Cocagne river,C01,Brook trout,"Released, sampled",,Present,,167.0,42.89,,Unknown,,,,,,0.5,586,132.263,253631
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,54.0,1.94,,Unknown,,,,,,0.5,586,132.263,253632
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,26.0,0.25,,Unknown,,,,,,0.5,586,132.263,253633
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,51.0,1.47,,Unknown,,,,,,0.5,586,132.263,253634
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,44.0,0.94,,Unknown,,,,,,0.5,586,132.263,253635
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,51.0,1.56,,Unknown,,,,,,0.5,586,132.263,253636
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,61.0,2.51,,Unknown,,,,,,0.5,586,132.263,253637
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,28.0,0.15,,Unknown,,,,,,0.5,586,132.263,253638
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,62.0,2.68,,Unknown,,,,,,0.5,586,132.263,253639
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,56.0,2.01,,Unknown,,,,,,0.5,586,132.263,253640
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,49.0,1.2,,Unknown,,,,,,0.5,586,132.263,253641
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,45.0,0.93,,Unknown,,,,,,0.5,586,132.263,253642
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,31.0,0.3,,Unknown,,,,,,0.5,586,132.263,253643
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,40.0,0.77,,Unknown,,,,,,0.5,586,132.263,253644
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,55.0,1.89,,Unknown,,,,,,0.5,586,132.263,253645
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,61.0,2.5,,Unknown,,,,,,0.5,586,132.263,253646
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,28.0,0.24,,Unknown,,,,,,0.5,586,132.263,253647
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,58.0,2.22,,Unknown,,,,,,0.5,586,132.263,253648
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,55.0,1.97,,Unknown,,,,,,0.5,586,132.263,253649
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,27.0,0.19,,Unknown,,,,,,0.5,586,132.263,253650
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,35.0,0.48,,Unknown,,,,,,0.5,586,132.263,253651
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,30.0,0.24,,Unknown,,,,,,0.5,586,132.263,253652
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,62.0,2.39,,Unknown,,,,,,0.5,586,132.263,253653
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,42.0,0.73,,Unknown,,,,,,0.5,586,132.263,253654
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,46.0,1.04,,Unknown,,,,,,0.5,586,132.263,253655
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,47.0,1.08,,Unknown,,,,,,0.5,586,132.263,253656
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,30.0,0.26,,Unknown,,,,,,0.5,586,132.263,253657
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,66.0,3.16,,Unknown,,,,,,0.5,586,132.263,253658
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,60.0,2.24,,Unknown,,,,,,0.5,586,132.263,253659
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,57.0,2.06,,Unknown,,,,,,0.5,586,132.263,253660
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,27.0,0.22,,Unknown,,,,,,0.5,586,132.263,253661
2021-09-20,Cocagne river,C01,Blacknose dace,"Released, sampled",,Present,,53.0,1.56,,Unknown,,,,,,0.5,586,132.263,253662
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",parr,Present,,86.0,8.04,,Not checked,,,,,,0.5,586,132.263,253672
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",parr,Present,,113.0,16.01,,Not checked,,,,,,0.5,586,132.263,253673
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",parr,Present,,115.0,16.15,,Not checked,,,,,,0.5,586,132.263,253674
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",parr,Present,,146.0,33.38,,Not checked,,,,,,0.5,586,132.263,253675
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",parr,Present,,90.0,8.98,,Not checked,,,,,,0.5,586,132.263,253676
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",parr,Present,,101.0,10.51,,Not checked,,,,,,0.5,586,132.263,253677
2021-09-20,Cocagne river,C01,three-spined stickleback,"Released, sampled",,Present,,37.0,0.42,,Unknown,,,,,,0.5,586,132.263,253679
2021-09-20,Cocagne river,C01,White sucker,"Released, sampled",,Present,,84.0,6.58,,Unknown,,,,,,0.5,586,132.263,253680
2021-09-20,Cocagne river,C01,Atlantic salmon,"Released, sampled",fry,Present,,62.0,2.52,,Unknown,,,,,,0.5,586,132.263,253861
2021-09-20,Cocagne river,C01,Lake chub,"Released, sampled",,Present,,33.0,0.25,,Unknown,,,,,,0.5,586,132.263,253875
2021-09-20,Cocagne river,C01,Lake chub,"Released, sampled",,Present,,57.0,1.9,,Unknown,,,,,,0.5,586,132.263,253876
2021-09-20,Cocagne river,C01,Lake chub,"Released, sampled",,Present,,41.0,0.74,,Unknown,,,,,,0.5,586,132.263,253877
2021-09-20,Cocagne river,C01,Lake chub,"Released, sampled",,Present,,57.0,2.14,,Unknown,,,,,,0.5,586,132.263,253878
2021-09-20,Cocagne river,C01,Lake chub,"Released, sampled",,Present,,36.0,0.44,,Unknown,,,,,,0.5,586,132.263,253879
2021-09-20,Cocagne river,C01,Lake chub,"Released, sampled",,Present,,81.0,5.48,,Unknown,,,,,,0.5,586,132.263,253880
2021-09-20,Cocagne river,C01,Lake chub,"Released, sampled",,Present,,43.0,0.77,,Unknown,,,,,,0.5,586,132.263,253881
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,60.0,2.54,,Unknown,,,,,,0.5,527,121.54,253956
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,55.0,1.96,,Unknown,,,,,,0.5,527,121.54,253957
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,40.0,0.62,,Unknown,,,,,,0.5,527,121.54,253958
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,58.0,2.18,,Unknown,,,,,,0.5,527,121.54,253959
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,45.0,1.06,,Unknown,,,,,,0.5,527,121.54,253960
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,47.0,1.06,,Unknown,,,,,,0.5,527,121.54,253961
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,58.0,2.43,,Unknown,,,,,,0.5,527,121.54,253962
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,31.0,0.29,,Unknown,,,,,,0.5,527,121.54,253963
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,30.0,0.29,,Unknown,,,,,,0.5,527,121.54,253964
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,29.0,0.28,,Unknown,,,,,,0.5,527,121.54,253965
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,59.0,2.7,,Unknown,,,,,,0.5,527,121.54,253966
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,61.0,2.57,,Unknown,,,,,,0.5,527,121.54,253967
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,54.0,2.05,,Unknown,,,,,,0.5,527,121.54,253968
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,31.0,0.28,,Unknown,,,,,,0.5,527,121.54,253969
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,64.0,2.95,,Unknown,,,,,,0.5,527,121.54,253970
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,43.0,0.78,,Unknown,,,,,,0.5,527,121.54,253971
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,28.0,0.24,,Unknown,,,,,,0.5,527,121.54,253972
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,43.0,0.89,,Unknown,,,,,,0.5,527,121.54,253973
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,47.0,1.13,,Unknown,,,,,,0.5,527,121.54,253974
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,29.0,0.32,,Unknown,,,,,,0.5,527,121.54,253975
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,38.0,0.73,,Unknown,,,,,,0.5,527,121.54,253976
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,55.0,2.07,,Unknown,,,,,,0.5,527,121.54,253977
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,28.0,0.19,,Unknown,,,,,,0.5,527,121.54,253978
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,61.0,2.66,,Unknown,,,,,,0.5,527,121.54,253979
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,57.0,2.29,,Unknown,,,,,,0.5,527,121.54,253980
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,35.0,0.47,,Unknown,,,,,,0.5,527,121.54,253981
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,58.0,2.11,,Unknown,,,,,,0.5,527,121.54,253982
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,28.0,0.24,,Unknown,,,,,,0.5,527,121.54,253983
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,37.0,0.51,,Unknown,,,,,,0.5,527,121.54,253984
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,59.0,2.34,,Unknown,,,,,,0.5,527,121.54,253985
2021-09-20,Northwest branch Cocagne river,C03,Blacknose dace,"Released, sampled",,Present,,63.0,2.68,,Unknown,,,,,,0.5,527,121.54,253986
2021-09-20,Northwest branch Cocagne river,C03,Lake chub,"Released, sampled",,Present,,75.0,4.26,,Unknown,,,,,,0.5,527,121.54,253987
2021-09-20,Northwest branch Cocagne river,C03,Lake chub,"Released, sampled",,Present,,61.0,2.55,,Unknown,,,,,,0.5,527,121.54,253988
2021-09-20,Northwest branch Cocagne river,C03,Lake chub,"Released, sampled",,Present,,70.0,3.78,,Unknown,,,,,,0.5,527,121.54,253989
2021-09-20,Northwest branch Cocagne river,C03,Lake chub,"Released, sampled",,Present,,44.0,0.88,,Unknown,,,,,,0.5,527,121.54,253990
2021-09-20,Northwest branch Cocagne river,C03,Lake chub,"Released, sampled",,Present,,74.0,4.17,,Unknown,,,,,,0.5,527,121.54,253991
2021-09-20,Northwest branch Cocagne river,C03,Lake chub,"Released, sampled",,Present,,63.0,2.8,,Unknown,,,,,,0.5,527,121.54,253992
2021-09-20,Northwest branch Cocagne river,C03,Lake chub,"Released, sampled",,Present,,44.0,0.75,,Unknown,,,,,,0.5,527,121.54,253993
2021-09-20,Northwest branch Cocagne river,C03,Lake chub,"Released, sampled",,Present,,48.0,1.17,,Unknown,,,,,,0.5,527,121.54,253994
2021-09-20,Northwest branch Cocagne river,C03,Lake chub,"Released, sampled",,Present,,77.0,5.21,,Unknown,,,,,,0.5,527,121.54,253995
2021-09-20,Northwest branch Cocagne river,C03,Lake chub,"Released, sampled",,Present,,62.0,2.45,,Unknown,,,,,,0.5,527,121.54,253996
2021-09-20,Northwest branch Cocagne river,C03,Lake chub,"Released, sampled",,Present,,65.0,3.41,,Unknown,,,,,,0.5,527,121.54,253997
2021-09-20,Northwest branch Cocagne river,C03,White sucker,"Released, sampled",,Present,,78.0,8.71,,Unknown,,,,,,0.5,527,121.54,254288
2021-09-20,Northwest branch Cocagne river,C03,White sucker,"Released, sampled",,Present,,94.0,9.97,,Unknown,,,,,,0.5,527,121.54,254289
2021-09-20,Northwest branch Cocagne river,C03,White sucker,"Released, sampled",,Present,,69.0,3.58,,Unknown,,,,,,0.5,527,121.54,254290
2021-09-20,Northwest branch Cocagne river,C03,White sucker,"Released, sampled",,Present,,76.0,5.32,,Unknown,,,,,,0.5,527,121.54,254291
2021-09-20,Northwest branch Cocagne river,C03,White sucker,"Released, sampled",,Present,,92.0,8.44,,Unknown,,,,,,0.5,527,121.54,254292
