L'année,Numéro du site,Province,Latitude,Longitude,Nom de la rivière,Zone de pêche,CGNDB,Température moyenne de l'eau sur le rivage,Nom commun en anglais,Nom commun en français,Nom scientifique,ITIS TSN,Spécimens mesurés,Longueur moyenne (mm),Type de longueur
1974,K09,Nouveau-Brunswick,46.761,-65.199,North Branch McInnes Brook,ZPS16B,,,Atlantic salmon,saumon atlantique,Salmo salar,161996,3,91.333,fourche
1974,K09,Nouveau-Brunswick,46.761,-65.199,North Branch McInnes Brook,ZPS16B,,,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,1,,fourche
1974,K09,Nouveau-Brunswick,46.761,-65.199,North Branch McInnes Brook,ZPS16B,,,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,9,,totale
1974,K10,Nouveau-Brunswick,46.783,-65.135,Tweedie Brook,ZPS16B,,9.0,Atlantic salmon,saumon atlantique,Salmo salar,161996,10,105.0,fourche
1974,K10,Nouveau-Brunswick,46.783,-65.135,Tweedie Brook,ZPS16B,,9.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,3,,fourche
1974,K10,Nouveau-Brunswick,46.783,-65.135,Tweedie Brook,ZPS16B,,9.0,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,6,,totale
1974,K12,Nouveau-Brunswick,46.703,-65.349,East Branch Russel Brook,ZPS16B,,,Atlantic salmon,saumon atlantique,Salmo salar,161996,2,122.0,fourche
1974,K12,Nouveau-Brunswick,46.703,-65.349,East Branch Russel Brook,ZPS16B,,,Dace (non-specific),,,0,8,,fourche
1974,K13,Nouveau-Brunswick,46.749,-65.22,South Branch McInnes Brook,ZPS16B,,15.0,Atlantic salmon,saumon atlantique,Salmo salar,161996,4,100.0,fourche
1974,K13,Nouveau-Brunswick,46.749,-65.22,South Branch McInnes Brook,ZPS16B,,15.0,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,1,,totale
1974,K14,Nouveau-Brunswick,46.731,-65.267,South Branch McInnes Brook,ZPS16B,,,Atlantic salmon,saumon atlantique,Salmo salar,161996,3,113.0,fourche
1974,K14,Nouveau-Brunswick,46.731,-65.267,South Branch McInnes Brook,ZPS16B,,,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,2,,fourche
1974,K14,Nouveau-Brunswick,46.731,-65.267,South Branch McInnes Brook,ZPS16B,,,Dace (non-specific),,,0,3,,fourche
1974,K14,Nouveau-Brunswick,46.731,-65.267,South Branch McInnes Brook,ZPS16B,,,Suckers (non specific),catostomes (non spécifique),Catostomidae,163892,1,,fourche
1974,K15,Nouveau-Brunswick,46.76,-65.238,North Branch McInnes Brook,ZPS16B,,10.0,Atlantic salmon,saumon atlantique,Salmo salar,161996,10,89.6,fourche
1974,K15,Nouveau-Brunswick,46.76,-65.238,North Branch McInnes Brook,ZPS16B,,10.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,6,,fourche
1974,K15,Nouveau-Brunswick,46.76,-65.238,North Branch McInnes Brook,ZPS16B,,10.0,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,16,,totale
1974,KS04,Nouveau-Brunswick,46.69,-65.101,Kouchibouguacis,ZPS16B,,16.0,American eel,anguille d'Amérique,Anguilla rostrata,161127,4,202.5,totale
1974,KS04,Nouveau-Brunswick,46.69,-65.101,Kouchibouguacis,ZPS16B,,16.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,3,76.667,fourche
1974,KS04,Nouveau-Brunswick,46.69,-65.101,Kouchibouguacis,ZPS16B,,16.0,Dace (non-specific),,,0,27,,fourche
1974,KS04,Nouveau-Brunswick,46.69,-65.101,Kouchibouguacis,ZPS16B,,16.0,Suckers (non specific),catostomes (non spécifique),Catostomidae,163892,3,56.667,fourche
1974,KW01,Nouveau-Brunswick,46.173,-64.348,Kouchibouguac,ZPS16B,,10.0,Atlantic salmon,saumon atlantique,Salmo salar,161996,4,112.75,fourche
1974,KW01,Nouveau-Brunswick,46.173,-64.348,Kouchibouguac,ZPS16B,,10.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,16,89.812,fourche
1974,KW01,Nouveau-Brunswick,46.173,-64.348,Kouchibouguac,ZPS16B,,10.0,Dace (non-specific),,,0,5,,fourche
1974,LB01,Nouveau-Brunswick,46.37,-64.77,Little Buctouche,ZPS16B,,12.0,Dace (non-specific),,,0,2,,fourche
1974,LB01,Nouveau-Brunswick,46.37,-64.77,Little Buctouche,ZPS16B,,12.0,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,15,,totale
1974,R03,Nouveau-Brunswick,46.492,-65.287,Richibucto,ZPS16B,,,Atlantic salmon,saumon atlantique,Salmo salar,161996,3,102.0,fourche
1974,R03,Nouveau-Brunswick,46.492,-65.287,Richibucto,ZPS16B,,,Chub (non-specific),,,1,5,,fourche
1974,R04,Nouveau-Brunswick,46.497,-65.347,Richibucto,ZPS16B,,10.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,4,,fourche
1974,R04,Nouveau-Brunswick,46.497,-65.347,Richibucto,ZPS16B,,10.0,Chub (non-specific),,,1,5,,fourche
1974,R04,Nouveau-Brunswick,46.497,-65.347,Richibucto,ZPS16B,,10.0,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,5,,totale
1974,RA01,Nouveau-Brunswick,46.094,-63.95,Rayworth Brook,ZPS16B,,9.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,9,97.444,fourche
1974,RB01,Nouveau-Brunswick,46.55,-65.1,Bass River,ZPS16B,,12.0,Atlantic salmon,saumon atlantique,Salmo salar,161996,1,125.0,fourche
1974,RB01,Nouveau-Brunswick,46.55,-65.1,Bass River,ZPS16B,,12.0,Dace (non-specific),,,0,7,,fourche
1974,RB01,Nouveau-Brunswick,46.55,-65.1,Bass River,ZPS16B,,12.0,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,1,,totale
1974,RH01,Nouveau-Brunswick,46.5,-65.192,Hudson Brook,ZPS16B,,11.0,Atlantic salmon,saumon atlantique,Salmo salar,161996,2,108.5,fourche
1974,RH01,Nouveau-Brunswick,46.5,-65.192,Hudson Brook,ZPS16B,,11.0,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,2,,fourche
1974,RH01,Nouveau-Brunswick,46.5,-65.192,Hudson Brook,ZPS16B,,11.0,Suckers (non specific),catostomes (non spécifique),Catostomidae,163892,3,,fourche
1974,RH02,Nouveau-Brunswick,46.475,-65.208,Hudson Brook,ZPS16B,,8.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,4,,fourche
1974,RH02,Nouveau-Brunswick,46.475,-65.208,Hudson Brook,ZPS16B,,8.0,Dace (non-specific),,,0,4,,fourche
1974,RH02,Nouveau-Brunswick,46.475,-65.208,Hudson Brook,ZPS16B,,8.0,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,7,,totale
1974,RH02,Nouveau-Brunswick,46.475,-65.208,Hudson Brook,ZPS16B,,8.0,Suckers (non specific),catostomes (non spécifique),Catostomidae,163892,2,,fourche
1974,RK01,Nouveau-Brunswick,46.813,-65.076,Rankin Brook,ZPS16B,,11.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,19,,fourche
1974,RK02,Nouveau-Brunswick,46.803,-65.063,Rankin Brook,ZPS16B,,11.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,20,,fourche
1974,RM02,Nouveau-Brunswick,46.586,-65.093,Molus River,ZPS16B,,15.0,Chub (non-specific),,,1,6,,fourche
1974,RM02,Nouveau-Brunswick,46.586,-65.093,Molus River,ZPS16B,,15.0,Suckers (non specific),catostomes (non spécifique),Catostomidae,163892,14,,fourche
1974,RN01,Nouveau-Brunswick,46.546,-64.893,St. Nicholas River,ZPS16B,,5.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,1,102.0,fourche
1974,RN01,Nouveau-Brunswick,46.546,-64.893,St. Nicholas River,ZPS16B,,5.0,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,6,,totale
1974,RN02,Nouveau-Brunswick,46.524,-64.862,St. Nicholas River,ZPS16B,,10.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,7,,fourche
1974,RN02,Nouveau-Brunswick,46.524,-64.862,St. Nicholas River,ZPS16B,,10.0,Chub (non-specific),,,1,6,,fourche
1974,RN02,Nouveau-Brunswick,46.524,-64.862,St. Nicholas River,ZPS16B,,10.0,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,2,,totale
1974,RN02,Nouveau-Brunswick,46.524,-64.862,St. Nicholas River,ZPS16B,,10.0,Suckers (non specific),catostomes (non spécifique),Catostomidae,163892,3,,fourche
1974,RN03,Nouveau-Brunswick,46.565,-64.853,St. Nicholas River,ZPS16B,,9.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,9,,fourche
1974,RN03,Nouveau-Brunswick,46.565,-64.853,St. Nicholas River,ZPS16B,,9.0,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,2,,totale
1974,RN05,Nouveau-Brunswick,46.516,-64.915,St. Nicholas River,ZPS16B,,6.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,6,82.833,fourche
1974,RN05,Nouveau-Brunswick,46.516,-64.915,St. Nicholas River,ZPS16B,,6.0,Sculpins (non specific),chabots (non spécifique),Cottidae,167196,5,,totale
1974,RN07,Nouveau-Brunswick,46.5,-65.93,St. Nicholas River,ZPS16B,,9.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,6,,fourche
