sampleID,Year,eventDate,recordedBy,decimalLatitude,decimalLongitude,occurrenceStatus,color
r19D:1922,2019,2019-08-27,DFO Gulf,46.49718,-66.95809,Not detected,green
r19D:1926,2019,2019-08-27,DFO Gulf,46.49564,-66.93989,Suspected,orange
r19D:1938,2019,2019-08-27,DFO Gulf,46.51664,-66.9504,Not detected,green
r19D:1940,2019,2019-08-27,DFO Gulf,46.51831,-66.94831,Not detected,green
r19D:1933,2019,2019-08-27,DFO Gulf,46.51599,-66.94915,Suspected,orange
r19D:1942,2019,2019-08-27,DFO Gulf,46.51828,-66.9482,Inconclusive,grey
r19D:1930,2019,2019-08-27,DFO Gulf,46.50799,-66.94947,Suspected,orange
r19D:1921,2019,2019-08-27,DFO Gulf,46.49886,-66.95685,Not detected,green
r19D:1927,2019,2019-08-27,DFO Gulf,46.49565,-66.93987,Not detected,green
r19D:1932,2019,2019-08-27,DFO Gulf,46.50798,-66.94944,Suspected,orange
r19D:1918,2019,2019-08-27,DFO Gulf,46.50335,-66.9651,Not detected,green
r19D:1928,2019,2019-08-27,DFO Gulf,46.49564,-66.93983,Suspected,orange
r19D:1929,2019,2019-08-27,DFO Gulf,46.508,-66.94947,Suspected,orange
r19D:1939,2019,2019-08-27,DFO Gulf,46.51661,-66.9504,Not detected,green
r19D:1944,2019,2019-08-27,DFO Gulf,46.51906,-66.94672,Suspected,orange
r19D:1917,2019,2019-08-27,DFO Gulf,46.50335,-66.9651,Not detected,green
r19D:1916,2019,2019-08-27,DFO Gulf,46.50335,-66.9651,Not detected,green
r19D:1920,2019,2019-08-27,DFO Gulf,46.49891,-66.95677,Not detected,green
r19D:1943,2019,2019-08-27,DFO Gulf,46.51916,-66.94681,Suspected,orange
r19D:1924,2019,2019-08-27,DFO Gulf,46.49698,-66.95823,Not detected,green
r19D:1945,2019,2019-08-27,DFO Gulf,46.51896,-66.94663,Suspected,orange
r19D:1934,2019,2019-08-27,DFO Gulf,46.51599,-66.9491,Suspected,orange
r19D:1941,2019,2019-08-27,DFO Gulf,46.5183,-66.94826,Suspected,orange
r19D:1935,2019,2019-08-27,DFO Gulf,46.516,-66.94906,Suspected,orange
r19D:1923,2019,2019-08-27,DFO Gulf,46.49707,-66.95817,Not detected,green
r19D:1937,2019,2019-08-27,DFO Gulf,46.51666,-66.95041,Not detected,green
r19D:1919,2019,2019-08-27,DFO Gulf,46.49888,-66.95682,Not detected,green
r19D:1952,2019,2019-08-28,DFO Gulf,46.49407,-67.01006,Not detected,green
r19D:2004,2019,2019-08-28,ARM,46.54418,-66.85125,Not detected,green
r19D:1950,2019,2019-08-28,DFO Gulf,46.49392,-67.01024,Not detected,green
r19D:1951,2019,2019-08-28,DFO Gulf,46.49411,-67.0101,Not detected,green
r19D:1994,2019,2019-09-06,DFO Gulf,46.57771,-67.04132,Inconclusive,grey
r19D:1992,2019,2019-09-06,DFO Gulf,46.55018,-67.04403,Not detected,green
r19D:1996,2019,2019-09-06,DFO Gulf,46.57771,-67.04132,Not detected,green
r19D:1990,2019,2019-09-06,DFO Gulf,46.55018,-67.04403,Not detected,green
r19D:1991,2019,2019-09-06,DFO Gulf,46.55018,-67.04403,Not detected,green
r19D:1993,2019,2019-09-06,DFO Gulf,46.57771,-67.04132,Not detected,green
r19D:1995,2019,2019-09-06,DFO Gulf,46.60067,-66.98572,Not detected,green
r19D:1997,2019,2019-09-06,DFO Gulf,46.60067,-66.98572,Inconclusive,grey
r19D:1998,2019,2019-09-06,DFO Gulf,46.60067,-66.98572,Not detected,green
r19D:2044,2019,2019-09-12,DFO Gulf,46.51649,-66.51587,Not detected,green
r19D:2025,2019,2019-09-12,DFO Gulf,46.5172,-66.94911,Suspected,orange
r19D:2018,2019,2019-09-12,DFO Gulf,46.53652,-66.87909,Not detected,green
r19D:2043,2019,2019-09-12,DFO Gulf,46.51649,-66.51594,Not detected,green
r19D:2046,2019,2019-09-12,DFO Gulf,46.56018,-66.55818,Not detected,green
r19D:2054,2019,2019-09-12,DFO Gulf,46.58557,-66.70119,Not detected,green
r19D:2050,2019,2019-09-12,DFO Gulf,46.60063,-66.63863,Not detected,green
r19D:2023,2019,2019-09-12,DFO Gulf,46.51838,-66.92639,Suspected,orange
r19D:2019,2019,2019-09-12,DFO Gulf,46.53652,-66.87909,Not detected,green
r19D:2040,2019,2019-09-12,DFO Gulf,46.48188,-66.47978,Not detected,green
r19D:2042,2019,2019-09-12,DFO Gulf,46.51649,-66.51611,Not detected,green
r19D:2047,2019,2019-09-12,DFO Gulf,46.56006,-66.55818,Not detected,green
r19D:2026,2019,2019-09-12,DFO Gulf,46.51914,-66.92581,Inconclusive,grey
r19D:2049,2019,2019-09-12,DFO Gulf,46.60068,-66.63867,Not detected,green
r19D:2038,2019,2019-09-12,DFO Gulf,46.45404,-66.42295,Not detected,green
r19D:2039,2019,2019-09-12,DFO Gulf,46.48196,-66.4797,Not detected,green
r19D:2030,2019,2019-09-12,DFO Gulf,46.55011,-67.04399,Not detected,green
r19D:2027,2019,2019-09-12,DFO Gulf,46.5172,-66.94911,Not detected,green
r19D:2035,2019,2019-09-12,DFO Gulf,46.4541,-66.42307,Not detected,green
r19D:2036,2019,2019-09-12,DFO Gulf,46.45406,-66.42301,Not detected,green
r19D:2051,2019,2019-09-12,DFO Gulf,46.60059,-66.63861,Not detected,green
r19D:2020,2019,2019-09-12,DFO Gulf,46.53503,-66.88127,Not detected,green
r19D:2022,2019,2019-09-12,DFO Gulf,46.51914,-66.92581,Not detected,green
r19D:2031,2019,2019-09-12,DFO Gulf,46.55011,-67.04399,Not detected,green
r19D:2048,2019,2019-09-12,DFO Gulf,46.55979,-66.5582,Not detected,green
r19D:2053,2019,2019-09-12,DFO Gulf,46.58554,-66.70118,Not detected,green
r19D:2024,2019,2019-09-12,DFO Gulf,46.51838,-66.92639,Not detected,green
r19D:2021,2019,2019-09-12,DFO Gulf,46.53508,-66.88129,Not detected,green
r19D:2032,2019,2019-09-12,DFO Gulf,46.50753,-66.94977,Suspected,orange
r19D:2041,2019,2019-09-12,DFO Gulf,46.48183,-66.47985,Not detected,green
r19D:2033,2019,2019-09-12,DFO Gulf,46.50809,-66.94965,Suspected,orange
r19D:2052,2019,2019-09-12,DFO Gulf,46.58557,-66.70121,Not detected,green
r19D:2029,2019,2019-09-12,DFO Gulf,46.50753,-66.94977,Suspected,orange
r19D:2028,2019,2019-09-12,DFO Gulf,46.51639,-66.9497,Suspected,orange
r19D:2247,2019,2019-10-03,DFO Gulf,46.50642,-66.95071,Not detected,green
r19D:2240,2019,2019-10-03,DFO Gulf,46.53456,-66.88125,Not detected,green
r19D:2248,2019,2019-10-03,DFO Gulf,46.57803,-67.04152,Not detected,green
r19D:2242,2019,2019-10-03,DFO Gulf,46.53499,-66.88155,Not detected,green
r19D:2241,2019,2019-10-03,DFO Gulf,46.53477,-66.88146,Inconclusive,grey
r19D:2246,2019,2019-10-03,DFO Gulf,46.50642,-66.95071,Not detected,green
r19D:2245,2019,2019-10-03,DFO Gulf,46.50642,-66.95071,Not detected,green
r19D:2244,2019,2019-10-03,DFO Gulf,46.57803,-67.04152,Not detected,green
r19D:2243,2019,2019-10-03,DFO Gulf,46.57803,-67.04152,Not detected,green
r19D:2322,2019,2019-10-10,DFO Gulf,46.55547,-66.84771,Not detected,green
r19D:2321,2019,2019-10-10,DFO Gulf,46.57803,-67.04152,Not detected,green
r19D:2318,2019,2019-10-10,DFO Gulf,46.60062,-66.9858,Not detected,green
r19D:2323,2019,2019-10-10,DFO Gulf,46.57803,-67.04152,Not detected,green
r19D:2325,2019,2019-10-10,DFO Gulf,46.55547,-66.84771,Not detected,green
r19D:2319,2019,2019-10-10,DFO Gulf,46.60062,-66.9858,Not detected,green
r19D:2316,2019,2019-10-10,DFO Gulf,46.50754,-66.94977,Not detected,green
r19D:2327,2019,2019-10-10,DFO Gulf,46.54391,-66.85485,Not detected,green
r19D:2317,2019,2019-10-10,DFO Gulf,46.60062,-66.9858,Not detected,green
r19D:2339,2019,2019-10-10,DFO Gulf,46.58102,-66.75007,Not detected,green
r19D:2341,2019,2019-10-10,DFO Gulf,46.56257,-66.832,Not detected,green
r19D:2348,2019,2019-10-10,DFO Gulf,46.50754,-66.94977,Not detected,green
r19D:2340,2019,2019-10-10,DFO Gulf,46.50754,-66.94977,Not detected,green
r19D:2346,2019,2019-10-10,DFO Gulf,46.58142,-66.7502,Not detected,green
r19D:2320,2019,2019-10-10,DFO Gulf,46.57803,-67.04152,Not detected,green
r19D:2342,2019,2019-10-10,DFO Gulf,46.56257,-66.832,Not detected,green
r19D:2347,2019,2019-10-10,DFO Gulf,46.49828,-67.0485,Not detected,green
r19D:2337,2019,2019-10-10,DFO Gulf,46.52954,-66.90152,Not detected,green
r19D:2336,2019,2019-10-10,DFO Gulf,46.49828,-67.0485,Not detected,green
r19D:2324,2019,2019-10-10,DFO Gulf,46.55547,-66.84771,Not detected,green
r19D:2333,2019,2019-10-10,DFO Gulf,46.49828,-67.0485,Not detected,green
r19D:2332,2019,2019-10-10,DFO Gulf,46.5737,-66.81342,Not detected,green
r19D:2330,2019,2019-10-10,DFO Gulf,46.5737,-66.81342,Not detected,green
r19D:2329,2019,2019-10-10,DFO Gulf,46.5737,-66.81342,Not detected,green
r19D:2328,2019,2019-10-10,DFO Gulf,46.54391,-66.85485,Not detected,green
r19D:2345,2019,2019-10-10,DFO Gulf,46.56257,-66.832,Not detected,green
r19D:2326,2019,2019-10-10,DFO Gulf,46.54391,-66.85485,Not detected,green
r19D:2338,2019,2019-10-10,DFO Gulf,46.52954,-66.90152,Not detected,green
r19D:2343,2019,2019-10-10,DFO Gulf,46.58102,-66.75007,Inconclusive,grey
r19D:2335,2019,2019-10-10,DFO Gulf,46.52954,-66.90152,Not detected,green
r20:2420,2020,2020-08-19,ARM,46.51984,-67.14979,Not detected,green
r20:2408,2020,2020-08-19,ARM,46.49828,-67.0485,Not detected,green
r20:2411,2020,2020-08-19,ARM,46.51033,-67.08379,Not detected,green
r20:2412,2020,2020-08-19,ARM,46.51033,-67.08379,Not detected,green
r20:2419,2020,2020-08-19,ARM,46.51984,-67.14979,Not detected,green
r20:2406,2020,2020-08-19,ARM,46.49828,-67.0485,Not detected,green
r20:2415,2020,2020-08-19,ARM,46.51054,-67.1137,Not detected,green
r20:2414,2020,2020-08-19,ARM,46.51054,-67.1137,Not detected,green
r20:2402,2020,2020-08-19,ARM,46.57771,-67.04132,Not detected,green
r20:2401,2020,2020-08-19,ARM,46.57771,-67.04132,Not detected,green
r20:2399,2020,2020-08-19,ARM,46.55011,-67.04399,Not detected,green
r20:2407,2020,2020-08-19,ARM,46.49828,-67.0485,Not detected,green
r20:2416,2020,2020-08-19,ARM,46.51054,-67.1137,Not detected,green
r20:2398,2020,2020-08-19,ARM,46.55011,-67.04399,Not detected,green
r20:2417,2020,2020-08-19,ARM,46.51984,-67.14979,Not detected,green
r20:2410,2020,2020-08-19,ARM,46.51033,-67.08379,Not detected,green
r20:2404,2020,2020-08-19,ARM,46.60062,-66.9858,Inconclusive,grey
r20:2441,2020,2020-08-20,ARM,46.50753,-66.94977,Suspected,orange
r20:2433,2020,2020-08-20,ARM,46.49565,-66.95817,Inconclusive,grey
r20:2425,2020,2020-08-20,ARM,46.49801,-66.98654,Inconclusive,grey
r20:2507,2020,2020-08-20,ARM,46.50753,-66.94977,Suspected,orange
r20:2511,2020,2020-08-20,ARM,46.49411,-67.0101,Not detected,green
r20:2434,2020,2020-08-20,ARM,46.49565,-66.95817,Inconclusive,grey
r20:2438,2020,2020-08-20,ARM,46.49565,-66.93987,Suspected,orange
r20:2437,2020,2020-08-20,ARM,46.49565,-66.93987,Suspected,orange
r20:2430,2020,2020-08-20,ARM,46.49891,-66.95677,Suspected,orange
r20:2432,2020,2020-08-20,ARM,46.49565,-66.95817,Not detected,green
