Latitude,Longitude,Site de l'échantillon,ID de l'échantillon,Année,Date de l'événement,Enregistré par,Statut de l'événement,Couleur (cartographie)
46.50335,-66.9651,Site 1,"r19D:1916, r19D:1918, r19D:1917, r20:2422","2019, 2020","2019-08-27, 2020-08-20","DFO Gulf, ARM",Non détecté,green
46.51896,-66.94663,Site 9,r19D:1945,2019,2019-08-27,DFO Gulf,Suspecté,orange
46.51906,-66.94672,Site 9,"r19D:1944, r20:2652, r20:2651, r20:2649","2019, 2020","2019-08-27, 2020-09-10",DFO Gulf,Suspecté,orange
46.51916,-66.94681,Site 9,r19D:1943,2019,2019-08-27,DFO Gulf,Suspecté,orange
46.51828,-66.9482,Site 8,r19D:1942,2019,2019-08-27,DFO Gulf,Non concluant,grey
46.5183,-66.94826,Site 8,r19D:1941,2019,2019-08-27,DFO Gulf,Suspecté,orange
46.51831,-66.94831,Site 8,r19D:1940,2019,2019-08-27,DFO Gulf,Non détecté,green
46.51661,-66.9504,Site 7,r19D:1939,2019,2019-08-27,DFO Gulf,Non détecté,green
46.51664,-66.9504,Site 7,"r19D:1938, r20:2648, r20:2647, r20:2645","2019, 2020","2019-08-27, 2020-09-10",DFO Gulf,Non détecté,green
46.51666,-66.95041,Site 7,r19D:1937,2019,2019-08-27,DFO Gulf,Non détecté,green
46.516,-66.94906,Site 6,r19D:1935,2019,2019-08-27,DFO Gulf,Suspecté,orange
46.51599,-66.9491,Site 6,"r19D:1934, r20:2657, r20:2659, r20:2658","2019, 2020","2019-08-27, 2020-09-10",DFO Gulf,Suspecté,orange
46.51599,-66.94915,Site 6,r19D:1933,2019,2019-08-27,DFO Gulf,Suspecté,orange
46.50798,-66.94944,Site 5,r19D:1932,2019,2019-08-27,DFO Gulf,Suspecté,orange
46.508,-66.94947,Site 5,r19D:1929,2019,2019-08-27,DFO Gulf,Suspecté,orange
46.49564,-66.93983,Site 4,r19D:1928,2019,2019-08-27,DFO Gulf,Suspecté,orange
46.49565,-66.93987,Site 4,"r19D:1927, r20:2438, r20:2436, r20:2437","2019, 2020","2019-08-27, 2020-08-20","DFO Gulf, ARM",Suspecté,orange
46.49564,-66.93989,Site 4,r19D:1926,2019,2019-08-27,DFO Gulf,Suspecté,orange
46.49698,-66.95823,Site 3,r19D:1924,2019,2019-08-27,DFO Gulf,Non détecté,green
46.49707,-66.95817,Site 3,r19D:1923,2019,2019-08-27,DFO Gulf,Non détecté,green
46.49718,-66.95809,Site 3,r19D:1922,2019,2019-08-27,DFO Gulf,Non détecté,green
46.49886,-66.95685,Site 2,r19D:1921,2019,2019-08-27,DFO Gulf,Non détecté,green
46.49891,-66.95677,Site 2,"r19D:1920, r20:2430, r20:2428, r20:2427","2019, 2020","2019-08-27, 2020-08-20","DFO Gulf, ARM",Suspecté,orange
46.49888,-66.95682,Site 2,r19D:1919,2019,2019-08-27,DFO Gulf,Non détecté,green
